소속 ,국회 ,직위 ,국회의원 ,성명 ,원혜영 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"457,430","152,644","176,635","433,439",,,
,,,,,,,
본인 ,임야 ,경기도 부천시 원미구 도당동 산 66-24번지 360.00m² ,"14,040",0,0,"14,040",변동없음 
,,,,,,,
본인 ,임야 ,"경기도 부천시 원미구 도당동 산 66-13번지 3,552.00m² (2,352.00m² 감소) ","443,390",0,"176,635","266,755",지번분할 
,,,,,,,
본인 ,임야 ,"경기도 부천시 도당동 산 66-36번지 2,352.00m² (2,352.00m² 증가) ",- ,"152,644",0,"152,644",지번분할 
,,,,"-152,644",,,
,,,,,,,
▶ 건물(소계) ,"249,000",0,"67,000","182,000",,,
,,,,,,,
본인 ,단독주택 ,경기도 부천시 원미구 도당동 대지 779.00m² 건물 345.08m² ,"189,000",0,"7,000","182,000",가액변동 
,,,,,,,
차남 ,단독주택 전세(임차)권 ,경기도 수원시 영통구 매탄2동 건물 0.00m² (건물 50.00m² 감소) ,"60,000",0,"60,000",0,전세권 만료 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"7,000","7,000","7,000","7,000",,,
,,,,,,,
배우자 ,자동차 ,"2013년식 아반떼 배기량(1,600cc) 감소 ","7,000",0,"7,000",0,명의자 정정 
,,,,,"-7,000",,
,,,,,,,
장남 ,자동차 ,"2013년식 아반떼 배기량(1,600cc) 증가 ",0,"7,000",0,"7,000",명의자 정정 
,,,,,,,
▶ 예금(소계) ,"266,689","41,510","55,607","252,592",,,
,,,,,,,
본인 ,,"삼성생명보험 0(3,213 감소), 중소기업은행 0(160 감소), 성지 108(3 증가), 농협은행 8,857(14,080 감소), 국민은행 15, 동양생명보험 2,346, 에이비엘생명보험 5,280, 농협중앙회 4,866(142 증가), 케이디비생명보험 18,114, 성곡 2,476(65 증가), 교보생명보험 59,819(2,400 증가) ","116,724","2,631","17,474","101,881",생활비지출 등 
,,,,,,,
배우자 ,,"에이비엘생명보험 3,336, (주)KEB하나은행 1,901(542 감소), 성곡 106(3 증가), 하나금융투자 9, 케이디비생명보험 13,345 (942 증가), 삼성화재해상보험 6,185(1,193 증가), 삼성생명 보험 15,897(1,585 증가), (주)KB손해보험 10,614(1,053 증가), 한국카카오은행(주) 2,903(1,703 증가), 우리은행 0(103 감소), 농협은행 10,000(10,000 증가), 교보생명보험 13,281(2,400 증가) ","59,343","19,926","1,692","77,577",
,,,,,,,
장남 ,,"중소기업은행 39,910(22,057 감소), 오렌지라이프생명보험 13,434(5,520 증가), 현대라이프생명보험 580(387 증가), 라이나생명보험 2,456(860 증가), 한국투자증권 1, 삼성생명보험 3,300(3,300 증가), (주)KEB하나은행 2,200, 우리은행 1,892(133 증가) ","75,630","17,200","29,057","63,773",
,,,,,,,
차남 ,,"오렌지라이프생명보험 6,136(4,630 감소), 삼성전자 60, 대신증권 0(4 감소), (주)KEB하나은행 3,165(997 감소) ","14,992","1,753","7,384","9,361",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"92,036","49,580","4,928","136,688",,,
,,,,,,,
본인 ,,"농협은행 6,460(4,928 감소), 농협중앙회 121,898(41,350 증가), 국민은행 8,330(8,230 증가) ","92,036","49,580","4,928","136,688",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"312,400","179,419","251,459","240,360",,,
,,,,,,,
본인 ,비상장주식 ,"(주)비젼아이트 32,000주, (주)대전프로축구 60주, (주)케이티앤씨 15,000주 ","23,800",0,0,"23,800",증권매매 및 주가하락 
,,,,,,,
차남 ,상장주식 ,"오션브릿지 22,617주(22,617주증가),오션브릿지 0주(19,991주 감소), 나라케이아이씨 5,930주(3,073주 증가), 지누스 0주(500주 감소) ","288,600","179,419","251,459","216,560",
,,,,,,,
▶ 채권(소계) ,"70,000",0,0,"70,000",,,
,,,,,,,
본인 ,,사인간채권 ,"70,000",0,0,"70,000",
,,,,,,,
▶ 채무(소계) ,"310,000","2,957",0,"312,957",,,
,,,,,,,
본인 ,,사인간채무 ,"260,000",0,0,"260,000",
,,,,,,,
장남 ,,사인간채무 ,"50,000",0,0,"50,000",
,,,,,,,
차남 ,금융기관채무 ,"한국카카오은행(주) 2,957(2,957 증가) ",0,"2,957",0,"2,957",가계자금 
,,,,,,,
▶ 비영리법인에 출연한 재산 ,,,,,,,
,,,,,,,
본인 ,출연 ,"(재)부천육영재단, 출연재산: 2,100,000천원, 보유직위: 이사 ",- ,- ,- ,- ,
,,,,,,,
총계 ,"1,144,555","427,196","562,629","1,009,122","증 감 액 : -135,433천원 (가액변동: -7,000천원) ",,
,,,,,,,
