소속 ,국회 ,직위 ,국회의원 ,성명 ,유기준 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"472,750","28,492",0,"501,242",,,
,,,,,,,
본인 ,임야 ,"충청북도 청주시 흥덕구 옥산면 국사리 산 147번지 24,461.00m² ","90,261","2,446",0,"92,707",가액변동 
,,,,,,,
본인 ,전 ,부산광역시 강서구 녹산동 1234번지 803.00m² 중 321.30m² ,"17,028","1,286",0,"18,314",가액변동 
,,,,,,,
본인 ,전 ,부산광역시 강서구 녹산동 1236번지 46.00m² 중 18.40m² ,975,73,0,"1,048",가액변동 
,,,,,,,
본인 ,전 ,부산광역시 강서구 녹산동 1237번지 23.00m² 중 9.30m² ,492,38,0,530,가액변동 
,,,,,,,
본인 ,답 ,"부산광역시 강서구 녹산동 1238번지 1,283.00m² 중 513.30m² ","33,364","2,053",0,"35,417",가액변동 
,,,,,,,
본인 ,전 ,부산광역시 강서구 녹산동 1239번지 66.00m² 중 26.40m² ,"1,438",111,0,"1,549",가액변동 
,,,,,,,
본인 ,답 ,부산광역시 강서구 녹산동 1241-10번지 152.00m² 중 60.80m² ,"3,830",237,0,"4,067",가액변동 
,,,,,,,
본인 ,임야 ,부산광역시 강서구 녹산동 1241-11번지 390.00m² 중 156.00m² ,"1,227",131,0,"1,358",가액변동 
,,,,,,,
본인 ,임야 ,부산광역시 강서구 녹산동 1241-12번지 274.00m² 중 109.60m² ,862,92,0,954,가액변동 
,,,,,,,
본인 ,답 ,"부산광역시 강서구 녹산동 1241-13번지 2,208.00m² 중 883.20m² ","46,809","3,533",0,"50,342",가액변동 
,,,,,,,
본인 ,답 ,부산광역시 강서구 녹산동 1241-14번지 770.00m² 중 308.00m² ,"19,404","1,201",0,"20,605",가액변동 
,,,,,,,
본인 ,답 ,부산광역시 강서구 녹산동 1241-15번지 737.00m² 중 294.80m² ,"18,572","1,150",0,"19,722",가액변동 
,,,,,,,
본인 ,전 ,부산광역시 강서구 녹산동 1241-16번지 383.00m² 중 153.20m² ,"8,119",613,0,"8,732",가액변동 
,,,,,,,
본인 ,답 ,"부산광역시 강서구 녹산동 1241-17번지 1,362.00m² 중 544.80m² ","34,322","2,125",0,"36,447",가액변동 
,,,,,,,
본인 ,답 ,부산광역시 강서구 녹산동 1241-1번지 165.00m² 중 66.00m² ,"4,290",264,0,"4,554",가액변동 
,,,,,,,
본인 ,답 ,부산광역시 강서구 녹산동 1241-2번지 360.00m² 중 144.00m² ,"9,360",576,0,"9,936",가액변동 
,,,,,,,
본인 ,구거 ,부산광역시 강서구 녹산동 1241-3번지 231.00m² 중 92.40m² ,"4,897",369,0,"5,266",가액변동 
,,,,,,,
본인 ,전 ,부산광역시 강서구 녹산동 1241-4번지 380.00m² 중 152.00m² ,"8,056",608,0,"8,664",가액변동 
,,,,,,,
본인 ,전 ,부산광역시 강서구 녹산동 1241-5번지 840.00m² 중 336.00m² ,"17,808","1,344",0,"19,152",가액변동 
,,,,,,,
본인 ,답 ,부산광역시 강서구 녹산동 1241-6번지 922.00m² 중 368.80m² ,"23,234","1,438",0,"24,672",가액변동 
,,,,,,,
본인 ,임야 ,부산광역시 강서구 녹산동 1241-7번지 559.00m² 중 223.70m² ,"2,729",290,0,"3,019",가액변동 
,,,,,,,
본인 ,구거 ,부산광역시 강서구 녹산동 1241-8번지 116.00m² 중 46.40m² ,"2,459",185,0,"2,644",가액변동 
,,,,,,,
본인 ,답 ,부산광역시 강서구 녹산동 1241-9번지 83.00m² 중 33.20m² ,"2,091",130,0,"2,221",가액변동 
,,,,,,,
본인 ,전 ,부산광역시 강서구 녹산동 1242-1번지 294.00m² 중 117.60m² ,"6,232",471,0,"6,703",가액변동 
,,,,,,,
본인 ,전 ,부산광역시 강서구 녹산동 1242-2번지 430.00m² 중 172.00m² ,"9,116",688,0,"9,804",가액변동 
,,,,,,,
본인 ,임야 ,부산광역시 강서구 녹산동 1242-3번지 112.00m² 중 44.80m² ,352,38,0,390,가액변동 
,,,,,,,
본인 ,답 ,"부산광역시 강서구 녹산동 1243번지 1,630.00m² 중 652.00m² ","41,076","2,542",0,"43,618",가액변동 
,,,,,,,
본인 ,묘지 ,부산광역시 강서구 녹산동 1245-1번지 476.00m² 중 190.40m² ,"10,091",761,0,"10,852",가액변동 
,,,,,,,
본인 ,전 ,부산광역시 강서구 녹산동 1245-2번지 655.00m² 중 262.00m² ,"14,279","1,100",0,"15,379",가액변동 
,,,,,,,
본인 ,답 ,부산광역시 강서구 녹산동 1246번지 562.00m² 중 224.80m² ,"14,162",877,0,"15,039",가액변동 
,,,,,,,
본인 ,전 ,부산광역시 강서구 녹산동 1247번지 145.00m² 중 58.00m² ,"3,161",243,0,"3,404",가액변동 
,,,,,,,
본인 ,답 ,부산광역시 강서구 녹산동 1248-1번지 671.00m² 중 268.40m² ,"16,909","1,046",0,"17,955",가액변동 
,,,,,,,
본인 ,전 ,부산광역시 강서구 녹산동 1248-2번지 271.00m² 중 108.40m² ,"5,745",433,0,"6,178",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,314,458","81,039",0,"1,395,497",,,
,,,,,,,
본인 ,상가 ,부산광역시 수영구 망미1동 제상가동 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,상가 ,부산광역시 수영구 망미동 제상가동 대지 6.30m² 건물 19.30m² ,"13,944","1,039",0,"14,983",가액변동 
,,,,,,,
본인 ,빌딩 전세(임차)권 ,부산광역시 서구 충무동1가 신진빌딩 4층 건물 165.00m² ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 도곡동 도곡2차 아이파크 건물 173.48m² 중 135.00m² ,"780,000","62,400",0,"842,400",가액변동 
,,,,,,,
본인 ,아파트 ,부산광역시 서구 서대신동3가 대신롯데캐슬 건물 59.88m² ,"280,514",0,0,"280,514",변동없음 
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 도곡동 도곡2차 아이파크 건물 173.48m² 중 38.00m² ,"220,000","17,600",0,"237,600",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"9,670",0,"1,260","8,410",,,
,,,,,,,
본인 ,자동차 ,"2017년식 그랜저 IG 배기량(3,000cc) ","3,000",- ,- ,"3,000",변동없음 
,,,,,,,
배우자 ,자동차 ,"2007년식 그랜저TG 배기량(2,700cc) ","6,670",0,"1,260","5,410",가액변동 
,,,,,,,
▶ 예금(소계) ,"989,349","193,312","256,584","926,077",,,
,,,,,,,
본인 ,,"한국증권금융 31, KB생명보험 180,000, 신한은행 1,933(299 증가), 구덕신협 1,245, 삼성생명보험 180,000, KB증권 55, NH투자증권 12, 한화투자증권 6, 농협은행 1,439(1 증가), 씨티은행 773, 국민은행 17,269(26,985 감소), (주)KEB하나은행 53,847(2,205 감소), 청십자신협 102(2 증가), 에이비엘생명보험 14,910(8,520 증가), 한국투자증권 1,071(21,941 감소), SK증권 13 ","495,015","27,260","69,569","452,706",자녀학비 및 생활비 지출 
,,,,,,,
배우자 ,,"(주)KEB하나은행 8,219(24,299 감소), 한국교직원공제회 65,910(6,977 증가), 한화투자증권 6, 미래에셋대우(주) 217,487(23,364 감소), 국민은행 23,098(7,055 증가), 중소기업은행 0(1,471 감소), SK증권 1, 동양생명보험 8,370(1,080 증가), 씨티은행 25,325(1,828 증가), (주)민국저축은행 0(9,300 감소), 한국카카오은행(주) 6,712(6,712 증가), 상호저축은행중앙회 20,909(9,632 감소) ","420,451","141,664","186,078","376,037",
,,,,,,,
장녀 ,,"(주)KEB하나은행 11,909(3,081 증가), 국민은행 3,800(1,100 증가), 삼성증권 4(4 증가), 중소기업은행 0(300 감소), 메리츠종금증권 4,629(4,129 증가), 씨티은행 0(66 감소), 미래에셋대우(주) 1(1 증가), 스탠다드차타드은행 700(700 증가), 우리은행 81, 신한은행 2,330(2,330 증가) ","12,475","11,892",913,"23,454",
,,,,,,,
차녀 ,,"국민은행 163, 중소기업은행 3,600(3,300 증가), 삼성화재 해상보험 29,850, (주)KEB하나은행 6,751(6,260 증가) ","30,804","9,560",0,"40,364",
,,,,,,,
장남 ,,"신한은행 6, 하나금융투자 0(4 감소), (주)KEB하나은행 3,477(2,916 증가), 국민은행 163, 우리은행 0(20 감소), 삼성화재해상보험 29,850, 키움닷컴증권 20(20 증가) ","30,604","2,936",24,"33,516",
,,,,,,,
▶ 유가증권(소계) ,"407,236","191,114","278,430","319,920",,,
,,,,,,,
본인 ,상장주식 ,"KODEX 기계장비 0주(3,000주 감소), 티웨이홀딩스 1,000주 (1,000주 증가), 팬오션 6,000주(4,000주 감소), 대성창투 0주(300주 감소) ","68,456","2,380","41,786","29,050",주식매매 및 시세변동 
,,,,,,,
본인 ,회사채 ,"한국토지신탁35 0주(22,108주 감소) ","22,056",0,"22,056",0,
,,,,,,,
