소속 ,국회 ,직위 ,국회의원 ,성명 ,권성동 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"1,967",0,0,"1,967",,,
,,,,,,,
본인 ,임야 ,"강원도 강릉시 성산면 관음리 산 51-3번지 1,653.00m² ","1,967",0,0,"1,967",가액변동없음 
,,,,,,,
▶ 건물(소계) ,"1,192,000","132,000",0,"1,324,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 개포동 현대아파트 65.92m² 건물 131.83m² 중 65.92m² ,"472,000","64,000",0,"536,000",가액변동 
,,,,,,,
본인 ,아파트 ,강원도 강릉시 교동 강릉교동롯데캐슬1단지 건물 135.17m² 중 67.59m² ,"124,000","2,000",0,"126,000",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 개포동 현대아파트 65.91m² 건물 131.83m² 중 65.91m² ,"472,000","64,000",0,"536,000",가액변동 
,,,,,,,
배우자 ,아파트 ,강원도 강릉시 교동 강릉교동롯데캐슬1단지 건물 135.17m² 중 67.59m² ,"124,000","2,000",0,"126,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"34,360","5,014","10,624","28,750",,,
,,,,,,,
본인 ,자동차 ,"2014년식 스포티지R디젤 배기량(1,995cc) 감소 ","10,624",0,"10,624",0,폐차 
,,,,,,,
본인 ,자동차 ,"2010년식 제네시스 배기량(3,842cc) ","8,746","1,984",0,"10,730",가액변동(자동차보험의 차량기준가액) 
,,,,,,,
본인 ,자동차 ,"2015년식 쏘나타 하이브리드(LF) 배기량(1,999cc) ","14,990","3,030",0,"18,020",가액변동(자동차보험의 차량기준가액) 
,,,,,,,
▶ 예금(소계) ,"1,585,766","443,910","447,387","1,582,289",,,
,,,,,,,
본인 ,,"삼성생명보험 88,560, 신한은행 112,954(783 감소), 우리은행 7,453, 흥국생명보험 46,895(6,051 증가), 강릉신협 1,001, 농협은행 127,836(1,504 증가), 국민은행 15,391(258 증가), 한화생명보험 94,500(16,200 증가), 에이비엘생명보험 200,000, 오렌지라이프생명보험 251,229(4,267 증가) ","918,322","148,208","120,711","945,819",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 210,611(128,464 감소), 흥국생명보험 60,000, 강릉교동 11,130(3,394 감소), 새마을금고중앙회 공제사업부 10,000, 중부 5,017(20,699 감소), 삼성화재 해상보험 6,255(1,824 증가), 삼성생명보험 50,684(1,256 증가), 신한은행 34,020, NH투자증권 17,447(266 증가), 농협은행 1,900(2 증가), DB생명보험(주) 19,904(2,354 증가), 농협손해보험 7,000(1,200 증가), 한화생명보험 77,000(11,200 증가), 하나생명보험 100,000(100,000 증가), 교보생명보험 25,502(3,481 증가)","667,444","295,702","326,676","636,470",
,,,,,,,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"325,754",0,"5,472","320,282",,,
,,,,,,,
본인 ,,"농협은행 320,282(5,472 감소) ","325,754",0,"5,472","320,282",정치자금 지출 등 
,,,,,,,
▶ 유가증권(소계) ,"17,003","1,783",311,"18,475",,,
,,,,,,,
본인 ,비상장주식 ,"온코리아닷컴 2,000주 ","1,000",0,0,"1,000",평가액변동 
,,,,,,,
배우자 ,상장주식 ,"대한항공 389주, 한진칼 155주 ","16,003","1,783",311,"17,475",
,,,,,,,
▶ 채권(소계) ,"10,000",0,0,"10,000",,,
,,,,,,,
본인 ,,사인간채권 ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
▶ 회원권(소계) ,"112,900",0,0,"112,900",,,
,,,,,,,
본인 ,콘도미니엄 ,휘닉스아일랜드 ,"42,400",- ,- ,"42,400",변동없음 
,,,,,,,
본인 ,골프 ,스카이밸리컨트리클럽 ,"70,500",- ,- ,"70,500",가액변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"467,973",0,"467,973",0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,타인부양 
,,,,,,,
장남 ,,고지거부 ,"467,973",0,"467,973",0,독립생계유지 
,,,,,,,
장녀 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"3,747,723","582,707","931,767","3,398,663","증 감 액 : -349,060천원 (가액변동: 138,486천원) ",,
,,,,,,,
