소속 ,국회 ,직위 ,국회의원 ,성명 ,유동수 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"657,265","94,063",0,"751,328",,,
,,,,,,,
본인 ,임야 ,"제주특별자치도 서귀포시 안덕면 감산리 689-1번지 1,402.00m² ","41,218","11,637",0,"52,855",가액 변동 
,,,,,,,
배우자 ,도로 ,인천광역시 계양구 다남동 62-6번지 14.00m² 중 7.00m² ,"1,226",11,0,"1,237",가액 변동 
,,,,,,,
배우자 ,도로 ,인천광역시 계양구 다남동 62-7번지 1.00m² 중 0.50m² ,87,1,0,88,가액 변동 
,,,,,,,
배우자 ,도로 ,인천광역시 계양구 다남동 62-8번지 23.00m² 중 11.50m² ,"2,014",19,0,"2,033",가액 변동 
,,,,,,,
배우자 ,전 ,"인천광역시 서구 백석동 60번지 1,164.00m² ","547,080","82,062",0,"629,142",가액 변동 
,,,,,,,
배우자 ,잡종지 ,전라북도 부안군 부안읍 봉덕리 578-6번지 40.00m² ,"29,200",0,0,"29,200",변동없음 
,,,,,,,
배우자 ,도로 ,인천광역시 계양구 다남동 55-18번지 196.00m² 중 98.00m² ,"17,169",157,0,"17,326",가액 변동 
,,,,,,,
배우자 ,도로 ,인천광역시 계양구 다남동 55-19번지 184.00m² 중 92.00m² ,"16,118",147,0,"16,265",가액 변동 
,,,,,,,
배우자 ,도로 ,인천광역시 계양구 다남동 62-9번지 36.00m² 중 18.00m² ,"3,153",29,0,"3,182",가액 변동 
,,,,,,,
▶ 건물(소계) ,"531,000","343,500","210,000","664,500",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,인천광역시 계양구 작전동 2층 일부 건물 125.65m² (건물 125.65m² 증가) ,- ,"12,500",0,"12,500",지역사무실 보증금 
,,,,,,,
배우자 ,아파트 ,인천광역시 계양구 작전동 동보2차아파트 건물 234.03m² ,"321,000","1,000",0,"322,000",가액 변동 
,,,,,,,
배우자 ,상가 ,서울특별시 구로구 개봉동 센트레빌 상가 건물 0.00m² (건물 624.37m² 감소) ,"210,000",0,"210,000",0,매매계약 해지 
,,,,,"-210,000",,
,,,,,,,
배우자 ,오피스텔 전세(임차)권 ,서울특별시 관악구 봉천동 디오슈페리움1단지 건물 66.74m² (건물 66.74m² 증가) ,- ,"30,000",0,"30,000",전세보증금 
,,,,,,,
배우자 ,기타 전세(임차)권 ,서울특별시 용산구 한강로2가 아스테리움 용산 건물 124.14m² (건물 124.14m² 증가) ,- ,"300,000",0,"300,000",전세보증금 
,,,,,,,
▶ 예금(소계) ,"192,477","59,247","17,147","234,577",,,
,,,,,,,
본인 ,,"신한은행 2, 중소기업은행 9, 신용협동조합중앙회 5,548(1 증가), 삼성증권 9, 농협은행 12,453(10,994 감소), 대신증권 29, 한화투자증권 4, 신한금융투자(주) 5, 씨티은행 884, 유안타증권 201, 농협중앙회 1,008, 국민은행 10,107(527 감소), 계양 47(1 증가), 계양신협 225(214 증가), 삼성화재 해상보험 4,700(1,200 증가), 스탠다드차타드은행 1,288(2 증가), SK증권 13, 북인천 557(14 증가), 새마을금고중앙회 공제사업부 9,412(3,148 증가), 메리츠종금증권 43(43 증가) ","53,442","7,238","14,136","46,544",주식매도금및급여저축등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 1, 교보증권 70, 미래에셋대우(주) 256(11 증가), 한양증권 78, 국민은행 14,008(4,570 증가), 푸르덴셜 생명보험 43,680, KB증권 6, 메리츠종금증권 43(43 증가), 삼성생명보험 105,273(26,958 증가), 농협중앙회 26, 신한 은행 13, SK증권 5, 롯데손해보험 4,680(1,560 증가), 우리 은행 37(7 감소), 농협은행 7, 신한금융투자(주) 875(4 증가), 계양신협 2,476, 한국투자증권 2, 계양신협 84(84 증가) ","138,397","35,660","2,437","171,620",
,,,,,,,
장녀 ,,"국민은행 0(207 감소), (주)KEB하나은행 0(78 감소), 농협은행 200(194 증가), 한국카카오은행(주) 5(5 증가) ",291,199,285,205,
,,,,,,,
차녀 ,,"국민은행 16,150(16,150 증가), 농협중앙회 48, 농협은행 10(289 감소) ",347,"16,150",289,"16,208",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"150,293","13,217",0,"163,510",,,
,,,,,,,
본인 ,,"농협은행 163,510(13,217 증가) ","150,293","13,217",0,"163,510",후원기부금 증가 
,,,,,,,
▶ 유가증권(소계) ,"43,153",0,"42,033","1,120",,,
,,,,,,,
배우자 ,상장주식 ,"한국단자 10주, 포스링크 0주(8,850주 감소), 현대일렉트릭 0주(172주 감소), 덕성 204주 ","43,153",0,"42,033","1,120",주식매도및평가액변동 
,,,,,,,
▶ 채권(소계) ,"2,175,000",0,"290,000","1,885,000",,,
,,,,,,,
본인 ,,사인간채권 감소 ,"1,435,000",0,"200,000","1,235,000",일부 환수 
,,,,,,,
배우자 ,,사인간채권 감소 ,"740,000",0,"90,000","650,000",일부 환수 
,,,,,,,
▶ 채무(소계) ,"559,760","37,000","299,304","297,456",,,
,,,,,,,
본인 ,금융기관채무 ,"국민은행 9,500, 아주캐피탈 0(19,742 감소) ","29,242",0,"19,742","9,500",렌터카 계약만료 
,,,,,,,
배우자 ,금융기관채무 ,"국민은행 37,000(193,020 감소), 푸르덴셜생명보험 0(20,012 감소), 삼성생명보험 0(20,000 감소), 우리은행 250,956(9,530 감소) ","530,518","37,000","279,562","287,956",전세보증금 대출 및 채권환수금으로 일부 상환 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,등록제외 ,- ,- ,- ,- ,사망 
,,,,,,,
총계 ,"3,189,428","473,027","259,876","3,402,579","증 감 액 : 213,151천원 (가액변동: 94,763천원) ",,
,,,,,,,
