소속 ,국회 ,직위 ,국회의원 ,성명 ,유성엽 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"771,000",0,0,"771,000",,,
,,,,,,,
배우자 ,아파트 전세(임차)권 ,전라북도 정읍시 상동 엘드수목토아파트 건물 121.09m² ,"100,000",0,0,"100,000",변동없음 
,,,,,,,
배우자 ,아파트 ,서울특별시 마포구 신공덕동 공덕아이파크 건물 59.98m² ,"620,000",0,0,"620,000",가액변동없음 
,,,,,,,
부 ,아파트 전세(임차)권 ,전라북도 정읍시 금붕동 내장산실버아파트 건물 59.73m² ,"51,000",0,0,"51,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"40,400","38,850","25,040","54,210",,,
,,,,,,,
본인 ,자동차 ,"2014년식 올뉴카니발2.2(디젤.9인승) 배기량(2,200cc) 감소 ","21,930",0,"21,930",0,매도 
,,,,,"-4,000",,
,,,,,,,
본인 ,자동차 ,"2014년식 그랜저 배기량(2,400cc) ","18,470",0,"3,110","15,360",가액변동 
,,,,,,,
본인 ,자동차 ,"2018년식 올뉴카니발2.2(디젤,9인승) 배기량(2,200cc) 증가 ",0,"38,850",0,"38,850",차량 구입 
,,,,,,,
▶ 예금(소계) ,"257,110","119,589","97,514","279,185",,,
,,,,,,,
본인 ,,"우리은행 4, 신한은행 12, 농협은행 20,014(12,125 증가), 남전주 12(1 증가), 농협중앙회 7,968(6,566 증가), 한국투자증권 5, 스탠다드차타드은행 1(1,487 감소), 새마을금고중앙회 공제사업부 0(9,095 감소) ","19,906","26,315","18,205","28,016",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"새마을금고중앙회 공제사업부 36,457(8,290 감소), 스탠다드차타드은행 0(231 감소), 미래에셋대우(주) 57(7 감소), 삼성화재해상보험 3,469(699 증가), 농협중앙회 13,026(7,569 증가), 우체국 12,000, 한화생명보험 9,314(16,551 감소), 농협손해보험 7,400(1,200 증가), 농협은행 31(516 감소), 교보생명보험 3,102, 남전주 0(19 감소), 미래에셋생명보험 87,385(641 감소) ","189,028","24,066","40,853","172,241",
,,,,,,,
부 ,,"농협은행 2,158(2,369 감소), 전북은행 708(20 감소) ","5,255",0,"2,389","2,866",
,,,,,,,
모 ,,"농협중앙회 0(1,220 감소), 전북은행 3,844(1,335 증가) ","3,729","1,335","1,220","3,844",
,,,,,,,
삼녀 ,,농협중앙회 446(436 증가) ,10,446,10,446,
,,,,,,,
장녀 ,,"신공덕동 30(23,550 감소), 중소기업은행 607(513 증가), 씨티은행 1, 농협은행 42, 신공덕동 27,868(27,868 증가), 신한은행 43,022(27,869 증가) ","38,870","67,232","34,532","71,570",
,,,,,,,
차녀 ,,"국민은행 2(299 감소), 신한은행 196(195 증가), (주)KEB하나은행 2(6 감소), 농협중앙회 2 ",312,195,305,202,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"178,810",0,"7,125","171,685",,,
,,,,,,,
본인 ,,"농협중앙회 171,685(7,125 감소) ","178,810",0,"7,125","171,685",정치자금 지출 등 
,,,,,,,
▶ 채무(소계) ,"155,386","36,165","105,686","85,865",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 36,165(36,165 증가), JB우리캐피탈 0(4,826 감소) ","4,826","36,165","4,826","36,165",예금으로일부상환및재대출 
,,,,,,,
배우자 ,,사인간채무 감소 ,"31,000",0,"31,000",0,예금으로 전액 상환 
,,,,,,,
배우자 ,금융기관채무 ,"농협은행 49,700(69,860 감소) ","119,560",0,"69,860","49,700",예금으로 일부 상환 
,,,,,,,
총계 ,"1,091,934","122,274","23,993","1,190,215","증감액:98,281천원 (가액변동: -3,110천원) ",,
,,,,,,,
