소속 ,국회 ,직위 ,국회의원 ,성명 ,유승민 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"489,951","46,064",0,"536,015",,,
,,,,,,,
본인 ,임야 ,"경상북도 영주시 풍기읍 백리 산 50번지 37,487.00m² ","48,733","7,497",0,"56,230",공시지가로 인한 가액변동 
,,,,,,,
본인 ,대지 ,대구광역시 남구 대명동 1691-7번지 616.90m² 중 308.45m² ,"289,943","33,929",0,"323,872",공시지가로 인한 가액변동 
,,,,,,,
모 ,대지 ,대구광역시 중구 사일동 31-3번지 441.90m² 중 5.46m² ,"40,950","1,255",0,"42,205",공시지가로 인한 가액변동 
,,,,,,,
모 ,대지 ,"대구광역시 중구 남일동 36-1번지 1,250.00m² 중 14.71m² ","110,325","3,383",0,"113,708",공시지가로 인한 가액변동 
,,,,,,,
▶ 건물(소계) ,"2,080,638","649,471","470,638","2,259,471",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 개포1동 경남아파트 건물 149.21m² ,"1,056,000","104,000",0,"1,160,000",공시가격으로 인한 가액변동 
,,,,,,,
본인 ,아파트 ,경기도 성남시 분당구 서현동 한양아파트 건물 42.50m² ,"179,500","34,500",0,"214,000",공시가격으로 인한 가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,대구광역시 동구 용계동 건물 247.93m² ,"50,000",0,0,"50,000",변동없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,대구광역시 동구 용계동 강변동서마을 건물 76.27m² ,"145,000",0,0,"145,000",변동없음 
,,,,,,,
본인 ,단독주택 ,"대구광역시 남구 대명동 대지 0.00m² 중 0.00m²건물 0.00m² 중 0.00m² (대지 지분면적 155.70m² 감소, 건물 지분면적 77.21m² 감소) ","356,023",0,"356,023",0,건물면적수정으로 인한 가액변동 
,,,,,,,
본인 ,빌딩 ,"대구광역시 중구 남일동 미도백화점 건물 0.00m² 중 0.00m² (건물 총면적 447.58m² 감소, 지분면적 223.79m² 감소) ","114,615",0,"114,615",0,건물면적수정으로 인한 가액변동 
,,,,,,,
본인 ,단독주택 ,"대구광역시 남구 대명동 대지 311.40m² 중 155.70m² 건물 308.82m² 중 154.41m² (대지 지분면적 155.70m² 증가, 건물 지분면적 154.41m² 증가) ",- ,"367,500",0,"367,500",건물면적수정으로 인한 가액변동 
,,,,"-367,500",,,
,,,,,,,
본인 ,근린생활시설 ,"대구광역시 중구 남일동 건물 689.86m² 중 344.93m² (건물 총면적 689.86m² 증가, 지분면적 344.93m² 증가) ",- ,"108,971",0,"108,971",건물면적수정으로 인한 가액변동 
,,,,"-108,971",,,
,,,,,,,
배우자 ,아파트 ,경기도 성남시 분당구 서현동 시범단지한양아파트 건물 42.49m² ,"179,500","34,500",0,"214,000",공시가격으로 인한 가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"34,750",0,"6,350","28,400",,,
,,,,,,,
배우자 ,자동차 ,"2013년식 제네시스 배기량(3,342cc) ","20,800",0,"2,600","18,200",가액변동 
,,,,,,,
장남 ,자동차 ,"2013년식 k5 배기량(1,999cc) ","13,950",0,"3,750","10,200",가액변동 
,,,,,,,
▶ 현금(소계) ,"5,000",0,0,"5,000",,,
,,,,,,,
본인 ,,현금 ,"5,000",0,0,"5,000",변동없음 
,,,,,,,
▶ 예금(소계) ,"2,130,388","1,526,080","1,237,491","2,418,977",,,
,,,,,,,
본인 ,,"농협생명보험 226,000, 우리은행 56,222(83,170 감소), 신한은행 48,667(665 증가), 중소기업은행 3,739(9,162 감소), 농협은행 2,824(39,663 감소), 국민은행 1, 농협중앙회 118,000(46,000 증가), 교보생명보험 46,781(10,136 증가), 푸른상호저축은행 42,000, OSB저축은행 0(45,900 감소) ","665,328","179,417","300,511","544,234","급여저축,생활비사용, 사인간채무 일시적보유 "
,,,,,,,
배우자 ,,"푸른상호저축은행 37,000(11,000 감소), 농협중앙회 1,051,089(519,306 증가), 신한은행 12,865(49,214 감소), 중소기업은행 53,739(9,162 감소), 삼성증권 12(1 증가), 한국투자증권 12, 농협생명보험 200,000, 교보생명보험 46,781(10,136 증가), OSB저축은행 0(45,900 감소) ","987,331","1,046,727","632,560","1,401,498",
,,,,,,,
모 ,,"농협은행 4,559(3,612 증가), 한국투자증권 1, 농협중앙회 130,000(25,458 감소), 신한은행 4, 신영증권 12, 대신증권 150, NH투자증권 3, 중앙 41(1 증가) ","156,615","133,613","155,458","134,770",
,,,,,,,
장남 ,,"중소기업은행 48,000, 신한은행 3,800(1,890 증가), 삼성전자 11, OSB저축은행 0(45,900 감소), DB생명보험(주) 30,320(5,220 증가), 삼성생명보험 12,758(2,092 증가), 농협중앙회 76,011(46,000 증가), 농협은행 70 ","161,668","85,202","75,900","170,970",
,,,,,,,
장녀 ,,"중소기업은행 49,739(9,162 감소), 농협중앙회 68,000(68,000 증가), OSB저축은행 0(45,900 감소), 교보생명보험 46,781(10,136 증가), 신한은행 2,985(15,015 감소) ","159,446","81,121","73,062","167,505",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"42,279","22,552",0,"64,831",,,
,,,,,,,
본인 ,,"농협중앙회 64,831(22,552 증가) ","42,279","22,552",0,"64,831",정치자금 지출 
,,,,,,,
▶ 유가증권(소계) ,0,0,0,0,,,
,,,,,,,
본인 ,비상장주식 ,"(주)위즈코다테크놀로지스 4,898주 ",0,0,0,0,부도업체 청산절차 미이행으로 인한 가액변동 없음 
,,,,,,,
▶ 채무(소계) ,"100,000","550,000","100,000","550,000",,,
,,,,,,,
본인 ,,사인간채무 증가 ,0,"500,000",0,"500,000",일시적채무 
,,,,,,,
본인 ,금융기관채무 ,"농협은행 0(50,000 감소) ","50,000",0,"50,000",0,채무상환 
,,,,,,,
본인 ,건물임대채무 ,대구광역시 중구 남일동 미도백화점 임대보증금 감소 ,"50,000",0,"50,000",0,건물면적수정으로 인한 금액상실 
,,,,,,,
본인 ,건물임대채무 ,대구광역시 중구 남일동 임대보증금 증가 ,0,"50,000",0,"50,000",건물면적수정으로 인한 금액생성 
,,,,,,,
▶ 회원권(소계) ,"9,720",780,0,"10,500",,,
,,,,,,,
배우자 ,콘도미니엄 ,오크밸리콘도 증가 ,"9,720",780,0,"10,500",공시가격으로 인한 가액변동 
,,,,,,,
총계 ,"4,692,726","1,694,947","1,614,479","4,773,194","증감액:80,468천원 (가액변동: 212,714천원) ",,
,,,,,,,
