소속 ,국회 ,직위 ,국회의원 ,성명 ,유승희 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,15,4,0,19,,,
,,,,,,,
배우자 ,임야 ,전라북도 정읍시 부전동 산 308-1번지 65.00m² 중 16.25m² ,15,4,0,19,가액변동 
,,,,,,,
▶ 건물(소계) ,"624,000","61,000","10,000","675,000",,,
,,,,,,,
본인 ,다세대주택 ,서울특별시 마포구 상암동 건물 63.30m² ,"285,000","17,000",0,"302,000",가액변동 
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 성북구 동소문동4가 송산아파트 건물 50.50m² ,"125,000",0,0,"125,000",변동없음 
,,,,,,,
배우자 ,다세대주택 ,서울특별시 용산구 한남동 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
배우자 ,다세대주택 ,서울특별시 용산구 한남동 건물 23.79m² ,"204,000","44,000",0,"248,000",가액변동 
,,,,,,,
장녀 ,오피스텔 전세(임차)권 ,서울특별시 종로구 내수동 용비어천가 건물 0.00m² (건물 28.19m² 감소) ,"10,000",0,"10,000",0,계약만료 
,,,,,,,
▶ 예금(소계) ,"473,034","252,809","302,831","423,012",,,
,,,,,,,
본인 ,,"성북 102(2,399 감소), 한양 0(1,700 감소), 하나금융투자 2, 한양 220(200 증가), 정릉신협 20, 한양증권 192, 한화손해 보험 5,882(733 증가), 농협은행 236,880(53,098 감소), 한화투자증권 134(67 증가), 신한생명보험 2,293(661 증가), 성북신협 430(100 감소), 한화생명보험 16,350(1,923 증가), (주)KEB하나은행2,470(189증가),성북 2,000(2,000증가), 길음중앙 10, 스탠다드차타드은행 34,826(15,292 감소) ","368,627","225,491","292,307","301,811",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"스탠다드차타드은행 992(1 증가), 국민은행 1,214(51 증가), 삼성생명보험 5,018, 우리은행 30,180(14,042 증가), 신한금융투자(주) 9, BankofAmerica 10,070(5,033 증가), CommonwealthBank 58,984(7,039 감소), Commonwealthbank 265(265 증가) ","94,379","19,392","7,039","106,732",
,,,,,,,
장녀 ,,"BankofAmerica 1,363(1,085 감소), 한국카카오은행(주) 1, 신한은행 13,105(5,526 증가) ","10,028","7,926","3,485","14,469",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"63,179","68,940",0,"132,119",,,
,,,,,,,
본인 ,,"농협은행 132,119(68,940 증가) ","63,179","68,940",0,"132,119",후원금 증가 
,,,,,,,
▶ 채권(소계) ,"55,000",0,"41,000","14,000",,,
,,,,,,,
배우자 ,,사인간채권 감소 ,"55,000",0,"41,000","14,000",일부 환수 
,,,,,,,
▶ 채무(소계) ,"319,240","18,036","104,264","233,012",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 15,036(74,964 감소), (주)KEB하나은행 34,724(10,580 감소) ","135,304","15,036","100,580","49,760",급여 등으로 상환 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 마포구 상암동 임대보증금 ,"180,000",0,0,"180,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"JPMorganChaseandCo. 252(3,684 감소) ","3,936",0,"3,684",252,급여 등으로 상환 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 용산구 한남동 다세대 임대보증금 증가 ,0,"3,000",0,"3,000",임대보증금 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"895,988","364,717","249,567","1,011,138","증 감 액 : 115,150천원 (가액변동: 61,004천원) ",,
,,,,,,,
