소속 ,국회 ,직위 ,국회의원 ,성명 ,유의동 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"240,000",0,0,"240,000",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,경기도 평택시 용이동 평택용이 2차 푸르지오 건물 157.00m² ,"240,000",- ,- ,"240,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,0,"11,250",0,"11,250",,,
,,,,,,,
배우자 ,자동차 ,"2015년식 K3 배기량(1,591cc) 증가 ",0,"11,250",0,"11,250",중고차 소유권 이전 
,,,,,,,
▶ 예금(소계) ,"216,248","67,446","79,562","204,132",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 28,000(1,680 증가), 미래에셋대우(주) 6, 평택성동신협 1,048(27 증가), 신한은행 98, 안중제일신협 1,033 (23 증가), 농협은행 50,615(45,429 증가), 평택신협 1,072, 평택중앙 532(17 증가), 국민은행 28,933(64,849 감소), 농협 중앙회 3, 평택은실신협 1,039(22 증가), 안중 523(13 증가), DB손해보험(주) 780(780 증가), 악사(AXA)손해보험 0(758 감소) ","131,298","48,358","65,974","113,682","교육비, 생활비 등 지출 "
,,,,,,,
배우자 ,,"DB손해보험(주) 3,590(2,400 증가), 케이디비생명보험 22,882(3,083 증가), 국민은행 3,259(631 증가), 현대해상화재보험 15,912(3,825 증가), 동양생명보험 0(3,920 감소), 신한은행 542(1,966 감소), 삼성생명보험 5,300(1,200 증가), 농협중앙회 11,321(361 감소), 한국카카오은행(주) 1,100(1,100 증가), 농협은행 2,337(1,341 증가), 우리은행 92(92 증가), 농협손해보험 1,000(1,000 증가) ","58,910","15,780","7,355","67,335",
,,,,,,,
삼녀 ,,"신한은행 5,407(502 증가) ","4,905",502,0,"5,407",
,,,,,,,
장녀 ,,"국민은행 5,022(4,473 감소), 씨티은행 2,025(1,760 감소), 신한은행 3,348(2 증가) ","16,626",2,"6,233","10,395",
,,,,,,,
차녀 ,,"한국카카오은행(주) 1,792(1,792 증가), 신한은행 5,512(1,003 증가), 농협중앙회 9(9 증가) ","4,509","2,804",0,"7,313",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"48,416","1,381",0,"49,797",,,
,,,,,,,
본인 ,,"농협중앙회 49,797(1,381 증가) ","48,416","1,381",0,"49,797",후원금 이체 
,,,,,,,
▶ 채권(소계) ,"190,000",0,0,"190,000",,,
,,,,,,,
본인 ,,사인간채권 ,"190,000",0,0,"190,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"80,000",0,0,"80,000",,,
,,,,,,,
본인 ,,사인간채무 ,"80,000",0,0,"80,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"614,664","80,077","79,562","615,179",증감액:515천원 ,,
,,,,,,,
