소속 ,국회 ,직위 ,국회의원 ,성명 ,유재중 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"4,563","3,243",0,"7,806",,,
,,,,,,,
본인 ,답 ,"경상남도 합천군 야로면 묵촌리 177번지 1,201.00m² ","4,563","3,243",0,"7,806",가액변동 
,,,,,,,
▶ 건물(소계) ,"906,000","38,000",0,"944,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 마포구 창전동 서강 쌍용예가 건물 59.98m² ,"460,000",0,0,"460,000",가액변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,부산광역시 수영구 광안동 동광빌딩 4층 건물 188.46m² ,"15,000",0,0,"15,000",변동없음 
,,,,,,,
배우자 ,아파트 ,부산광역시 수영구 남천동 남천삼익뉴비치아파트 건물 123.19m² ,"431,000","38,000",0,"469,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"39,800",0,"3,900","35,900",,,
,,,,,,,
본인 ,자동차 ,"2006년식 그랜저 배기량(2,700cc) ","4,300",0,"1,900","2,400",가액변동 
,,,,,,,
배우자 ,자동차 ,"2017년식 그랜저 배기량(2,999cc) ","35,500",0,"2,000","33,500",가액변동 
,,,,,,,
▶ 예금(소계) ,"1,309,286","537,571","456,751","1,390,106",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 0(584 감소), 광안2.4동 13, 광안신협 12,272(403 증가), 하나금융투자 56(1 증가), 부산은행 15,273(1 증가), KB생명보험 100,000(100,000 증가), 새마을금고 98(1 증가), 농협은행 3,445(1,673 증가), 국민은행 44,658(19,523 증가), 에이비엘생명보험 9,744, KB캐피탈 5,628(5,628 증가) ","64,541","132,909","6,263","191,187",급여저축등 
,,,,,,,
배우자 ,,"에이비엘생명보험 7,548, 신용협동조합중앙회 신용공제사업부 12,000, DB손해보험(주) 1,383(544 증가), 하나금융투자 2, 미래에셋대우(주) 35(1 증가), KB생명보험 98,000, 국민은행 498,851(93,142 감소), 삼성화재해상보험 99,999, KB증권 0(315 감소), 삼성생명보험 18,882(2,009 증가), 망미신협 0(316 감소), AIA생명보험 3,136(768 증가), 부산하나신협 0(10,253 감소), 신용협동조합중앙회 10,000, 우리은행 10,050, 현대라이프생명보험 102,000, 교보생명보험 10,541(795 증가), 라이나생명보험 2,905(698 증가), 남천천신협 89,885(51,263 증가), 부산은행 1,791(168 감소), 미래에셋생명보험 211,200(5,000 증가)","1,221,324","398,407","441,523","1,178,208",
,,,,,,,
,,,,,,,
장녀 ,,"국민은행 7,067(1,200 증가), 키움닷컴증권 12(4 증가), 씨티은행 70, 유안타증권 189(27 감소), 신한은행 10,526(3,755 감소) ","20,442","6,179","8,757","17,864",
,,,,,,,
장남 ,,"신한은행 956(57 증가), 중소기업은행 16, 국민은행 1,428, 중국은행 447(189 감소) ","2,979",76,208,"2,847",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"77,674",0,"45,262","32,412",,,
,,,,,,,
본인 ,,"부산은행 32,412(45,262 감소) ","77,674",0,"45,262","32,412",후원금 감소 
,,,,,,,
▶ 유가증권(소계) ,"69,297","13,193","3,766","78,724",,,
,,,,,,,
본인 ,상장주식 ,"기업은행 0주(71주 감소), BS금융지주 24주 ","1,393",0,"1,218",175,매도및평가액변동 
,,,,,,,
배우자 ,상장주식 ,레고켐바이오 802주 ,"32,280","13,193",0,"45,473",
,,,,,,,
배우자 ,국채 ,"브라질국채 34,564주 ","34,564",0,"2,111","32,453",
,,,,,,,
장녀 ,상장주식 ,LG전자보통주 10주 ,"1,060",0,437,623,
,,,,,,,
▶ 채무(소계) ,"71,345","58,061","41,345","88,061",,,
,,,,,,,
본인 ,,사인간채무 ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 0(1,345 감소), KB캐피탈 58,061(58,061 증가) ","1,345","58,061","1,345","58,061",차량 리스료 
,,,,,,,
배우자 ,,사인간채무 감소 ,"40,000",0,"40,000",0,채무 상환 
,,,,,,,
총계 ,"2,335,275","533,946","468,334","2,400,887","증감액:65,612천원 (가액변동: 50,048천원) ",,
,,,,,,,
