소속 ,국회 ,직위 ,국회의원 ,성명 ,윤관석 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"11,303","1,237",0,"12,540",,,
,,,,,,,
배우자 ,임야 ,"충청북도 음성군 삼성면 청용리 산 70-18번지 3,300.00m² 중 825.00m² ","11,303","1,237",0,"12,540",가액변동 
,,,,,,,
▶ 건물(소계) ,"481,616","131,573","124,556","488,633",,,
,,,,,,,
본인 ,아파트 ,인천광역시 남동구 만수동 만수주공아파트 건물 61.52m² ,"136,000","2,000",0,"138,000",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,인천광역시 남동구 만수동 건물 198.52m² ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,인천광역시 남동구 만수동 금호타운 건물 124.05m² ,"140,000",- ,- ,"140,000",변동없음 
,,,,,,,
배우자 ,다세대주택 ,"서울특별시 강남구 삼성동 대지 0.00m² 건물 0.00m² 중 0.00m² (대지 7.30m² 감소, 건물 총면적 91.64m² 감소, 지분면적 18.33m² 감소) ","65,963",0,"65,963",0,소유권상실 
,,,,,,,
배우자 ,복합건물(주 택+상가) ,"서울특별시 강남구 삼성동 셔우드 대지 0.00m² 건물 0.00m² 중 0.00m² (대지 6.10m² 감소, 건물 총면적 76.82m² 감소, 지분면적 15.36m² 감소) ","58,593",0,"58,593",0,소유권상실 
,,,,,,,
배우자 ,복합건물(주 택+상가) ,"서울특별시 강남구 삼성동 셔우드 대지 22.12m² 건물 90.51m² 중 54.30m² (대지 14.92m² 증가, 건물 지분면적36.20m² 증가) ","61,060","129,573",0,"190,633",지분교환으로 인한 면적 증가 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"4,500",0,500,"4,000",,,
,,,,,,,
배우자 ,자동차 ,"2008년식 그랜저 배기량(2,700cc) ","4,500",0,500,"4,000",가액변동 
,,,,,,,
▶ 예금(소계) ,"652,919","226,225","138,577","740,567",,,
,,,,,,,
본인 ,,"만수 815, 삼성생명보험 6,684, 우체국 20,000(6,000 증가), 농협은행 260,470(77,544 증가), 씨티은행 7, 국민은행 104,324(10,188 감소), 농협중앙회 1, 남동신협 104(3 증가), 인주 10, 새마을금고중앙회 공제사업부 4,209(1,629 증가) ","321,636","213,265","138,277","396,624",급여 수입 
,,,,,,,
배우자 ,,"수협은행 70,510(7,852 증가), 국민은행 5,717(3,822 증가), 삼성생명보험 4,116, 중소기업은행 14, 한화생명보험 10,800, 농협은행 1, (주)하나저축은행 105 ","79,589","11,974",300,"91,263",
,,,,,,,
모 ,,"국민은행 252,680(986 증가) ","251,694",986,0,"252,680",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"131,772","126,166",0,"257,938",,,
,,,,,,,
본인 ,,"농협중앙회 257,938(126,166 증가) ","131,772","126,166",0,"257,938",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"80,000",0,"60,000","20,000",,,
,,,,,,,
본인 ,건물임대채무 ,인천광역시 남동구 만수동 만수주공아파트 임대보증금 ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 강남구 삼성동 셔우드 임대보증금 감소 ,"30,000",0,"30,000",0,소유권상실로 인한 보증금 반환 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 강남구 삼성동 셔우드 임대보증금 감소 ,"30,000",0,"30,000",0,소유권상실로 인한 보증금 반환 
,,,,,,,
총계 ,"1,202,110","485,201","203,633","1,483,678","증 감 액 : 281,568천원 (가액변동: 2,737천원) ",,
,,,,,,,
