소속 ,국회 ,직위 ,국회의원 ,성명 ,윤상직 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"159,772","12,270","153,939","18,103",,,
,,,,,,,
본인 ,도로 ,대구광역시 수성구 범어동 319-2번지 0.50m² ,1,0,0,1,
,,,,,,,
본인 ,도로 ,대구광역시 수성구 범어동 317-2번지 0.70m² ,1,0,0,1,
,,,,,,,
본인 ,전 ,경상남도 김해시 생림면 사촌리 309-4번지 99.00m² ,"4,485",593,0,"5,078",가액변동 
,,,,,,,
본인 ,전 ,경상남도 김해시 생림면 사촌리 309-5번지 99.00m² ,"1,346",49,0,"1,395",가액변동 
,,,,,,,
본인 ,전 ,"경상남도 김해시 생림면 사촌리 313번지 0.00m² (2,994.00m² 감소) ","145,209",0,"145,209",0,건물항목에 합산하여 신고 
,,,,,,,
본인 ,전 ,경상남도 김해시 생림면 313-1번지 0.00m² (180.00m² 감소) ,"8,730",0,"8,730",0,분할교환 
,,,,,"-10,098",,
,,,,,,,
본인 ,전 ,경상남도 김해시 생림면 314-1번지 180.00m² (180.00m² 증가) ,- ,"11,628",0,"11,628",분할교환 
,,,,"-11,628",,,
,,,,,,,
▶ 건물(소계) ,"1,054,000","206,322","190,000","1,070,322",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,부산광역시 기장군 기장읍 청강리 자이언트 빌딩 건물 150.00m² ,"25,000",- ,- ,"25,000",
,,,,,,,
본인 ,아파트 전세(임차)권 ,부산광역시 기장군 정관읍 용수리 건물 0.00m² (건물 60.00m² 감소) ,"190,000",0,"190,000",0,전세계약 해지 
,,,,,,,
본인 ,창고 ,"경상남도 김해시 생림면 사촌리 대지 2,814.00m² 건물 20.00m² (대지 2,814.00m² 증가, 건물 20.00m² 증가) ",- ,"165,322",0,"165,322",토지항목에서 이동신고 
,,,,"-10,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 우면동 동양고속아파트 건물 84.96m² ,"428,000","17,000",0,"445,000",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 서초구 우면동 동양고속아파트 건물 77.14m² ,"411,000","24,000",0,"435,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"26,500","28,490","12,500","42,490",,,
,,,,,,,
본인 ,자동차 ,"2018년식 쏘렌토 배기량(2,200cc) 증가 ",0,"28,490",0,"28,490",구입 
,,,,,,,
배우자 ,자동차 ,"2010년식 포르테 쿱 배기량(1,600cc) 감소 ","9,500",0,"9,500",0,증여 
,,,,,,,
배우자 ,자동차 ,"2011년식 그랜저 배기량(3,000cc) ","17,000",0,"3,000","14,000",가액변동 
,,,,,,,
▶ 예금(소계) ,"955,759","866,340","731,277","1,090,822",,,
,,,,,,,
본인 ,,"제일병원신용협동조합 0(1 감소), 삼성증권 50(14 증가), 우체국 2,065(2 증가), (주)민국저축은행 53,079(985 증가), 농협은행 20,807(16,713 감소), 씨티은행 759(21,206 감소), 국민은행 16,954(205 증가), (주)KEB하나은행 14,480(9,692 증가) ","135,216","62,992","90,014","108,194","아파트 전세계약 해지, 생활비및교육비지출증가등 "
,,,,,,,
배우자 ,,"제일병원신용협동조합 0(409 감소), 삼성화재해상보험 10,290(930 증가), 우체국 425,272(5,224 증가), 씨티은행 1,684(3,261 감소), (주)민국저축은행 52,981(983 증가), 우리은행 378,623(255,960 증가), 상호저축은행중앙회 15 ","609,438","779,725","520,298","868,865",
,,,,,,,
장남 ,,"오렌지라이프생명보험 19,440(972 증가), 신한은행 5, 제일병원신용협동조합 0(1 감소), 씨티은행 2,895(5,962 감소), 우리은행 12,000(1,600 증가), (주)민국저축은행 0(34,285 감소), Bank of America 12,592(32,998 감소) ","117,606","4,740","75,414","46,932",
,,,,,,,
장녀 ,,"오렌지라이프생명보험 19,440(972 증가), 씨티은행 5,470(962 감소), Bank of America 13,610(27,480 감소), 제일병원신용협동조합 0(1 감소), (주)민국저축은행 17,431(323 증가), 우리은행 10,880(480 증가) ","93,499","18,883","45,551","66,831",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"58,941",0,"31,430","27,511",,,
,,,,,,,
본인 ,,"우체국 27,511(31,430 감소) ","58,941",0,"31,430","27,511",정치자금 지출 
,,,,,,,
▶ 유가증권(소계) ,398,0,120,278,,,
,,,,,,,
본인 ,상장주식 ,하나금융지주 8주 ,398,0,120,278,평가액변동 
,,,,,,,
▶ 채무(소계) ,"19,751","23,384","7,580","35,555",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 12,171(7,580 감소), 하나캐피탈 23,384(23,384 증가) ","19,751","23,384","7,580","35,555",신차구입 할부금융 
,,,,,,,
총계 ,"2,235,619","1,090,038","1,111,686","2,213,971","증 감 액 : -21,648천원 (가액변동: 38,522천원) ",,
,,,,,,,
