소속 ,국회 ,직위 ,국회의원 ,성명 ,윤상현 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"107,540",0,0,"107,540",,,
,,,,,,,
본인 ,임야 ,"경기도 용인시 기흥구 마북동 산 2-12번지 108,617.00m² 중 3,072.59m² ","107,540",0,0,"107,540",가액변동없음 
,,,,,,,
▶ 건물(소계) ,"1,602,128","143,000","200,000","1,545,128",,,
,,,,,,,
본인 ,오피스텔 ,서울특별시 강남구 논현동 대지 262.07m² 건물 65.60m² ,"115,128",0,0,"115,128",가액변동없음 
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 개포동 우성3차아파트 건물 143.53m² ,"984,000","112,000",0,"1,096,000",가액변동 
,,,,,,,
본인 ,상가 전세(임차)권 ,인천광역시 남구 학익동 대흥빌딩 건물 0.00m² (건물 127.38m² 감소) ,"200,000",0,"200,000",0,임대차 계약 만료(보증금) 
,,,,,,,
본인 ,아파트 ,인천광역시 남구 학익동 학익동풍림아이원아파트 건물 155.93m² ,"303,000","1,000",0,"304,000",가액변동 
,,,,,,,
본인 ,근린생활시설 전세(임차)권 ,인천광역시 미추홀구 용현동 비젼프라자 건물 108.80m² (건물 108.80m² 증가) ,- ,"30,000",0,"30,000",임대차 계약(보증금) 
,,,,,,,
▶ 예금(소계) ,"6,822,616","7,854,419","2,657,190","12,019,845",,,
,,,,,,,
본인 ,,"온누리 11,445(365 증가), 신한은행 1,736(4,077 감소), 우리은행 266, 삼성생명보험 46,893(3,411 증가), (주)오케이 저축은 48,000(48,000 증가), 농협은행 6(30 감소), 용현신협 50,000(50,000 증가), 씨티은행 12,891(119 증가), 메트라이프 생명보험 0(59,000 감소), 학익 100,000(100,000 증가), (주)KEB하나은행 1,697,888(97,832 감소), 국민은행 13,835 (12 증가), 농협중앙회 30,000, 한국투자증권 19, 한마음 0(100,000 감소), SBI저축은행 48,000(48,000 증가), 한마음 102,056(102,056 증가), 교보증권 22, 메리츠종금증권 1 ","2,072,034","1,501,218","1,410,194","2,163,058","예금입출금으로인한변동및 주식매도, 임대차계약 만료에 따른 보증금 반환 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 153, 하나금융투자 42,701(42,701 증가), 국민은행 22,757(547 증가), 신한은행 19,094(318,548 감소), SK증권 9,152,082(5,296,101 증가), 삼성생명보험 65,628, 중소기업은행 83,351(4,034 증가), NH투자증권 0(6,256 감소), 중국건설은행대동지행 443,808(81,418 증가), 부산은행 25 ","4,729,602","6,346,993","1,246,996","9,829,599",
,,,,,,,
삼녀 ,,"국민은행 27,188(6,208 증가) ","20,980","6,208",0,"27,188",
,,,,,,,
▶ 유가증권(소계) ,"14,232,351","61,479","7,046,261","7,247,569",,,
,,,,,,,
본인 ,비상장주식 ,"애니21 3,000주, 보코테크 13,000주 ","21,500",0,0,"21,500",주식매도매입으로인한변동 
,,,,,,,
배우자 ,상장주식 ,"LG유플러스보통 0주(1,258주 감소), 삼성 KODEX 코스 0주 (43,613주 감소), 삼성바이오로직 0주(93주 감소), 코스맥스 보통주 0주(90주 감소), 종근당보통주 0주(360주 감소), 화승인더스트리 0주(1,213주 감소), SK케미칼보통주 0주(369주 감소),아세아보통주 0주(40주감소),에스케이씨코오 0주(1,957주 감소), 셀트리온 0주(187주 감소), 아세아시멘트보 0주(149주 감소), 아모텍 0주(2,138주 감소), 미래컴퍼니 0주(195주 감소), 서연보통주 0주(1,849주 감소), 에스에프에이 0주(1,246주 감소), 한양이엔지 0주(2,034주 감소), S-Oil 보통주 0주(286주 감소), 신도리코보통주 0주(291주 감소), 하이비젼시스템 0주(1,333주 감소), 삼화콘덴서공업 0주(656주 감소), 유비쿼스 0주(348주 감소), 서울반도체 0주(222주 감소), 비에이치 0주(2,485주 감소), 뉴트리바이오텍 0주 (719주감소),삼성화재해상보 0주(63주감소),강원랜드보통주 0주(178주 감소), 대한유화보통주 0주(40주 감소), 와이지-원 0주(3,027주 감소), 덕산네오룩스 0주(624주 감소), 메카로 0주(169주 감소), 효성보통주 0주(250주 감소), 삼성 KODEX200 0주(23,255주 감소), 삼성물산보통주 0주(291주 감소), 한국 가스공사보 0주(238주 감소), 중소기업은행보 0주(2,147주 감소), SK텔레콤보통주 0주(105주 감소), 고영테크놀러지 0주 (763주 감소), 와이엠씨 0주(2,428주 감소), 씨제이오쇼핑 0주 (98주 감소), 한국전력공사보 0주(496주 감소), 아바코 0주 (3,083주 감소), 솔브레인 0주(890주 감소), 하이록코리아 0주(722주 감소), 세아베스틸보통 0주(614주 감소), 대한항공 보통주 0주(1,903주 감소), 한국공항보통주 0주(139주 감소), 지에스홈쇼핑 0주(302주감소),지란지교시큐리0주(2,133주 감소), 현대로보틱스보 0주(137주 감소), 예림당 0주(414주 감소), 한국화장품보통 0주(766주 감소), 인지디스플레이 0주 (2,253주 감소), 테라젠이텍스 0주(891주 감소), 한국타이어 보통 0주(87주 감소), 휴젤 0주(106주 감소), 월덱스 0주 (6,908주 감소), 두산밥캣보통주 0주(758주 감소), 한솔케미칼보통 0주(390주 감소), 현대글로비스보 500주(71주 감소), 대우증권보통주 312주, 한국공항보통주 0주(410주 감소), 비츠로셀 0주(1,329주 감소), 화성산업보통주 0주(867주 감소), 삼성 KODEX200 0주(2,881주 감소), 티에스이 0주(189주 감소), OCI보통주 0주(765주 감소), 엑시콘 0주(690주 감소), 포스코켐텍 0주(2,177주 감소), 화승엔터프라이 0주(225주 감소), 원익아이피에스 0주(252주 감소), SK보통주 0주(74주 감소), 이건산업보통주 0주(1,936주 감소), 삼성전기보통주 0주(644주 감소), 한미약품보통주 0주(84주 감소), 쏠리드 0주(2,361주 감소), 서부티엔디 13,087주(1,189주 증가), 만도보통주 0주(24주 감소), 한화생명보험보 0주(5,798주 감소), S&T모티브보통주 0주(182주 감소), 현대미포조선보 0주(135주 감소), 케이씨텍보통주 0주(527주 감소), 현대건설 기계보 0주(89주 감소), 태광 0주(2,312주 감소), 두올보통주 0주(1,192주 감소), 서부티엔디 5,784주(526주 증가), 슈피겐 코리아 0주(130주 감소), LG디스플레이보 0주(629주 감소), SK보통주 0주(210주 감소), 현대중공업보통 0주(15주 감소), 대원산업 0주(2,207주 감소), 삼성엔지니어링 0주(3,908주 감소), 신라젠 0주(569주 감소), 파트론 0주(1,648주 감소), 노루페인트 보통 0주(2,052주 감소), 효성보통주 0주(290주 감소), 프로텍 0주(1,571주 감소), 한국투자금융지 0주 (1,169주감소),한화보통주 0주(1,826주감소),한일시멘트 보통 0주(129주 감소), 삼성 KODEX 200 0주(13,005주 감소), 종근당보통주 0주(123주감소),미래에셋TIGER 0주(8,137주 감소), 테스 0주(58주 감소), 제이엠티 0주(3,181주 감소), S&T홀딩스보통주 0주(1,167주 감소), 하나머티리얼즈 0주 (983주 감소), 두산인프라코어 8,100주(3,290주 증가), 한국 타이어월드 0주(135주 감소), 한세실업보통주 0주(508주 감소), IHQ보통주 0주(9,049주 감소), 신세계건설 0주(861주 감소), 고려아연보통주 0주(10주 감소), 우리은행보통주 0주 (2,088주 감소), 티씨케이 0주(682주 감소), 삼성 KODEX 삼성 0주(13,360주 감소), 금호석유화학보 0주(597주 감소), 동진 쎄미켐 0주(1,030주 감소), 에스케이하이닉 0주(267주 감소) 등","7,281,881","61,479","7,046,261","297,099",
,,,,,,,
,,,,,,,
배우자 ,비상장주식 ,"푸르밀 126,000주, KIPM 210,000주, 대선건설 479,897주, 삼경축산 90,000주 ","6,928,970",0,0,"6,928,970",
,,,,,,,
▶ 채무(소계) ,"3,815,000",0,0,"3,815,000",,,
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강남구 논현동 임대보증금 ,"15,000",0,0,"15,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"중소기업은행 3,800,000 ","3,800,000",0,0,"3,800,000",변동없음 
,,,,,,,
▶ 회원권(소계) ,"438,500",0,0,"438,500",,,
,,,,,,,
본인 ,골프 ,제일CC ,"166,500",- ,- ,"166,500",변동없음 
,,,,,,,
본인 ,헬스 ,메리어트호텔 ,"32,000",- ,- ,"32,000",변동없음 
,,,,,,,
본인 ,골프 ,이스트밸리CC ,"120,000",- ,- ,"120,000",변동없음 
,,,,,,,
배우자 ,헬스 ,반얀트리클럽앤파스 ,"120,000",- ,- ,"120,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
장녀 ,,고지거부 ,- ,- ,- ,- ,기타 
,,,,,,,
차녀 ,,고지거부 ,- ,- ,- ,- ,기타 
,,,,,,,
총계 ,"19,388,135","8,058,898","9,903,451","17,543,582","증 감 액 : -1,844,553천원 (가액변동: 108,670천원) ",,
,,,,,,,
