소속 ,국회 ,직위 ,국회의원 ,성명 ,권은희 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"2,367,541","17,337",0,"2,384,878",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,광주광역시 광산구 월계동 첨단라인1차아파트 건물 59.40m² ,"10,000",0,0,"10,000",
,,,,,,,
배우자 ,상가 ,충청북도 청주시 서원구 산남동 RS타워 대지 19.79m² 건물 182.40m² 중 91.20m² ,"151,000",0,0,"151,000",
,,,,,,,
배우자 ,상가 ,충청북도 청주시 서원구 산남동 RS타워 대지 29.20m² 건물 269.10m² 중 138.50m² ,"199,388","2,592",0,"201,980",가액변동 
,,,,,,,
배우자 ,상가 ,충청북도 청주시 서원구 산남동 RS타워 대지 16.21m² 건물 149.43m² 중 78.70m² ,"124,000",0,0,"124,000",
,,,,,,,
배우자 ,상가 ,충청북도 청주시 서원구 산남동 두꺼비빌딩 대지 28.17m² 건물 135.24m² ,"210,941","2,144",0,"213,085",가액변동 
,,,,,,,
배우자 ,상가 ,충청북도 청주시 서원구 산남동 두꺼비빌딩 대지 28.41m² 건물 135.24m² ,"212,693","2,161",0,"214,854",가액변동 
,,,,,,,
배우자 ,근린생활시설 ,충청북도 청주시 서원구 산남동 두꺼비빌딩 대지 22.24m² 건물 106.76m² ,"166,528","1,693",0,"168,221",가액변동 
,,,,,,,
배우자 ,숙박시설 ,"제주특별자치도 서귀포시 서귀동 오션팰리스 대지 2,715.00m² 중 13.16m² 건물 77.38m² ","237,110",0,0,"237,110",
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 마포구 상수동 래미안밤섬리베뉴 1차 건물 84.99m² ,"400,000",0,0,"400,000",
,,,,,,,
배우자 ,상가 ,"경기도 화성시 반송동 풍성위버폴리스 대지 5,560.00m² 중 7.12m² 건물 34.90m² 중 34.88m² ","134,893","1,780",0,"136,673",가액변동 
,,,,,,,
배우자 ,상가 ,경기도 화성시 반송동 풍성위버폴리스 대지 20.69m² 건물 100.82m² ,"384,997","5,172",0,"390,169",가액변동 
,,,,,,,
배우자 ,상가 ,"경기도 화성시 반송동 풍성위버폴리스 대지 5,560.00m² 중 7.18m² 건물 35.15m² ","135,991","1,795",0,"137,786",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"22,300",0,0,"22,300",,,
,,,,,,,
배우자 ,자동차 ,"2009년식 쏘렌토R 배기량(2,000cc) ","10,300",- ,- ,"10,300",
,,,,,,,
배우자 ,자동차 ,"2010년식 BMW 배기량(1,995cc) ","12,000",- ,- ,"12,000",
,,,,,,,
▶ 예금(소계) ,"94,564","46,002","66,495","74,071",,,
,,,,,,,
본인 ,,"신한은행 465(259 증가), 우리은행 26(122 감소), 중소기업은행 61(1 증가), 농협은행 37,092(5,369 증가), (주)KEB하나은행 2,821(5,143 감소), 광주은행 111 ","40,212","32,325","31,961","40,576",생활비 지출 
,,,,,,,
배우자 ,,"(주)KEB하나은행 33,408(18,579 감소), 세종부강신협 11, 주성신협 67(67 증가), 우리은행 9(2,345 감소) ","54,352","13,677","34,534","33,495",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"25,680","18,579",0,"44,259",,,
,,,,,,,
본인 ,,"농협은행 44,259(18,579 증가) ","25,680","18,579",0,"44,259",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"140,000",0,0,"140,000",,,
,,,,,,,
배우자 ,비상장주식 ,"스마트에듀 8,000주, 케이이비앤파트너스 20,000주 ","140,000",0,0,"140,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"1,715,918","1,738","99,918","1,617,738",,,
,,,,,,,
본인 ,,사인간채무 감소 ,"10,000",0,"10,000",0,채무변제 
,,,,,,,
본인 ,금융기관채무 ,"우리은행 0(4,918 감소) ","4,918",0,"4,918",0,금융기관명 수정 
,,,,,,,
본인 ,기타 ,한국장학재단 증가 ,0,"1,738",0,"1,738",학자금대출 
,,,,,,,
배우자 ,,사인간채무 ,"710,000",0,0,"710,000",
,,,,,,,
배우자 ,금융기관채무 ,"(주)KEB하나은행 676,000(15,000 감소) ","691,000",0,"15,000","676,000",일부변제 
,,,,,,,
배우자 ,건물임대채무 ,충청북도 청주시 서원구 산남동 두꺼비빌딩 3건 임대보증금 감소 ,"70,000",0,"70,000",0,임대차기간만료 
,,,,,,,
배우자 ,건물임대채무 ,충청북도 청주시 서원구 산남동 RS타워 3건 임대보증금 ,"50,000",0,0,"50,000",
,,,,,,,
배우자 ,건물임대채무 ,경기도 화성시 반송동 풍성 위버폴리스 임대보증금 ,"25,000",0,0,"25,000",
,,,,,,,
배우자 ,건물임대채무 ,경기도 화성시 반송동 풍성위버폴리스 2건 임대보증금 ,"155,000",0,0,"155,000",
,,,,,,,
총계 ,"934,167","80,180","-33,423","1,047,770","증 감 액 : 113,603천원 (가액변동: 17,337천원) ",,
,,,,,,,
