소속 ,국회 ,직위 ,국회의원 ,성명 ,윤소하 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"25,764","1,287",0,"27,051",,,
,,,,,,,
배우자 ,전 ,전라남도 해남군 옥천면 대산리 135번지 483.00m² ,"1,685",92,0,"1,777",가액변동 
,,,,,,,
배우자 ,전 ,"전라남도 해남군 옥천면 대산리 135-1번지 5,975.00m² ","24,079","1,195",0,"25,274",가액변동 
,,,,,,,
▶ 건물(소계) ,"64,000","190,000","64,000","190,000",,,
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,"서울특별시 영등포구 영등포동7가 영등포리버텔 건물 0.00m² 중 0.00m² (건물 총면적 659.00m² 감소, 지분면적 28.53m² 감소) ","10,000",0,"10,000",0,계약 만료 
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,"서울특별시 영등포구 영등포동7가 프리마리버텔 건물 7,277.32m² 중 27.75m² (건물 총면적 7,277.32m² 증가, 지분면적 27.75m² 증가) ",- ,"10,000",0,"10,000",신규 계약 
,,,,,,,
배우자 ,아파트 ,전라남도 목포시 산정동 신안비치 건물 0.00m² (건물 59.31m² 감소) ,"54,000",0,"54,000",0,매도 
,,,,,"-75,000",,
,,,,,,,
배우자 ,아파트 전세(임차)권 ,전라남도 목포시 연산동 골드클래스8차 건물 96.30m² (건물 96.30m² 증가) ,- ,"180,000",0,"180,000",신규 계약 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"55,730","5,500","11,330","49,900",,,
,,,,,,,
본인 ,자동차 ,"2016년식 올뉴카니발리무진 배기량(2,200cc) ","29,000",0,"4,070","24,930",가액변동 
,,,,,,,
배우자 ,자동차 ,"2017년식 뉴K5 배기량(1,999cc) ","26,730",0,"7,260","19,470",가액변동 
,,,,,,,
차녀 ,자동차 ,"2011년식 뉴SM3 배기량(1,599cc) 증가 ",0,"5,500",0,"5,500",매수 
,,,,,,,
▶ 예금(소계) ,"249,014","54,690","98,152","205,552",,,
,,,,,,,
본인 ,,"농협생명보험 1,149, NH투자증권 2, 롯데손해보험 660(660 증가), 농협은행 2,368(71,735 감소), 목포신협 7, 농협중앙회 1, 광주은행 83(3 증가) ","75,342","1,850","72,922","4,270",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"DB손해보험(주) 0(3,400 감소), (주)KEB하나은행 2,221(2,221 증가), 케이디비생명보험 8,567(652 증가), 광주은행 3, 메리츠화재해상보험 2,035(660 증가), 국민은행 13(2 감소), 현대해상화재보험 3,285(1,314 증가), 에이아이지손해보험(주) 257(196 증가), 삼성화재해상보험 150(150 증가), (주)KB손해보험 27,039(5,390 증가), 농협중앙회 29(5,228 감소), 한화손해보험 0(739 감소), 한화생명보험 56,327(5,109 증가), 신한생명보험 0(4,489 감소), 현대라이프생명보험 2,679(170 증가), 우리은행 2,123(296 증가), 신용협동조합중앙회 1,042(1,039 증가), 농협은행 1,191(896 증가), 농협생명보험 10,000(6,014 감소), MG손해보험(주) 1,660(1,050 증가)","119,350","22,543","23,272","118,621",
,,,,,,,
,,,,,,,
장녀 ,,"국민은행 22, (주)KEB하나은행 2,636(2,459 증가), DB손해 보험(주) 14,960(4,420 증가), 농협중앙회 372(296 증가), 중소기업은행 1,435(44 감소), 한화생명보험 27,360(7,029 증가), AIA생명보험 520, 동양생명보험 2,450(853 증가), 우리은행 2,053(81 증가), 광주은행 410(409 증가), (주)KB손해보험 1,508, DB생명보험(주) 1,091, 메리츠화재해상보험 429, 삼성화재해상보험 30(30 증가) ","39,743","15,992",459,"55,276",
,,,,,,,
차녀 ,,"한화생명보험 2,927(980 감소), 광주은행 6,097(998 증가), (주)KB손해보험 497(447 증가), 흥국화재해상보험(주) 120, 전남대학교병원 1,694(1,694증가),DB손해보험(주)3,840 (886 증가), 스탠다드차타드은행 400(390 증가), 중소기업 은행 4,455(4,155 증가), (주)KEB하나은행 3,356(3,244 증가), 한화손해보험 1,254(741 증가), 삼성화재해상보험 30(30 증가), 동양생명보험 2,715(1,201 증가) ","14,579","14,305","1,499","27,385",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"70,836",0,"57,717","13,119",,,
,,,,,,,
본인 ,,"농협은행 13,119(57,717 감소) ","70,836",0,"57,717","13,119",정치자금 지출 등 
,,,,,,,
▶ 채무(소계) ,"116,522","117,500","48,409","185,613",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 67,132(6,780 감소) ","73,912","15,000","21,780","67,132",일부 상환 
,,,,,,,
배우자 ,금융기관채무 ,"(주)KEB하나은행 100,000(100,000 증가), 한화생명보험 3,500(16,375 감소), 전북은행 14,981(7,754 감소) ","42,610","102,500","26,629","118,481",전세자금대출 등 
,,,,,,,
총계 ,"348,822","133,977","182,790","300,009","증 감 액 : -48,813천원 (가액변동: -10,043천원) ",,
,,,,,,,
