소속 ,국회 ,직위 ,국회의원 ,성명 ,윤영석 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"917,236",0,"10,000","907,236",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,경상남도 양산시 물금읍 범어로 77 물금우미린아파트 건물 80.00m² ,"30,000",0,"10,000","20,000",보증금 조정 
,,,,,,,
본인 ,아파트 (분양권) ,서울특별시 강남구 개포동 건물 72.73m² 중 36.36m² ,"368,618",- ,- ,"368,618",변동없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 송파구 잠실동 갤러리아팰리스 건물 151.18m² ,"150,000",- ,- ,"150,000",변동없음 
,,,,,,,
배우자 ,아파트 (분양권) ,서울특별시 강남구 개포동 건물 72.73m² 중 36.36m² ,"368,618",- ,- ,"368,618",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"33,500",0,200,"33,300",,,
,,,,,,,
본인 ,자동차 ,"2012년식 제네시스 배기량(3,300cc) ","23,200",0,100,"23,100",가액변동 
,,,,,,,
본인 ,자동차 ,"2010년식 카니발 배기량(2,199cc) ","10,300",0,100,"10,200",가액변동 
,,,,,,,
▶ 예금(소계) ,"29,293","4,524","3,549","30,268",,,
,,,,,,,
본인 ,,"영등포제일 126(3 증가), KB증권 10, 농협은행 11,837(1,010 감소), (주)KB손해보험 14,580(1,922 증가), 물금 1,114(33 증가), 씨티은행 35, 국민은행 1,051(54 증가), 새마을금고중앙회 공제사업부 1,153 ","28,904","4,524","3,522","29,906",급여 저축 
,,,,,,,
배우자 ,,"(주)KEB하나은행 0(27 감소), 국민은행 362 ",389,0,27,362,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"140,655",0,0,"140,655",,,
,,,,,,,
본인 ,,"농협은행 140,655 ","140,655",0,0,"140,655",
,,,,,,,
▶ 채무(소계) ,"618,705",0,705,"618,000",,,
,,,,,,,
본인 ,,사인간채무 ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
본인 ,금융기관채무 ,"농협은행 100,000, 국민은행 488,000 ","588,000",0,0,"588,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,롯데카드 0(705 감소) ,705,0,705,0,채무변제 
,,,,,,,
총계 ,"501,979","4,524","13,044","493,459","증감액:-8,520천원 (가액변동: -200천원) ",,
,,,,,,,
