소속 ,국회 ,직위 ,국회의원 ,성명 ,윤영일 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"5,890",0,240,"5,650",,,
,,,,,,,
본인 ,대지 ,"전라남도 해남군 화산면 율동리 248번지 1,101.00m² ","5,890",0,240,"5,650",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,341,000","113,000",0,"1,454,000",,,
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 대치동 은마아파트 건물 94.76m² ,"791,000","113,000",0,"904,000",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 동작구 본동 래미안트윈파크 건물 84.76m² ,"550,000",- ,- ,"550,000",
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"19,720",0,"2,660","17,060",,,
,,,,,,,
본인 ,자동차 ,"2012년식 제네시스 배기량(3,342cc) ","19,720",0,"2,660","17,060",가액변동 
,,,,,,,
▶ 예금(소계) ,"587,594","106,263","25,073","668,784",,,
,,,,,,,
본인 ,,"중소기업은행 328,891(26,465 증가), 농협은행 43,155 (30,966 증가), 대신증권 26, 국민은행 24,933(10,144 증가), IBK연금보험 100,000, 교보생명보험 92,250(1,800 증가) ","519,880","87,153","17,778","589,255",급여저축 등 
,,,,,,,
배우자 ,,"(주)비엔케이저축은행 3(3 증가), 국민은행 21,949(19,107 증가), 중소기업은행 1, 삼성증권 4(7,295 감소), 한화생명보험 6,876, 우리은행 696, 미래에셋생명보험 50,000 ","67,714","19,110","7,295","79,529",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"189,653",0,"24,733","164,920",,,
,,,,,,,
본인 ,,"농협은행 164,920(24,733 감소) ","189,653",0,"24,733","164,920",후원금감소및정치자금지출증가 
,,,,,,,
▶ 채권(소계) ,"25,000",0,0,"25,000",,,
,,,,,,,
배우자 ,,사인간채권 ,"25,000",0,0,"25,000",
,,,,,,,
▶ 채무(소계) ,"320,000",0,0,"320,000",,,
,,,,,,,
배우자 ,,사인간채무 ,"120,000",0,0,"120,000",
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 강남구 대치동 은마아파트 임대보증금 ,"200,000",0,0,"200,000",
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"52,994",0,"52,994",0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손자1 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손자2 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
장녀 ,,등록제외 ,"52,994",0,"52,994",0,혼인 
,,,,,,,
총계 ,"1,901,851","219,263","105,700","2,015,414","증 감 액 : 113,563천원 (가액변동: 110,100천원) ",,
,,,,,,,
