소속 ,국회 ,직위 ,국회의원 ,성명 ,윤일규 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"505,130","3,584","7,611","501,103",,,
,,,,,,,
본인 ,대지 ,충청남도 천안시 동남구 다가동 406-14번지 573.30m² ,"307,690","3,153",0,"310,843",가액변동 
,,,,,,,
차남 ,답 ,충청남도 천안시 동남구 목천읍 139-5번지 0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
차남 ,답 ,충청남도 천안시 동남구 목천읍 신계리 139-5번지 392.00m² ,"62,249",431,0,"62,680",가액변동 
,,,,,,,
차남 ,대지 ,충청남도 천안시 동남구 영성동 78-3번지 258.00m² ,"113,081",0,"7,224","105,857",가액변동 
,,,,,,,
차남 ,대지 ,충청남도 천안시 동남구 영성동 80-6번지 30.00m² ,"22,110",0,387,"21,723",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,207,724","512,027","60,511","1,659,240",,,
,,,,,,,
배우자 ,아파트 ,충청남도 천안시 동남구 안서동 대림e편한세상아파트 건물 144.25m² ,"197,000",0,0,"197,000",가액변동없음 
,,,,,,,
배우자 ,상가 ,충청남도 천안시 동남구 목천읍 신계리 대지 984.00m² 건물 386.39m² ,"689,286",0,"60,511","628,775",가액변동 
,,,,,,,
모 ,단독주택 ,"경상남도 거제시 능포동 대지 327.00m² 건물 59.60m² (대지 327.00m² 증가, 건물 59.60m² 증가) ",- ,"160,000",0,"160,000",상속 
,,,,"-160,000",,,
,,,,,,,
장녀 ,상가 ,충청남도 천안시 동남구 목천읍 신계리 대지 233.00m² 건물 98.22m² ,"321,438","2,027",0,"323,465",가액변동 
,,,,,,,
장녀 ,아파트 전세(임차)권 ,충청남도 천안시 서북구 쌍용동 파크밸리동일하이빌 건물 164.74m² (건물 164.74m² 증가) ,- ,"350,000",0,"350,000",신규 계약 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"63,224","2,306","5,726","59,804",,,
,,,,,,,
본인 ,자동차 ,"2007년식 CRV 배기량(2,354cc) ","6,000",0,"5,360",640,가액변동 
,,,,,,,
배우자 ,자동차 ,"2017년식 ES300h 배기량(2,494cc) ","17,040",- ,- ,"17,040",변동없음 (렌트보증금) 
,,,,,,,
장녀 ,자동차 ,"2016년식 시티 배기량(1,798cc) ","17,000","2,306",0,"19,306",가액변동 
,,,,,,,
장남 ,자동차 ,"2016년식 Is300 배기량(3,456cc) ","23,184",0,366,"22,818",가액변동 
,,,,,,,
▶ 예금(소계) ,"358,687","113,073","129,071","342,689",,,
,,,,,,,
본인 ,,"신한은행 8(154 감소), 삼성생명보험 47,466, 농협은행 86,759 (86,759 증가), 국민은행 4,574(47,856 감소), 농협중앙회 412(25,199 감소), 삼성화재해상보험 2,050(150 증가) ","127,569","86,909","73,209","141,269",전세계약금등으로예금감소등 
,,,,,,,
배우자 ,,"중부 5, 국민은행 1,511(2,100 감소), 삼성화재해상보험 55,248(3,722 증가), 농협중앙회 14,465(50,035 감소), 중소기업은행 0(100 감소), 삼성생명보험 4,650, 씨티은행 244 ","124,636","3,722","52,235","76,123",
,,,,,,,
모 ,,"농협중앙회 3,697(1,633 증가) ","2,064","1,633",0,"3,697",
,,,,,,,
장녀 ,,"국민은행 8,242(164 감소), 농협중앙회 3,884(1,881 증가), 중소기업은행 1, 농협생명보험 33,000(7,000 증가), 우리은행 1,078(1,078 증가), 삼성화재해상보험 20,199(1,782 증가) ","54,827","12,941","1,364","66,404",
,,,,,,,
장남 ,,"신한은행 78(439 감소), 국민은행 3, 우리은행 7(7 증가), 삼성화재해상보험 20,202(1,782 증가) ","18,940","1,789",439,"20,290",
,,,,,,,
차남 ,,"농협생명보험 26,400(5,600 증가), 국민은행 7,979(1,824 감소), 농협중앙회 527(479 증가) ","30,651","6,079","1,824","34,906",
,,,,,,,
▶ 채무(소계) ,"1,311,433","477,510","140,476","1,648,467",,,
,,,,,,,
본인 ,금융기관채무 ,"중소기업은행 50,000, 농협중앙회 100,000 ","150,000","50,000","50,000","150,000",일부상환후재대출 
,,,,,,,
배우자 ,금융기관채무 ,"국민은행 188,873(2,664 감소), 농협중앙회 483,752(16,248 감소) ","691,537","33,752","52,664","672,625",가계자금대출 
,,,,,,,
배우자 ,건물임대채무 ,충청남도 천안시 동남구 목천읍 신계리 임대보증금 감소 ,"225,000","20,000","35,000","210,000",계약자변경및보증금감소등 
,,,,,,,
장녀 ,금융기관채무 ,"농협중앙회 235,758(46,758 증가), 농협생명보험 25,000(25,000 증가), 우리은행 280,000(280,000 증가) ","189,000","351,758",0,"540,758",전세자금 대출 등 
,,,,,,,
장녀 ,건물임대채무 ,충청남도 천안시 동남구 목천읍 신계리 임대보증금 ,"45,000",0,0,"45,000",변동없음 
,,,,,,,
장남 ,금융기관채무 ,"lexusfinancial 8,084(2,812 감소) ","10,896",0,"2,812","8,084",일부상환 
,,,,,,,
차남 ,금융기관채무 ,"농협생명보험 22,000(22,000 증가) ",0,"22,000",0,"22,000",신규 대출 
,,,,,,,
▶ 회원권(소계) ,"10,000",0,"7,000","3,000",,,
,,,,,,,
배우자 ,콘도미니엄 ,현대패밀리타운콘도미엄 감소 ,"10,000",0,"7,000","3,000",가액변동 
,,,,,,,
▶ 합명.합자.유한회사 출자지분(소계) ,"69,000",0,0,"69,000",,,
,,,,,,,
배우자 ,출자 ,"그린케어월드, 출자가액: 69,000천원, 지분비율: 30.0%, 연간매출액: 2,850,000천원(850,000천원 증가) ","69,000",0,0,"69,000",변동없음 
,,,,,,,
총계 ,"902,332","153,480","69,443","986,369","증감액:84,037천원 (가액변동: -65,931천원) ",,
,,,,,,,
