소속 ,국회 ,직위 ,국회의원 ,성명 ,윤재옥 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,0,"1,276",0,"1,276",,,
,,,,,,,
부 ,임야 ,"경상남도 합천군 덕곡면 포두리 1327번지 1,064.00m² (1,064.00m² 증가) ",- ,"1,276",0,"1,276",추가 신고 
,,,,"-1,276",,,
,,,,,,,
▶ 건물(소계) ,"1,114,000","147,000","5,000","1,256,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 송파구 오금동 현대아파트 건물 130.93m² ,"644,000","146,000",0,"790,000",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,대구광역시 달서구 상인동 건물 261.00m² ,"150,000",0,0,"150,000",변동없음 
,,,,,,,
배우자 ,아파트 ,대구광역시 달서구 도원동 사계절타운아파트 건물 84.96m² ,"159,000","1,000",0,"160,000",가액변동 
,,,,,,,
부 ,아파트 ,대구광역시 달서구 월성동 월성영남맨션 건물 84.89m² ,"161,000",0,"5,000","156,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"35,500",0,"8,040","27,460",,,
,,,,,,,
본인 ,자동차 ,"2017년식 그랜저 IG 배기량(2,999cc) ","35,500",0,"8,040","27,460",가액변동 
,,,,,,,
▶ 예금(소계) ,"533,973","477,070","438,325","572,718",,,
,,,,,,,
본인 ,,"월배 108, 중소기업은행 50, 대구은행 100(5 감소), 농협은행 25,782(782 증가), 국민은행 100,979(27,349 증가), (주)KEB하나은행 172,282(4,756 증가), 오렌지라이프생명보험 8,400 ","274,819","270,178","237,296","307,701",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 53,181(2,933 감소), KB생명보험 50,000(50,000 증가), 국민은행 147,031(2,554 감소), 삼성화재해상보험 437(64 증가), 신한생명보험 3,754(672 증가), 오렌지라이프생명보험 0(50,000 감소) ","259,154","196,278","201,029","254,403",
,,,,,,,
차녀 ,,"국민은행 10,609(10,609 증가), 한국카카오은행(주) 5(5 증가) ",0,"10,614",0,"10,614",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"44,786","25,418",0,"70,204",,,
,,,,,,,
본인 ,,"농협은행 70,204(25,418 증가) ","44,786","25,418",0,"70,204",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"31,070",0,"17,855","13,215",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 13,215(17,855 감소) ","31,070",0,"17,855","13,215",리스료 일부상환 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장녀 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"1,697,189","650,764","433,510","1,914,443","증 감 액 : 217,254천원 (가액변동: 133,960천원) ",,
,,,,,,,
