소속 ,국회 ,직위 ,국회의원 ,성명 ,윤종필 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"258,538","41,967",0,"300,505",,,
,,,,,,,
배우자 ,전 ,"경기도 여주시 대신면 가산리 267-1번지 3,636.00m² ","102,898","4,000",0,"106,898",가액변동 
,,,,,,,
배우자 ,전 ,"경기도 여주시 대신면 가산리 267-4번지 1,485.00m² ","39,649","1,634",0,"41,283",가액변동 
,,,,,,,
배우자 ,임야 ,"경기도 여주시 흥천면 복대리 688-5번지 5,319.00m² ","114,890",0,0,"114,890",변동없음 
,,,,,,,
배우자 ,도로 ,경기도 여주시 흥천면 복대리 산 47-12번지 34.00m² ,"1,101","36,333",0,"37,434",가액변동 
,,,,,,,
▶ 건물(소계) ,"555,000","87,000",0,"642,000",,,
,,,,,,,
본인 ,아파트 ,경기도 성남시 분당구 서현동 한양아파트 건물 134.87m² ,"525,000","87,000",0,"612,000",가액변동 
,,,,,,,
본인 ,근린생활시설 전세(임차)권 ,경기도 성남시 분당구 서현동 풍림아이원플러스 건물 86.00m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"13,210",0,"1,470","11,740",,,
,,,,,,,
배우자 ,자동차 ,"2012년식 그랜저HG 배기량(2,359cc) ","13,210",0,"1,470","11,740",가액변동 
,,,,,,,
▶ 예금(소계) ,"749,954","136,542","87,985","798,511",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 115(1 증가), 삼성생명보험 24,233, KB생명보험 48,600, 신한은행 18,585(4,404 감소), 현대차증권 1,005(55 증가), KB증권 309(9 증가), 롯데손해보험 87,000(36,000 증가), 농협은행 1,863(1,079 감소), AIA생명보험 2,540(418 증가), 분당신협 100, 국민은행 89,211(29,068 증가), 한화생명보험 5,800(1,200 증가), 오렌지라이프생명보험 127,287(1,891 증가), DB손해보험(주) 11,187(1,494 증가), 스탠다드차타드은행 238(1 증가) ","353,419","82,465","17,811","418,073",급여저축및생활비 
,,,,,,,
배우자 ,,"DB손해보험(주) 29,709(3,892 감소), (주)KEB하나은행 23,859(21 증가), 에이비엘생명보험 50,000(50,000 증가), 미래에셋대우(주) 2,555(555 증가), 국민은행 138,781(260 증가), 에이아이지손해 보험(주) 523(251 증가), 신한은행 9,615(1,090 감소), 삼성생명 보험 84,061(797 증가), 에이스아메리칸화재해상보험 1,676(48 증가), 우리은행 39,659(63,047 감소) ","396,535","54,077","70,174","380,438",급여저축및생활비 
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"54,212","47,946",0,"102,158",,,
,,,,,,,
본인 ,,"농협은행 102,158(47,946 증가) ","54,212","47,946",0,"102,158",정치자금 
,,,,,,,
▶ 유가증권(소계) ,"37,855","2,199","12,257","27,797",,,
,,,,,,,
본인 ,상장주식 ,"POSCO 7주, 한국전력 12주 ","2,784",0,686,"2,098",평가액변동 
,,,,,,,
배우자 ,상장주식 ,"금호산업 1주, 권리/S&TC 보통 5주(5주 증가), SK하이닉스 5주, 대한통운 1주, STX 1주, S&TC 194주(194주 증가), SK이노베이션 60주, S&T홀딩스 258주(7주 증가), LG전자 145주, S&TC 0주(189주 감소) ","35,071","2,199","11,571","25,699",
,,,,,,,
배우자 ,비상장주식 ,"그린손해보험 160주, STX조선해양 1주 ",0,0,0,0,
,,,,,,,
▶ 채권(소계) ,"30,000",0,0,"30,000",,,
,,,,,,,
본인 ,,사인간채권 ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"40,000",0,"10,000","30,000",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 20,000(10,000 감소), 국민은행 10,000 ","40,000",0,"10,000","30,000",급여로 상환 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"1,658,769","315,654","91,712","1,882,711","증 감 액 : 223,942천원 (가액변동: 118,883천원) ",,
,,,,,,,
