소속 ,국회 ,직위 ,국회의원 ,성명 ,윤준호 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"100,278",0,0,"100,278",,,
,,,,,,,
부 ,전 ,경상남도 밀양시 삼랑진읍 송지리 368-9번지 36.00m² ,"9,442",0,0,"9,442",
,,,,,,,
부 ,답 ,경상남도 밀양시 삼랑진읍 검세리 575-12번지 569.00m² ,"34,140",0,0,"34,140",
,,,,,,,
부 ,전 ,경상남도 밀양시 삼랑진읍 안태리 904번지 324.00m² ,"16,329",0,0,"16,329",
,,,,,,,
부 ,답 ,"경상남도 밀양시 삼랑진읍 안태리 998번지 1,091.00m² ","40,367",0,0,"40,367",
,,,,,,,
▶ 건물(소계) ,"649,396","3,000",0,"652,396",,,
,,,,,,,
본인 ,근린생활시설 ,부산광역시 해운대구 반여동 대지 133.00m² 중 66.50m² 건물 193.17m² 중 96.59m² ,"214,698",0,0,"214,698",
,,,,,,,
배우자 ,근린생활시설 ,부산광역시 해운대구 반여동 대지 133.00m² 중 66.50m² 건물 193.17m² 중 96.59m² ,"214,698",0,0,"214,698",
,,,,,,,
배우자 ,아파트 ,부산광역시 해운대구 반여동 건물 59.92m² ,"205,000","3,000",0,"208,000",가액변동 
,,,,,,,
배우자 ,근린생활시설 전세(임차)권 ,부산광역시 해운대구 좌동 건물 192.68m² ,"15,000",0,0,"15,000",
,,,,,,,
▶ 예금(소계) ,"259,517","33,040","16,496","276,061",,,
,,,,,,,
본인 ,,"부산은행 617(1,812 감소), 신한은행 6,715(3,706 증가), 해운대신협 5,050, 처브라이프생명 39,022(1,090 증가), 농협은행 4,735(4,735 증가), 국민은행 214(194 증가), (주)KEB하나은행 251, 교보생명보험 23,700(2,100 증가) ","70,291","11,967","1,954","80,304",급여저축 외 
,,,,,,,
배우자 ,,"(주)KEB하나은행 6(594 감소), DB손해보험(주) 34,198(1,138 증가), 수협은행 1,050(210 증가), 흥국생명보험 6,837(1,628 증가), 국민은행 1,226(2,178 감소), 삼성화재해상보험 30,152(9,022 증가), 신한은행 129(128 감소), 우체국 0(6,125 감소), 동양생명보험 21,390(665 증가), 메트라이프생명보험 18,384(673 증가), 우리은행 1,037(2 증가), 농협은행 47(45 증가), 신한생명보험 10,683(346 증가), 교보생명보험 60,282(1,697 증가), 부산은행 1,085(960 증가) ","179,145","16,390","9,029","186,506",
,,,,,,,
부 ,,"신영증권 37, 농협중앙회 4,319(1,380 증가), 밀양 26, 부산은행 1,318(3,280 감소) ","7,600","1,380","3,280","5,700",
,,,,,,,
장남 ,,"중소기업은행 77(1,033 감소) ","1,110",0,"1,033",77,
,,,,,,,
차남 ,,"중소기업은행 3,438(2,075 증가), 국민은행 36(28 증가) ","1,371","3,303","1,200","3,474",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,0,"26,845",0,"26,845",,,
,,,,,,,
본인 ,,"농협은행 26,845(26,845 증가) ",0,"26,845",0,"26,845",예금잔액 
,,,,,,,
▶ 유가증권(소계) ,"270,305",0,"270,000",305,,,
,,,,,,,
본인 ,비상장주식 ,"주식회사 북부산코렘학워 0주(2,000주 감소), 주식회사 코렘에듀 0주(3,500주 감소), 주식회사 본원코렘어학원 0주(1,000주 감소), 주식회사 해운대코렘어학원 0주(3,500주 감소), 주식회사 개금코렘어학원 0주(3,500주 감소) ","135,000",0,"135,000",0,주식백지신탁 
,,,,,,,
배우자 ,비상장주식 ,"주식회사 개금코렘어학원 0주(1,500주 감소), 주식회사 코렘에듀 0주(1,500주 감소), 주식회사 본원코렘어학원 0주(3,000주 감소), 주식회사 해운대코렘어학원 0주(1,500주 감소), 주식회사 본원해운대코렘어학원 0주(3,000주 감소), 주식회사 북부산코렘학원 0주(3,000주 감소) ","135,000",0,"135,000",0,
,,,,,,,
부 ,비상장주식 ,"신영그린시스 1주, 삼익주택 60주 ",305,0,0,305,
,,,,,,,
▶ 채무(소계) ,"967,800","475,624","446,787","996,637",,,
,,,,,,,
본인 ,금융기관채무 ,"신한은행 20,000(30,000 감소), 처브라이프생명 18,410, JB우리캐피탈 69,817(69,817 증가), 국민은행 70,000, 교보생명보험 10,240 ","148,650","69,817","30,000","188,467",차량렌트로인한 부채증가 
,,,,,,,
배우자 ,금융기관채무 ,"DB손해보험(주) 13,260(1,460 증가), 흥국생명보험 1,914(1,914 증가), 국민은행 399,000(2,500 감소), 삼성화재해상보험 5,300(33 증가), 신한은행 30,000, 동양생명보험 7,100(2,100 증가), 메트라이프생명보험 3,300, 신한생명보험 6,500, 상호저축은행중앙회 274,496(15,287 감소), 교보생명보험 12,300(1,300 증가) ","764,150","405,807","416,787","753,170",생활비지출외 
,,,,,,,
배우자 ,건물임대채무 ,부산광역시 해운대구 반여동 임대보증금 ,"55,000",0,0,"55,000",변동없음 
,,,,,,,
총계 ,"311,696","-412,739","-160,291","59,248","증 감 액 : -252,448천원 (가액변동: 3,000천원) ",,
,,,,,,,
