소속 ,국회 ,직위 ,국회의원 ,성명 ,윤한홍 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"800,000","341,000","50,000","1,091,000",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,경상남도 창원시 마산회원구 양덕동 한일4차 건물 83.68m² ,"100,000","120,000",0,"220,000",보증금 증가 
,,,,,,,
본인 ,근린생활시설 전세(임차)권 ,경상남도 창원시 마산회원구 양덕동 메트로M빌딩 건물 0.00m² (건물 117.39m² 감소) ,"50,000",0,"50,000",0,계약만료 (후원회명의로 변경) 
,,,,,"-50,000",,
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 강남구 삼성동 삼부아그레빌 건물 125.00m² ,"650,000",0,0,"650,000",변동없음 
,,,,,,,
배우자 ,아파트 ,경상남도 창원시 의창구 신월동 신월주공아파트 건물 59.12m² (건물 59.12m² 증가) ,- ,"221,000",0,"221,000",배우자 모친 사망으로 인한 상속 (현재 공실) 
,,,,"-221,000",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"31,910",0,"4,470","27,440",,,
,,,,,,,
본인 ,자동차 ,"2017년식 싼타페 배기량(1,995cc) ","31,910",0,"4,470","27,440",가액변동 
,,,,,,,
▶ 예금(소계) ,"625,739","349,664","436,021","539,382",,,
,,,,,,,
본인 ,,"우리은행 1,613(319 증가), 삼성생명보험 39,804(2,100 증가), 회원신협 52(1 증가), 동부 102, 농협은행 292(463 감소), 합성1동 52(2 증가) ","39,956","2,422",463,"41,915","급여저축,생활비및 전세보증금 지출, 상속 부동산에대한전세금반환등 "
,,,,,,,
배우자 ,,"국민은행 111,456(129,757 감소), 무학신협 150(150 증가), 삼성생명보험 25,783(1,114 증가), AIA생명보험 10,373 (1,675 증가), 우리은행 282,854(28,799 증가) ","528,635","337,391","435,410","430,616",
,,,,,,,
장남 ,,"우리은행 28,350(3,700 증가), (주)KEB하나은행 467(148 감소) ","25,265","3,700",148,"28,817",
,,,,,,,
차남 ,,"(주)KEB하나은행 1,377(1,307 증가), 우리은행 36,645(4,844 증가), 신한은행 12 ","31,883","6,151",0,"38,034",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,0,0,0,0,,,
,,,,,,,
본인 ,,,0,0,0,0,지출 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,타인부양 
,,,,,,,
총계 ,"1,457,649","690,664","490,491","1,657,822","증 감 액 : 200,173천원 (가액변동: -4,470천원) ",,
,,,,,,,
