소속 ,국회 ,직위 ,국회의원 ,성명 ,윤호중 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"86,184","6,984",0,"93,168",,,
,,,,,,,
배우자 ,대지 ,서울특별시 서대문구 북가좌동 186-114번지 36.00m² ,"86,184","6,984",0,"93,168",가액변동 
,,,,,,,
▶ 건물(소계) ,"674,967","140,054","40,000","775,021",,,
,,,,,,,
본인 ,아파트 ,경기도 구리시 인창동 삼보아파트 건물 99.97m² ,"299,000","11,000",0,"310,000",가액변동 
,,,,,,,
본인 ,빌딩 전세(임차)권 ,경기도 구리시 수택동 보광빌딩 5층 건물 99.00m² ,"70,000",0,0,"70,000",변동없음 
,,,,,,,
본인 ,상가 ,"경기도 부천시 오정구 원종동 부천프라자 대지 2.70m² 건물 1,814.57m² 중 12.10m² ","15,967",54,0,"16,021",가액변동 
,,,,,,,
배우자 ,빌딩 전세(임차)권 ,서울특별시 광진구 구의3동 안흥빌딩 건물 0.00m² (건물 120.00m² 감소) ,"40,000",0,"40,000",0,전세만기 
,,,,,,,
배우자 ,복합건물(주 택+상가) ,경기도 구리시 인창동 쌍용플래티넘선스타워 건물 32.16m² ,"135,000",0,0,"135,000",변동없음 
,,,,,,,
배우자 ,다세대주택 ,서울특별시 서대문구 북가좌동 건물 41.49m² ,"115,000","9,000",0,"124,000",가액변동 
,,,,,,,
장남 ,오피스텔 전세(임차)권 ,대전광역시 유성구 봉명동 모나빌2차 건물 28.00m² (건물 28.00m² 증가) ,- ,"120,000",0,"120,000",전세보증금 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"16,955","3,485","1,950","18,490",,,
,,,,,,,
본인 ,자동차 ,"2006년식 로체 배기량(1,998cc) 감소 ","1,950",0,"1,950",0,폐차 
,,,,,,,
본인 ,자동차 ,"2012년식 모하비 배기량(2,959cc) ","15,005","3,485",0,"18,490",가액변동 
,,,,,,,
▶ 예금(소계) ,"820,938","281,154","297,021","805,071",,,
,,,,,,,
본인 ,,"신한은행 14, 우리은행 790(3,586 감소), 삼성생명보험 50,000, 현대라이프생명보험 50,000, 구리 1,113(29 증가), 농협은행 11,375(8,673 증가), 국민은행 8, 농협중앙회 7, (주)KEB하나은행 382(9,616 감소), 한화생명보험 50,000, 동양생명보험 50,000, 구리신협 1,078(22 증가) ","219,245","8,726","13,204","214,767",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"DB손해보험(주) 13,312(2,400 증가), 새마을금고중앙회 공제사업부 1,769(259 증가), 국민은행 1,297(146 증가), 우체국 10,000, 에이스아메리칸화재해상보험 1,092(400 증가), 한화손해보험 100,000, 구리 1, DB생명보험(주) 11,088, 우리은행 344,264(69,700 증가), 한화생명보험 24,000, 농협손해보험 48,960(8,640 증가), 농협은행 0(85,000 감소), 한국투자증권 10 ","559,248","261,849","265,304","555,793",급여저축및생활비지출등 
,,,,,,,
장남 ,,"신한은행 33(16 감소), 처브라이프생명 0(7,000 감소), 국민은행 9,340(7,566 증가), (주)KEB하나은행 14,279(9,357 감소), 우리은행 8,570(600 증가) ","40,429","10,306","18,513","32,222",
,,,,,,,
장녀 ,,"농협은행 1, 우리은행 2,255(240 증가), 신한은행 33(33 증가) ","2,016",273,0,"2,289",
,,,,,,,
▶ 채권(소계) ,0,"120,000",0,"120,000",,,
,,,,,,,
배우자 ,,사인간채권 증가 ,0,"120,000",0,"120,000",전세보증금 
,,,,,,,
▶ 채무(소계) ,"100,000","200,000","90,000","210,000",,,
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 서대문구 북가좌동 제일빌라 임대보증금 ,"80,000","80,000","80,000","80,000",세입자변경 
,,,,,,,
배우자 ,건물임대채무 ,경기도 구리시 인창동 쌍용플래티넘선스타워 임대보증금 감소 ,"20,000",0,"10,000","10,000",보증금 인하 
,,,,,,,
장남 ,,사인간채무 증가 ,0,"120,000",0,"120,000",전세보증금 
,,,,,,,
총계 ,"1,499,044","351,677","248,971","1,601,750","증 감 액 : 102,706천원 (가액변동: 30,523천원) ",,
,,,,,,,
