소속 ,국회 ,직위 ,국회의원 ,성명 ,윤후덕 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,612,400","96,835",0,"1,709,235",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 파주시 와동동 건물 171.87m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,경기도 파주시 와동동 건물 126.68m² ,"410,000",0,0,"410,000",변동없음 
,,,,,,,
배우자 ,상가 ,서울특별시 관악구 신림동 신림현대종합상가 대지 6.14m² 건물 14.10m² ,"30,400",835,0,"31,235",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 서대문구 대현동 럭키아파트 건물 105.79m² ,"390,000",0,0,"390,000",변동없음 
,,,,,,,
배우자 ,아파트 ,서울특별시 영등포구 여의도동 시범아파트 건물 118.12m² (건물 472.46m² 감소) ,"752,000","96,000",0,"848,000","가액변동,"
,,,,,,,전년도 오기 정정(건물 면적) 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"11,000",0,"1,000","10,000",,,
,,,,,,,
배우자 ,자동차 ,"2011년식 그랜저 HG 배기량(2,359cc) ","11,000",0,"1,000","10,000",가액변동 
,,,,,,,
▶ 예금(소계) ,"795,570","433,532","679,319","549,783",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 46,206, 우리은행 3,315(2,215 증가), 신한은행 1(1 증가), 중소기업은행 7(7 증가), 한화손해보험 16,000(6,000 증가), KB증권 18(18 증가), 농협은행 2,662(655 감소), 대신증권 119, 신한금융투자(주) 25(25 증가), (주)KEB하나은행 119(19 증가), 국민은행 6,303(85 증가), 삼성화재해상보험 8,095(1,548 감소) ","76,703","11,395","5,228","82,870","봉급저축,생활비지출,증여등 "
,,,,,,,
배우자 ,,"신용협동조합중앙회 신용공제사업부 25,500(3,000 증가), (주)KEB하나은행 3(3 증가), 흥국생명보험 3,064, 푸르덴셜생명보험 12,068(563 증가), 국민은행 490(248 감소), 신한은행 376,678(259,525 감소), 농협중앙회 30,000, SK증권3(3증가),우리은행81,서울약사신협 33(33증가) ","704,091","403,602","659,773","447,920",
,,,,,,,
장남 ,,"중소기업은행 1(1 증가), 국민은행 18,969(4,193 증가), (주)KEB하나은행 3(3 증가), 스탠다드차타드은행 20(20 증가) ","14,776","18,535","14,318","18,993",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"164,615","20,051","45,015","139,651",,,
,,,,,,,
본인 ,,"우리은행 7,095(1,507 증가), 농협중앙회 12,734(11,769 증가), 국민은행 119,822(38,240 감소) ","164,615","20,051","45,015","139,651",정치자금 지출 
,,,,,,,
▶ 채무(소계) ,"599,000",0,"12,000","587,000",,,
,,,,,,,
본인 ,금융기관채무 ,"우리은행 57,000(12,000 감소) ","69,000",0,"12,000","57,000",봉급으로 대출금 일부 상환 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 영등포구 여의도동 시범아파트 임대보증금 ,"530,000",0,0,"530,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"109,776",0,"109,776",0,,,
,,,,,,,
장녀 ,,등록제외 ,"109,776",0,"109,776",0,혼인 
,,,,,,,
총계 ,"2,094,361","550,418","823,110","1,821,669","증 감 액 : -272,692천원 (가액변동: -165천원) ",,
,,,,,,,
