소속 ,국회 ,직위 ,국회의원 ,성명 ,권칠승 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"300,000",0,0,"300,000",,,
,,,,,,,
본인 ,아파트 ,경기도 화성시 병점동 정든마을신창비바페밀리 2차 건물 101.98m² ,"285,000",0,0,"285,000",
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 화성시 병점동 씨네샤르망 건물 137.00m² ,"15,000",0,0,"15,000",지역 국회의원사무소 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"2,850",0,850,"2,000",,,
,,,,,,,
본인 ,자동차 ,"2004년식 옵티마 배기량(1,998cc) 감소 ",0,- ,- ,0,폐차 
,,,,,,,
본인 ,자동차 ,"2007년식 sm5 배기량(1,998cc) ","2,850",0,850,"2,000",가액변동 
,,,,,,,
▶ 예금(소계) ,"130,824","30,869","37,021","124,672",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 9,187(450 증가), 신한은행 6, 중소기업은행 5, KB증권 34, 농협은행 16,056(9,956 감소), 대신증권 770(4 증가), (주)KB손해보험 4,049(2,350 증가), 메트라이프생명보험 4,445, 신한생명보험 8,611(1,822 증가), 농협중앙회 14, 국민은행 11,813(8,220 증가), 흥국화재해상보험(주) 7,102(1,164 증가), (주)KEB하나은행 0(358 감소), DB손해보험(주) 0(23 감소) ","58,419","14,010","10,337","62,092",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 36, 하나금융투자 5,740(144 감소), DB손해 보험(주) 11,894(1,686 증가), KB생명보험 12,600(1,800 증가), 국민은행 2,112(1,733 증가), 농협중앙회 636(155 증가), 우체국 7,376(3,448 증가), 동양생명보험 1,401(1,401 증가), 한화손해보험 6,611(889 증가), 우리은행 1,698(858 감소), 교보생명보험 0(14,850 감소), 구로신협 3,621(2,279 증가) ","56,186","14,572","17,033","53,725",
,,,,,,,
장녀 ,,"국민은행 1,672(1,050 증가), (주)KEB하나은행 514(403 감소), 우리은행 20(6,370 감소), KB증권 468(462 증가), 신한은행 21(340 감소) ","8,296","1,882","7,483","2,695",
,,,,,,,
장남 ,,"신한은행 485(1,050 감소), 국민은행 725(953 감소), 우리은행 4,950(240 증가) ","7,923",405,"2,168","6,160",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"29,407","40,418",0,"69,825",,,
,,,,,,,
본인 ,,"농협은행 69,825(40,418 증가) ","29,407","40,418",0,"69,825",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"1,051",0,530,521,,,
,,,,,,,
배우자 ,상장주식 ,"씨에스윈드 0주(20주 감소), 코오롱생명과학 7주(2주 증가) ","1,051",0,530,521,매도 
,,,,,,,
▶ 채무(소계) ,"176,320",0,"3,356","172,964",,,
,,,,,,,
본인 ,,사인간채무 ,"15,000",0,0,"15,000",변동없음 
,,,,,,,
본인 ,금융기관채무 ,"국민은행 157,964(3,356 감소) ","161,320",0,"3,356","157,964",일부상환 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"287,812","71,287","35,045","324,054","증감액:36,242천원 (가액변동: -850천원) ",,
,,,,,,,
