소속 ,국회 ,직위 ,국회의원 ,성명 ,이규희 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"113,506",0,0,"113,506",,,
,,,,,,,
본인 ,전 ,"충청남도 천안시 동남구 동면 화계리 220-1번지 1,236.00m² ","31,765",0,0,"31,765",변동 없음 
,,,,,,,
본인 ,전 ,"충청남도 천안시 동남구 동면 화계리 220-2번지 1,228.00m² ","31,559",0,0,"31,559",변동 없음 
,,,,,,,
본인 ,전 ,"충청남도 천안시 동남구 동면 화계리 220-3번지 1,365.00m² ","35,080",0,0,"35,080",변동 없음 
,,,,,,,
본인 ,전 ,충청남도 천안시 동남구 동면 화계리 220-4번지 465.00m² ,"11,950",0,0,"11,950",변동 없음 
,,,,,,,
본인 ,임야 ,"충청남도 천안시 동남구 동면 화계리 산 31번지 1,456.00m² 중 728.00m² ","3,152",0,0,"3,152",변동 없음 
,,,,,,,
▶ 건물(소계) ,"332,000","8,000",0,"340,000",,,
,,,,,,,
배우자 ,아파트 ,경기도 김포시 장기동 청송마을 건물 174.07m² ,"292,000","8,000",0,"300,000",가액변동 
,,,,,,,
장남 ,오피스텔 전세(임차)권 ,강원도 원주시 우산동 건물 207.00m² ,"40,000",0,0,"40,000",변동 없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,0,"29,600",0,"29,600",,,
,,,,,,,
본인 ,자동차 ,"2012년식 그랜드카니발 배기량(2,199cc) ",0,"11,090",0,"11,090",추가신고 
,,,,,,,
장남 ,자동차 ,"2017년식 티볼리 에어 배기량(1,597cc) ",0,"18,510",0,"18,510",추가신고 
,,,,,,,
▶ 예금(소계) ,"149,194","50,063","41,089","158,168",,,
,,,,,,,
본인 ,,"미래에셋생명보험 13,189, 신한은행 171(106 증가), 우리은행 20(98 감소), 천안중앙신협 10, 농협은행 16,642(16,461 증가), (주)KB손해보험 1,123(1 감소), 국민은행 1,235 (33,467 감소), 농협중앙회 3,037(2,812 증가), (주)KEB하나 은행 1,055(897 증가), 천안서부 752, 동양생명보험 1,686(1,686 증가), DB손해보험(주) 610(4,735 감소) ","55,869","22,819","39,158","39,530",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 926(926 증가), 미래에셋대우(주) 64(108 감소), 국민은행 17,396(13,472 증가), 우체국 83, 한국산업은행 15,928(6,808 증가), 농협은행 0(1,823 감소), 교보생명보험 32,847(1,665 증가) ","46,304","22,871","1,931","67,244",급여저축및생활비지출등 
,,,,,,,
모 ,,"농협중앙회 25,858(763 증가) ","25,095",763,0,"25,858",
,,,,,,,
장남 ,,"신한은행 9, 국민은행 25,527(3,610 증가) ","21,926","3,610",0,"25,536",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,0,"1,623",0,"1,623",,,
,,,,,,,
본인 ,,"국민은행 1,623(1,623 증가) ",0,"1,623",0,"1,623",정치자금 
,,,,,,,
▶ 유가증권(소계) ,"25,452","26,487","25,452","26,487",,,
,,,,,,,
배우자 ,상장주식 ,"POSCO 109주(109주 증가), NAVER 0주(36주 감소) ","25,452","26,487","25,452","26,487",주식매입및매도 
,,,,,,,
▶ 채무(소계) ,"163,133","94,000","152,018","105,115",,,
,,,,,,,
본인 ,금융기관채무 ,"미래에셋생명보험 400, 신한은행 1,900(1,000 감소), 새마을금고 0(80,000 감소), (주)KEB하나은행 94,000(94,000 증가), 교보생명보험 3,103(1,300 감소) ","87,703","94,000","82,300","99,403",생활비등지출을위한대출 
,,,,,,,
장남 ,금융기관채무 ,"KB캐피탈 5,712(69,718 감소) ","75,430",0,"69,718","5,712",급여 등으로 상환 
,,,,,,,
총계 ,"457,019","21,773","-85,477","564,269","증 감 액 : 107,250천원 (가액변동: 37,600천원) ",,
,,,,,,,
