소속 ,국회 ,직위 ,국회의원 ,성명 ,이동섭 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"91,532","6,316",0,"97,848",,,
,,,,,,,
본인 ,과수원 ,"전라남도 고흥군 풍양면 한동리 22-2번지 1,870.00m² ","12,155","1,028",0,"13,183",가액변동 
,,,,,,,
본인 ,임야 ,"전라남도 고흥군 풍양면 한동리 산 21번지 7,041.00m² 중 3,520.50m² ","2,253",302,0,"2,555",가액변동 
,,,,,,,
본인 ,전 ,전라남도 고흥군 풍양면 한동리 22-4번지 11.00m² ,23,2,0,25,가액변동 
,,,,,,,
본인 ,전 ,전라남도 고흥군 풍양면 한동리 22-5번지 53.00m² ,113,9,0,122,가액변동 
,,,,,,,
모 ,답 ,경기도 양평군 양서면 목왕리 532-4번지 925.00m² ,"72,982","4,718",0,"77,700",가액변동 
,,,,,,,
모 ,답 ,경기도 양평군 양서면 목왕리 532-13번지 66.00m² ,"4,006",257,0,"4,263",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,201,544","808,417","397,550","1,612,411",,,
,,,,,,,
본인 ,상가 ,서울특별시 노원구 중계동 청구3차아파트 대지 134.24m² 건물 172.00m² ,"624,932",0,"79,150","545,782",가액변동 
,,,,,,,
본인 ,단독주택 ,전라남도 고흥군 풍양면 한동리 대지 334.00m² 건물 56.18m² ,"11,800",0,400,"11,400",가액변동 
,,,,,,,
본인 ,근린생활시설 전세(임차)권 ,경기도 용인시 처인구 역북동 스카이3 건물 30.00m² (건물 30.00m² 증가) ,- ,"5,000",0,"5,000",월세 
,,,,,,,
배우자 ,아파트 ,서울특별시 노원구 상계동 대동아파트 건물 0.00m² (건물 114.72m² 감소) ,"318,000",0,"318,000",0,이사(매도) 
,,,,,"-527,000",,
,,,,,,,
배우자 ,상가 ,서울특별시 노원구 상계동 현대상가 대지 78.02m² 건물 240.00m² ,"246,812","118,417",0,"365,229",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 도봉구 창동 동아청솔아파트 건물 134.94m² (건물 134.94m² 증가) ,- ,"685,000",0,"685,000",이사(매입) 
,,,,"-685,000",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"82,342","40,100","61,952","60,490",,,
,,,,,,,
본인 ,자동차 ,"2016년식 EQ900 배기량(3,778cc) 감소 ","60,894",0,"60,894",0,차량매도 
,,,,,"-37,000",,
,,,,,,,
본인 ,자동차 ,"2019년식 카니발 배기량(3,300cc) 증가 ",0,"40,100",0,"40,100",신차구입 
,,,,,,,
배우자 ,자동차 ,"2017년식 스포티지 배기량(1,685cc) ","21,448",0,"1,058","20,390",감가상각 반영 
,,,,,,,
▶ 예금(소계) ,"225,855","90,694","107,739","208,810",,,
,,,,,,,
본인 ,,"노원 0(1,465 감소), 우체국 11, 농협은행 12,251(1,373 감소), 국민은행 1(541 감소) ","15,642","3,444","6,823","12,263",생활비 지출 및 대출상환 
,,,,,,,
배우자 ,,"DB손해보험(주) 76,312(5,742 증가), (주)KEB하나은행 700(613 증가), 국민은행 730(19,513 감소), 메리츠화재해상보험 398(398 증가), 삼성생명보험 19,674, 우체국 8,643(1,894 증가), 노원 0(10,000 감소), 한화손해보험 390(360 증가), 우리은행 95(34 증가) ","127,414","9,128","29,600","106,942",
,,,,,,,
모 ,,"우체국 35,522(294 증가), 농협중앙회 31,448(2,582 감소), 삼성생명보험 0(1,402 감소) ","70,660","64,889","68,579","66,970",
,,,,,,,
장녀 ,,"DB손해보험(주) 1,430(1,430 증가), 씨티은행 15(442 감소), 농협은행 5,820(3,000 증가), 우리은행 4,407(4,406 증가) ","3,278","8,837",443,"11,672",
,,,,,,,
차녀 ,,"국민은행 5,868(1,390 증가), 교보생명보험 1,069(1,069 증가), 씨티은행 6, 신한생명보험 1,656(288 증가), 우리은행 1,964(1,589 증가), 농협은행 400(2,234 감소) ","8,861","4,396","2,294","10,963",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"46,536",0,"2,597","43,939",,,
,,,,,,,
본인 ,,"농협은행 43,939(2,597 감소) ","46,536",0,"2,597","43,939",정치자금 사용 
,,,,,,,
▶ 채무(소계) ,"243,214","134,140","57,166","320,188",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 36,895(6,415 감소) ","43,310","36,895","43,310","36,895",차량매매 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 노원구 중계동 청구3차아파트 임대보증금 ,"105,000",0,0,"105,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"(주)KEB하나은행 97,245(97,245 증가), 삼성생명보험 11,748(1,505 감소), 삼성카드 0(8,471 감소) ","21,724","97,245","9,976","108,993",주택자금 대출 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 노원구 상계동 현대상가 임대보증금 ,"60,000",0,0,"60,000",변동없음 
,,,,,,,
차녀 ,기타 ,한국장학재단 감소 ,"13,180",0,"3,880","9,300",일부 상환 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"1,404,595","811,387","512,672","1,703,310","증 감 액 : 298,715천원 (가액변동: 44,125천원) ",,
,,,,,,,
