소속 ,국회 ,직위 ,국회의원 ,성명 ,이만희 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"128,379","6,107","5,734","128,752",,,
,,,,,,,
본인 ,답 ,"경상북도 영천시 고경면 대성리 154번지 2,222.00m² 중 2,222.00m² ","41,107","1,111",0,"42,218",가액변동 
,,,,,,,
본인 ,답 ,경상북도 영천시 고경면 대성리 155번지 887.00m² 중 887.00m² ,"16,409",444,0,"16,853",가액변동 
,,,,,,,
본인 ,답 ,"경상북도 영천시 고경면 대성리 156번지 1,181.00m² ","22,439",590,0,"23,029",가액변동 
,,,,,,,
본인 ,답 ,경상북도 영천시 고경면 대성리 227번지 817.00m² 중 817.00m² ,"15,359",409,0,"15,768",가액변동 
,,,,,,,
본인 ,임야 ,"경상북도 영천시 고경면 오류리 산 19-2번지 29,750.00m² 중 14,383.39m² ","13,937","1,884",0,"15,821",가액변동 
,,,,,,,
본인 ,임야 ,"경상북도 영천시 고경면 오류리 산 19-5번지 1,653.00m² 중 799.18m² ","1,446",176,0,"1,622",가액변동 
,,,,,,,
본인 ,임야 ,"경상북도 영천시 고경면 오류리 812-1번지 1,181.00m² 중 84.35m² ",242,59,0,301,가액변동 
,,,,,,,
본인 ,대지 ,경상북도 영천시 고경면 대성리 269-1번지 23.00m² ,956,136,0,"1,092",가액변동 
,,,,,,,
본인 ,임야 ,"경상북도 영천시 고경면 오류리 산 19-11번지 0.00m² 중 0.00m² (총면적 5,002.00m² 감소, 지분면적 2,418.34m² 감소) ","4,957",0,"4,957",0,매도 
,,,,,"-34,824",,
,,,,,,,
본인 ,임야 ,"경상북도 영천시 고경면 오류리 산 19-12번지 9,616.00m² 중 4,649.10m² ","10,413","1,256",0,"11,669",가액변동 
,,,,,,,
본인 ,임야 ,"경상북도 영천시 고경면 오류리 19-13번지 0.00m² 중 0.00m² (총면적 829.00m² 감소, 지분면적 400.80m² 감소) ",777,0,"777 (5,711) ",0,매도 
,,,,,,,
본인 ,임야 ,경상북도 영천시 고경면 오류리 산 19-14번지 360.00m² 중 174.05m² ,337,42,0,379,가액변동 
,,,,,,,
▶ 건물(소계) ,"851,600","772,466","132,000","1,492,066",,,
,,,,,,,
본인 ,아파트 ,서울특별시 광진구 광장동 극동아파트 건물 126.94m² ,"628,000","95,000",0,"723,000",가액변동 
,,,,,,,
본인 ,아파트 ,대구광역시 동구 신천동 신동아맨션아파트 건물 0.00m² (건물 81.36m² 감소) ,"112,000",0,"112,000",0,매도 
,,,,,"-167,000",,
,,,,,,,
본인 ,단독주택 ,"경상북도 영천시 고경면 대성리 대지 2,116.00m² 건물 182.91m² ","91,600","5,100",0,"96,700",가액변동 
,,,,,,,
본인 ,상가 ,"서울특별시 중구 서소문동 유원빌딩 대지 7.25m² 중 3.62m² 건물 36.49m² 중 18.25m² (대지 지분면적 3.62m² 증가, 건물 지분면적 18.25m² 증가) ",- ,"336,183",0,"336,183",예금 등으로 구입 
,,,,"-336,183",,,
,,,,,,,
배우자 ,상가 전세(임차)권 ,서울특별시 중구 서소문동 유원빌딩 건물 0.00m² (건물 75.44m² 감소) ,"20,000",0,"20,000",0,전세권만료 
,,,,,"-20,000",,
,,,,,,,
배우자 ,상가 ,"서울특별시 중구 서소문동 유원빌딩 대지 7.25m² 중 3.62m² 건물 36.49m² 중 18.25m² (대지 지분면적 3.62m² 증가, 건물 지분면적 18.25m² 증가) ",- ,"336,183",0,"336,183",예금및대출등으로구입 
,,,,"-336,183",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"27,340","19,971","6,380","40,931",,,
,,,,,,,
본인 ,자동차 ,"2017년식 그랜저 배기량(2,359cc) ","25,290",0,"4,330","20,960",가액변동 
,,,,,,,
배우자 ,자동차 ,"2004년식 EF 쏘나타 배기량(1,795cc) 감소 ","2,050",0,"2,050 (250) ",0,폐차 
,,,,,,,
장녀 ,자동차 ,"2018년식 티볼리 배기량(1,597cc) 증가 ",0,"19,971",0,"19,971",신규구입 
,,,,"-19,971",,,
,,,,,,,
▶ 예금(소계) ,"1,194,556","343,706","574,277","963,985",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 27,000(6,000 증가), 중소기업은행 161 (383,910 감소), 농협은행 306,718(205,397 증가), 국민은행 3,678(546 감소) ","510,616","248,317","421,376","337,557","봉급, 약국운영, 아파트 매도, 상가매입등으로인한 예금.보험 변동 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 905(27,124 감소), 에이비엘생명보험 21,900 (3,600 증가), 중소기업중앙회 48,500(2,400 증가), 케이디비 생명보험 67,000(12,000 증가), 국민은행 12,147(133 증가), 삼성화재해상보험 102,415(4,676 증가), 푸르덴셜생명보험 44,633(1,477 증가), 메리츠화재해상보험 206(206 증가), 중소기업은행 30,745(102,730 감소), 삼성생명보험 61,812 (3,000 증가), 우체국 113,762(15,016 증가), 신한은행 571(138 증가), 한화손해보험 4,800(720 증가), 오렌지라이프생명보험 8,100(3,600 증가), 우리은행 873(873 증가), 서울약사신협 31 ","600,415","66,241","148,256","518,400",
,,,,,,,
모 ,,"산림조합중앙회 60,466(52 증가), 농협중앙회 4,018(192 증가) ","64,240",468,224,"64,484",
,,,,,,,
장녀 ,,"한국교직원공제회 667(364 증가), 농협중앙회 26,332(15,616 증가), 씨티은행 0(135 감소), 우리은행 6,745(1,067 증가), 메리츠화재해상보험 388(388 증가) ","16,832","21,504","4,204","34,132",
,,,,,,,
장남 ,,"신한은행 1,646(983 증가), 중소기업은행 2,287(1,201 증가), 메리츠화재해상보험 545(545 증가), 한국카카오은행(주) 30(30 증가), 우리은행 4, 국민은행 1,400(1,200 증가), (주)KEB하나 은행 1,400(1,200 증가), 농협은행 2,100(1,800 증가) ","2,453","7,176",217,"9,412",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"66,382",0,"28,270","38,112",,,
,,,,,,,
본인 ,,"농협중앙회 38,112(28,270 감소) ","66,382",0,"28,270","38,112",정치자금 지출 
,,,,,,,
▶ 채권(소계) ,"125,000","30,000",0,"155,000",,,
,,,,,,,
본인 ,,사인간채권 증가 ,0,"30,000",0,"30,000",채권 신규추가 
,,,,,,,
모 ,,사인간채권 ,"125,000",0,0,"125,000",
,,,,,,,
▶ 채무(소계) ,"348,922","372,403","147,788","573,537",,,
,,,,,,,
본인 ,,사인간채무 ,"145,000",0,0,"145,000",
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 3,361(8,066 감소) ","11,427",0,"8,066","3,361",예금 등으로 상환 
,,,,,,,
본인 ,건물임대채무 ,대구광역시 동구 신천동 신동아맨션아파트 임대보증금 감소 ,"50,000",0,"50,000",0,전세권만료 
,,,,,,,
배우자 ,,사인간채무 감소 ,"72,495","17,456","19,722","70,229",예금 등으로 상환 
,,,,,,,
배우자 ,금융기관채무 ,"중소기업은행 0(70,000 감소), 우리은행 350,000(350,000 증가) ","70,000","350,000","70,000","350,000",상가매입으로 증가 
,,,,,,,
장녀 ,금융기관채무 ,"KB캐피탈 4,947(4,947 증가) ",0,"4,947",0,"4,947",자동차 구입으로 채무 증가 
,,,,,,,
총계 ,"2,044,335","799,847","598,873","2,245,309","증 감 액 : 200,974천원 (가액변동: 101,877천원) ",,
,,,,,,,
