소속 ,국회 ,직위 ,국회의원 ,성명 ,이명수 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,014,783","71,141","10,000","1,075,924",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,충청남도 아산시 모종동 모종1차한성필하우스 건물 100.00m² ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
본인 ,아파트 ,대전광역시 서구 월평동 한아름 아파트 건물 123.87m² ,"209,000","10,000",0,"219,000",가액변동 
,,,,,,,
배우자 ,상가 ,"대전광역시 유성구 봉명동 대지 1,472.00m² 중 368.00m² 건물 261.00m² 중 130.00m² ","718,198","23,920",0,"742,118",가액변동 
,,,,,,,
배우자 ,오피스텔 ,서울특별시 동작구 사당동 세양그레이스빌 대지 7.00m² 건물 18.81m² ,"57,585","7,221",0,"64,806",가액변동 
,,,,,,,
장남 ,오피스텔 전세(임차)권 ,서울특별시 중구 충무로5가 건물 0.00m² (건물 10.00m² 감소) ,"10,000",0,"10,000",0,계약만료 
,,,,,,,
장남 ,아파트 전세(임차)권 ,서울특별시 중구 충무로5가 엘크루 메트로시티2차 건물 22.75m² (건물 22.75m² 증가) ,- ,"30,000",0,"30,000",신규계약 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"35,560","1,120",500,"36,180",,,
,,,,,,,
본인 ,자동차 ,"2016년식 카니발 배기량(2,199cc) ","25,870","1,120",0,"26,990",가액변동 
,,,,,,,
배우자 ,자동차 ,"2009년식 OPIRUS 배기량(3,342cc) ","9,690",0,500,"9,190",가액변동 
,,,,,,,
▶ 예금(소계) ,"343,075","67,075","35,697","374,453",,,
,,,,,,,
본인 ,,"아산동부신협 685(14 증가), 신우 349(1 증가), 아산북부신협 309(4 증가), 삼성생명보험 0(3,450 감소), 우체국 1,032(427 증가), 행복신협 30, 농협은행 2,362(847 감소), 씨티은행 4, 농협중앙회 478, (주)KEB하나은행 305, 국민은행 1, 정우 322(9 증가), 아산서부신협 300, 행복신협 313(7 증가), (주)아산상호저축 313(313 증가), 오렌지라이프생명보험 60,575(4,075 증가), DB손해보험(주) 0(2,466 감소), 스탠다드차타드은행 200(1,620 감소) ","71,111","4,850","8,383","67,578",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 117, 한국교직원공제회 123,755(11,238 증가), 아산신협 104(2 증가), 케이디비생명보험 6,018, 삼성화재해상보험 1,796(356 증가), 아산신협 10, 농협중앙회 42,992(15,127 증가), 삼성생명보험 33,604(2,005 증가), 신한은행 1, 우체국 756(3,708 감소), 한화생명보험 37,356, 오렌지라이프생명보험 21,097(1,451 증가), 농협은행 7, 농협생명보험 11,000(2,400 증가)","249,742","51,444","22,573","278,613",
,,,,,,,
,,,,,,,
장남 ,,"우체국 138(727 감소), 에이비엘생명보험 3,000(3,000 증가), 농협중앙회 233, (주)KEB하나은행 11,391(2,233 감소), 케이디비생명보험 13,500(6,000 증가) ","22,222","10,781","4,741","28,262",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"20,996","28,365",0,"49,361",,,
,,,,,,,
본인 ,,"농협은행 49,361(28,365 증가) ","20,996","28,365",0,"49,361",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"852,297","45,202","51,880","845,619",,,
,,,,,,,
본인 ,,사인간채무 ,"260,000",0,0,"260,000",변동없음 
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 1,904(11,086 감소), 상호저축은행중앙회 26,250(11,514 증가), 신용협동조합중앙회 19,862(928 증가), 농협은행 274,679(6,867 증가), 농협중앙회 49,485 (1,157 증가), 스탠다드차타드은행 153,439(6,058 감소) ","522,297","35,202","31,880","525,619",일부상환및재대출 
,,,,,,,
배우자 ,건물임대채무 ,대전광역시 유성구 봉명동 임대보증금 ,"50,000",0,0,"50,000",변동없음 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 동작구 사당동 세양그레이스빌 임대보증금 감소 ,"20,000","10,000","20,000","10,000",계약자변경및보증금감소 
,,,,,,,
▶ 지식재산권 ,,,,,,,
,,,,,,,
본인 ,저작재산권 ,그리운 미래 소멸 ,- ,- ,- ,- ,소멸 
,,,,,,,
본인 ,저작재산권 ,"함께 부르는 소망 동행시 (소득금액: 45,000천원) ",- ,- ,- ,- ,책발간 
,,,,,,,
총계 ,"562,117","122,499","-5,683","690,299","증 감 액 : 128,182천원 (가액변동: 41,761천원) ",,
,,,,,,,
