소속 ,국회 ,직위 ,국회의원 ,성명 ,이상돈 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,268,000","104,000",0,"1,372,000",,,
,,,,,,,
본인 ,연립주택 ,경기도 성남시 분당구 구미동 건물 160.36m² 중 80.18m² ,"317,000","45,000",0,"362,000",가액변동 
,,,,,,,
본인 ,연립주택 ,서울특별시 강동구 상일동 건물 152.12m² 중 76.06m² ,"317,000","7,000",0,"324,000",가액변동 
,,,,,,,
배우자 ,연립주택 ,경기도 성남시 분당구 구미동 건물 160.00m² 중 80.18m² ,"317,000","45,000",0,"362,000",가액변동 
,,,,,,,
차녀 ,연립주택 ,서울특별시 강동구 상일동 건물 152.12m² 중 76.06m² ,"317,000","7,000",0,"324,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"68,535",0,"13,489","55,046",,,
,,,,,,,
본인 ,자동차 ,"2016년식 제네시스 배기량(3,300cc) ","40,170",0,"5,730","34,440",가액변동 
,,,,,,,
본인 ,자동차 ,"2004년식 SM520V 배기량(2,000cc) 감소 ","2,780",0,"2,780",0,매각 
,,,,,,,
본인 ,자동차 ,"2012년식 캠리 배기량(2,500cc) ","15,950",0,"2,140","13,810",가액변동 
,,,,,,,
차녀 ,자동차 ,"2011년식 어코드 쿠페 배기량(3,500cc) ","9,635",0,"2,839","6,796",가액변동 
,,,,,,,
▶ 예금(소계) ,"476,292","1,326,060","132,918","1,669,434",,,
,,,,,,,
본인 ,,"제이티저축은행 45,000(45,000증가),삼성생명보험129,361, 우리은행 8, (주)오케이저축은 45,000(45,000 증가), 우체국 45,037(11,226증가),남양저축은행 45,000(45,000증가), 상상인저축은행 45,000(45,000증가),더케이손해보험(주) 1,150(300 증가), (주)DB저축은행 45,000(45,000 증가), 동양 생명보험 15,000, 에이비엘생명보험 50,000, 국민은행 269,138 (224,690 증가), (주)KEB하나은행 107,337(100,326 증가), 웰컴저축은행 45,000(45,000 증가), (주)키움저축은행 45,000( 45,000 증가), SBI저축은행 45,000(45,000 증가), (주)유진저축 은행45,000(45,000증가),페퍼저축은행 45,000(45,000 증가), (주)한국투자저축 45,000(45,000 증가), OSB저축은행 45,000(45,000 증가), 신한저축은행 45,000(45,000 증가) ","280,489","953,825","32,283","1,202,031",급여저축및부동산거래 대금으로 저축 증가(2017년 12월 부동산 매도계약 후 2018년 대금 수령으로 재산 변동 시차 있음) 
,,,,,,,
배우자 ,,"웰컴저축은행 45,000(45,000 증가), 신한은행 5, SBI저축은행 48,000(48,000 증가), 한국투자증권 51,503(40,614 감소), 페퍼저축은행 45,000(45,000증가) ","92,122","138,000","40,614","189,508",급여저축및부동산거래 대금으로 저축 증가(2017년 12월 부동산 매도계약 후 2018년 대금 수령으로 재산 변동 시차 있음) 
,,,,,,,
장녀 ,,"(주)KEB하나은행 13,824(13,824 증가), 중소기업은행 71(71 증가) ",0,"13,895",0,"13,895",
,,,,,,,
차녀 ,,"국민은행 9,586(7,876 증가), 제이티저축은행 40,050(40,050 증가), Bank of America 12,796(1,572 증가), (주)오케이저축은 45,064(45,064 증가), 페퍼저축은행 40,000(40,000 증가), 우리은행 19,699(60,021 감소), CapitalOne 11,741(714 증가), 웰컴저축은행 40,000(40,000 증가),상상인저축은행 45,064(45,064증가) ","103,681","220,340","60,021","264,000",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"32,170","6,744",0,"38,914",,,
,,,,,,,
본인 ,,"농협은행 38,914(6,744 증가) ","32,170","6,744",0,"38,914",후원금 증가 
,,,,,,,
▶ 채권(소계) ,"10,000","200,000","10,000","200,000",,,
,,,,,,,
본인 ,,사인간채권 증가 ,"10,000","200,000","10,000","200,000",일부회수및신규채권증가 
,,,,,,,
▶ 채무(소계) ,"545,016","300,000","339,753","505,263",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 5,263(13,687 감소), 국민은행 0(230,533 감소) ","249,483",0,"244,220","5,263",일부 상환 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강동구 상일동 삼성빌라 임대보증금 증가 ,"100,000","150,000",0,"250,000",전세보증금 증가 
,,,,,,,
배우자 ,금융기관채무 ,"국민은행 0(95,533 감소) ","95,533",0,"95,533",0,전액 상환 
,,,,,,,
차녀 ,건물임대채무 ,서울특별시 강동구 상일동 삼성빌라 임대보증금 증가 ,"100,000","150,000",0,"250,000",전세보증금 증가 
,,,,,,,
총계 ,"1,309,981","1,336,804","-183,346","2,830,131","증 감 액 : 1,520,150천원 (가액변동: 93,291천원) ",,
,,,,,,,
