소속 ,국회 ,직위 ,국회의원 ,성명 ,이상민 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"4,166",195,0,"4,361",,,
,,,,,,,
배우자 ,답 ,충청남도 청양군 장평면 락지리 493-1번지 615.00m² 중 76.80m² ,609,83,0,692,가액변동 
,,,,,,,
배우자 ,답 ,"충청남도 청양군 장평면 락지리 산 37-3번지 22,413.00m² 중 2,801.00m² ","3,557",112,0,"3,669",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,014,891","40,270","5,000","1,050,161",,,
,,,,,,,
본인 ,아파트 ,대전광역시 유성구 전민동 엑스포아파트 건물 116.37m² ,"196,000",0,"1,000","195,000",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,대전광역시 서구 둔산동 서림빌딩 건물 0.00m² (건물 90.06m² 감소) ,"2,000",0,"2,000",0,계약만료 
,,,,,,,
본인 ,아파트 ,대전광역시 유성구 전민동 엑스포아파트 건물 188.43m² ,"227,000",0,"2,000","225,000",가액변동 
,,,,,,,
배우자 ,복합건물(주 택+상가) ,경기도 화성시 반송동 대지 227.80m² 건물 406.27m² ,"589,891","40,270",0,"630,161",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"33,450",0,"4,800","28,650",,,
,,,,,,,
본인 ,자동차 ,"2012년식 체어맨W 배기량(3,598cc) ","21,900",0,"2,260","19,640",가액변동 
,,,,,,,
배우자 ,자동차 ,"2013년식 쏘나타 배기량(1,999cc) ","11,550",0,"2,540","9,010",가액변동 
,,,,,,,
▶ 예금(소계) ,"1,561,512","927,979","920,785","1,568,706",,,
,,,,,,,
본인 ,,"하나생명보험 96,000(12,000 증가), 에이스아메리칸화재해상보험 912, 신한은행 110,215(25,668 감소), 구즉신협 129(3 증가), 삼성생명보험 32,064(4,008 증가), 삼성증권 1,136(67 증가), 한화손해보험 300, 농협은행 16,691(12,090 증가), 유안타증권 6,053(15 증가), 탄동 617(17 증가), 국민은행 489, (주)KEB하나은행 697,002(49,775 감소), 동양생명보험 42,000, 농협중앙회 35, 오렌지라이프생명보험 168,000 ","1,218,886","782,946","830,189","1,171,643",급여저축으로 인한 예금증가 
,,,,,,,
배우자 ,,"(주)KEB하나은행 111,268(494 증가), 미래에셋대우(주) 0(397 감소), 유진투자증권 0(5 감소), 현대해상화재보험 5,333(588 증가), 삼성화재해상보험 1,885(144 증가), KB증권 12(637 감소), 키움닷컴증권 19(741 감소), 동양생명보험 4,392(320 증가), 농협중앙회 29, 삼성생명보험 24,877, 삼성증권 114,869 (46,434 증가), 신한은행 1, 우체국 1,750(688 증가), 메트라이프 생명보험 13,916(1,201 증가), 신한생명보험 11,644(2,298 증가), 우리은행 43(217 감소), 교보생명보험 8,069(359 증가), 한국투자증권 0(735 감소), 케이뱅크 85(85 증가) ","248,313","55,876","5,997","298,192",급여저축으로 인한 예금증가 
,,,,,,,
모 ,,"신한은행 33,857(1,075 증가), 우리은행 15, (주)KEB하나은행 353(314 증가) ","32,836","31,389","30,000","34,225",
,,,,,,,
차남 ,,"미래에셋대우(주) 0(3 감소), DB손해보험(주) 1,678(179 증가), (주)KEB하나은행 23,350(1,042 증가), 교보증권 0(1 감소) ","23,811","22,746","21,529","25,028",
,,,,,,,
장녀 ,,"(주)KEB하나은행 12,297(1,420 증가), 교보증권 0(1 감소), DB손해보험(주) 1,618(175 증가) ","12,321","11,449","9,855","13,915",
,,,,,,,
장남 ,,"우리은행 2,027(336 감소), (주)KEB하나은행 22,019(517 증가), 교보증권 0(1 감소), 미래에셋대우(주) 0(1 감소), DB손해보험(주) 1,654(179 증가), 키움닷컴증권 3 ","25,345","23,573","23,215","25,703",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"19,860",0,"1,254","18,606",,,
,,,,,,,
본인 ,,"농협중앙회 18,606(1,254 감소) ","19,860",0,"1,254","18,606",정치자금지출 증가 
,,,,,,,
▶ 유가증권(소계) ,"7,495","2,415","3,748","6,162",,,
,,,,,,,
본인 ,상장주식 ,"KT 71주, 미래산업 120주 ","2,173",0,37,"2,136",평가액 변동 
,,,,,,,
배우자 ,상장주식 ,"진에어 0주(85주 감소), 싸이토젠 217주(217주 증가), 삼성 에스디에스 7주, 더블유게임즈 0주(27주 감소), 유앤아이 22주 ","5,322","2,415","3,711","4,026",
,,,,,,,
▶ 채무(소계) ,"240,000","150,000","170,000","220,000",,,
,,,,,,,
본인 ,,사인간채무 ,"50,000",0,0,"50,000",변동없음 
,,,,,,,
배우자 ,건물임대채무 ,경기도 화성시 반송동 임대보증금 감소 ,"190,000","150,000","170,000","170,000",계약만료환급및신규계약 
,,,,,,,
▶ 회원권(소계) ,"12,904","15,096",0,"28,000",,,
,,,,,,,
본인 ,헬스 ,유성관광호텔 ,"5,000",- ,- ,"5,000",변동없음 
,,,,,,,
본인 ,콘도미니엄 ,롯데오션캐슬 증가 ,"7,904","15,096",0,"23,000",가액수정 
,,,,,,,
총계 ,"2,414,278","835,955","765,587","2,484,646","증감액:70,368천원 (가액변동: 32,592천원) ",,
,,,,,,,
