소속 ,국회 ,직위 ,국회의원 ,성명 ,이상헌 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"195,000","35,000","16,000","214,000",,,
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,서울특별시 영등포구 여의도동 엘지여의도에클라트 건물 39.12m² (건물 39.12m² 증가) ,- ,"10,000",0,"10,000",신규 계약 
,,,,,,,
본인 ,근린생활시설 전세(임차)권 ,울산광역시 북구 호계동 건물 174.58m² (건물 174.58m² 증가) ,- ,"20,000",0,"20,000",신규 계약 
,,,,,,,
본인 ,사무실 전세(임차)권 ,울산광역시 북구 호계동 건물 66.82m² (건물 66.82m² 증가) ,- ,"5,000",0,"5,000",신규 계약 
,,,,,,,
배우자 ,아파트 ,울산광역시 울주군 범서읍 천상리 청구제네스 건물 60.00m² ,"126,000",0,"5,000","121,000",가액변동 
,,,,,,,
장남 ,아파트 ,울산광역시 북구 천곡동 우방아파트 건물 49.50m² ,"69,000",0,"11,000","58,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"31,380",0,"5,070","26,310",,,
,,,,,,,
배우자 ,자동차 ,"2017년식 그랜저 배기량(2,999cc) ","31,380",0,"5,070","26,310",가액변동 
,,,,,,,
▶ 예금(소계) ,"94,665","111,969",180,"206,454",,,
,,,,,,,
본인 ,,"미래에셋생명보험 34,058(27,156 증가), 신한은행 706(1 증가), 울산남부신협 93, 우리은행 14(14 증가), 농협은행 14,074(14,069 증가), (주)KB손해보험 6,930(384 증가), 씨티은행 15, 유안타증권 1, 국민은행 40,957(37,794 증가), (주)KEB하나은행 1,073(28 증가), 농소 485(32 감소), 경남은행 30,159(29,012 증가) ","20,139","108,458",32,"128,565",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 18, 스탠다드차타드은행 0(4 감소), 흥국화재해상보험(주) 9,651(465 증가), 농협중앙회 225(131 감소), 신한은행 0(13 감소), 우체국 21,020(816 증가), 농소 282, NH투자증권 13, 농협생명보험 39,288(1,411 증가), 새중앙 54, 미래에셋생명보험 6,174(343 증가) ","73,838","3,035",148,"76,725",
,,,,,,,
장남 ,,"(주)KEB하나은행 4, 농협은행 976(292 증가), 푸르덴셜생명보험 184(184 증가) ",688,476,0,"1,164",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,0,"29,740",0,"29,740",,,
,,,,,,,
본인 ,,"농협은행 29,740(29,740 증가) ",0,"29,740",0,"29,740",후원금증가등 
,,,,,,,
▶ 채무(소계) ,"173,259","43,921","16,790","200,390",,,
,,,,,,,
본인 ,금융기관채무 ,"미래에셋생명보험 8,370(7,710 증가), 현대캐피탈 32,841(32,841 증가), (주)KB손해보험 1,510, 국민은행 7,239(1,614 감소), (주)KEB하나은행 3,427(666 감소) ","15,116","40,551","2,280","53,387",일부상환후재대출 
,,,,,,,
배우자 ,금융기관채무 ,"스탠다드차타드은행 0(998 감소), 신한카드 0(2,960 감소), 흥국화재해상보험(주) 2,000, 농협중앙회 10,500(1,500 감소), 우체국 13,890(1,780 증가), 한국카카오은행(주) 1,990(7 감소), 현대캐피탈 25,670(4,226 감소), 농협생명보험 21,230(110 감소), 미래에셋생명보험 2,000 ","85,301","3,370","11,391","77,280",일부상환후재대출 
,,,,,,,
장남 ,금융기관채무 ,"한국카카오은행(주) 1,955(22 감소), 현대캐피탈 2,120(1,440 감소), 농협은행 61,000, 삼성카드 4,648(1,657 감소) ","72,842",0,"3,119","69,723",예금등으로일부상환 
,,,,,,,
총계 ,"147,786","132,788","4,460","276,114","증 감 액 : 128,328천원 (가액변동: -21,070천원) ",,
,,,,,,,
