소속 ,국회 ,직위 ,국회의원 ,성명 ,이석현 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,575,000","22,392","725,000","872,392",,,
,,,,,,,
본인 ,근린생활시설 ,경기도 안양시 동안구 평촌동 대지 294.20m² 건물 493.87m² ,"790,000","22,392",0,"812,392",가액변동 
,,,,,,,
본인 ,근린생활시설 ,"서울특별시 강동구 성내동 대지 0.00m² 건물 0.00m² (대지 149.00m² 감소, 건물 424.68m² 감소) ","725,000",0,"725,000",0,증여 
,,,,,"-725,000",,
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 안양시 동안구 관양동 건물 133.20m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 안양시 동안구 관양동 건물 66.55m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
▶ 예금(소계) ,"423,439","77,378","228,089","272,728",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 0(20 감소), 농협은행 107,869(186,062 감소), (주)KEB하나은행 3,909(3 증가), 국민은행 3,000(1,335 감소), 교보생명보험 153,000(36,000 증가) ","419,192","76,675","228,089","267,778",생활비및채무상환등 
,,,,,,,
모 ,,"농협은행 4,950(703 증가) ","4,247",703,0,"4,950",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"5,494","1,600","5,390","1,704",,,
,,,,,,,
본인 ,,"농협은행 1,300(1,200 증가), 국민은행 404(4,990 감소) ","5,494","1,600","5,390","1,704",정치자금 지출 등 
,,,,,,,
▶ 유가증권(소계) ,"12,000",0,"12,000",0,,,
,,,,,,,
본인 ,비상장주식 ,"(주)사이언씨티 0주(2,400주 감소) ","12,000",0,"12,000",0,전량매도 
,,,,,,,
▶ 채권(소계) ,0,"90,000",0,"90,000",,,
,,,,,,,
본인 ,,사인간채권 증가 ,0,"90,000",0,"90,000",예금 등으로 대여 
,,,,,,,
▶ 채무(소계) ,"740,998","36,687","445,000","332,685",,,
,,,,,,,
본인 ,,사인간채무 감소 ,"180,000",0,"180,000",0,"급여, 임대수입으로 상환 "
,,,,,,,
본인 ,금융기관채무 ,"국민은행 37,685(16,687 증가) ","20,998","16,687",0,"37,685",생활비 등 
,,,,,,,
본인 ,건물임대채무 ,경기도 안양시 동안구 평촌동 임대보증금 ,"295,000","20,000","20,000","295,000",계약변경 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강동구 성내2동 임대보증금 감소 ,"245,000",0,"245,000",0,채무 소멸 
,,,,,,,
총계 ,"1,274,935","154,683","525,479","904,139","증 감 액 : -370,796천원 (가액변동: 22,392천원) ",,
,,,,,,,
