,국회 ,직위 ,국회의원 ,성명 ,이수혁 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"191,734","30,926",0,"222,660",,,
,,,,,,,
배우자 ,대지 ,경기도 양평군 서종면 수능리 71번지 241.00m² ,"52,899","2,892",0,"55,791",가액변동 
,,,,,,,
배우자 ,전 ,경기도 양평군 서종면 수능리 74-1번지 379.00m² ,"31,040","1,705",0,"32,745",가액변동 
,,,,,,,
배우자 ,대지 ,경기도 양평군 서종면 수능리 74-3번지 180.00m² ,"38,808","2,106",0,"40,914",가액변동 
,,,,,,,
배우자 ,답 ,경기도 양평군 서종면 수능리 74-4번지 926.00m² ,"68,987","3,796",0,"72,783",가액변동 
,,,,,,,
배우자 ,임야 ,"서울특별시 서초구 양재동 산 56번지 298.00m² 중 74.50m² (총면적 298.00m² 증가, 지분면적 74.50m² 증가) ",- ,"20,427",0,"20,427",증여 취득 
,,,,"-20,427",,,
,,,,,,,
▶ 건물(소계) ,"1,170,000","130,000",0,"1,300,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 도곡동 삼성래미안 건물 122.81m² ,"960,000","120,000",0,"1,080,000",가액변동 
,,,,,,,
배우자 ,단독주택 ,경기도 양평군 서종면 수능리 대지 420.00m² 건물 166.47m² ,"210,000","10,000",0,"220,000",가액변동 
,,,,,,,
▶ 예금(소계) ,"362,120","361,161","294,808","428,473",,,
,,,,,,,
본인 ,,"우리은행 117,393(30,798 증가), 농협은행 15,960(3,987 증가), 씨티은행 39 ","98,607","76,415","41,630","133,392",급여저축 
,,,,,,,
배우자 ,,"(주)KEB하나은행 9,909(2,093 증가), 우리은행 285,172(29,475 증가) ","263,513","284,746","253,178","295,081",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"21,048","8,316",0,"29,364",,,
,,,,,,,
본인 ,,"농협은행 29,364(8,316 증가) ","21,048","8,316",0,"29,364",후원금 증가 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
차남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손자1 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"1,744,902","530,403","294,808","1,980,497","증 감 액 : 235,595천원 (가액변동: 140,499천원) ",,
,,,,,,,
