소속 ,국회 ,직위 ,국회의원 ,성명 ,이양수 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"10,906",596,0,"11,502",,,
,,,,,,,
본인 ,전 ,"강원도 원주시 호저면 주산리 477-4번지 1,135.00m² 중 596.00m² ","10,906",596,0,"11,502",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,046,000","20,000","10,000","1,056,000",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,강원도 속초시 교동 보고빌딩 3층 건물 0.00m² (건물 99.00m² 감소) ,"10,000",0,"10,000",0,계약만료 
,,,,,,,
본인 ,사무실 전세(임차)권 ,강원도 속초시 교동 보고빌딩 4층 건물 308.92m² (건물 308.92m² 증가) ,- ,"20,000",0,"20,000",사무실 임차보증금(정치자금) 
,,,,,,,
배우자 ,오피스텔 ,강원도 원주시 반곡동 코아루시티오피스텔 건물 23.10m² ,"100,000",0,0,"100,000",변동없음 
,,,,,,,
배우자 ,오피스텔 ,강원도 원주시 반곡동 코아루시티오피스텔 건물 23.10m² ,"100,000",0,0,"100,000",변동없음 
,,,,,,,
배우자 ,오피스텔 ,강원도 원주시 반곡동 코아루시티오피스텔 건물 23.10m² ,"100,000",0,0,"100,000",변동없음 
,,,,,,,
배우자 ,오피스텔 ,강원도 원주시 반곡동 코아루시티오피스텔 건물 23.10m² ,"100,000",0,0,"100,000",변동없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,강원도 속초시 조양동 부영아파트 건물 59.90m² ,"130,000",0,0,"130,000",변동없음 
,,,,,,,
배우자 ,아파트 ,경기도 구리시 토평동 토평마을이편한세상아파트 건물 84.59m² ,"400,000",0,0,"400,000",변동없음 
,,,,,,,
모 ,아파트 전세(임차)권 ,서울특별시 성동구 하왕십리동 청계벽산아파트 건물 26.90m² ,"106,000",0,0,"106,000",변동없음 
,,,,,,,
▶ 예금(소계) ,"343,168","76,577","178,829","240,916",,,
,,,,,,,
본인 ,,"우리은행 2, 신용협동조합중앙회 207(5 증가), KB증권 537(73 증가), 농협은행 16,927(6,819 증가), 대신증권 1, 국민은행 348, (주)KEB하나은행 2 ","11,127","13,316","6,419","18,024","급여저축, 생활비 지출 등 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 7,507(928 증가), DB손해보험(주) 3,950 (600 증가), 흥국생명보험 8,786(1,056 증가), 미래에셋 대우(주) 20(10 증가), 삼성화재해상보험 36,635(5,940 증가), 농협중앙회 5,306(66,730 감소), 우체국 158, 삼성생명 보험 49,005(3,321 증가), 한화손해보험 2,398(293 증가), 한화생명보험 33,128(70,464 감소), 우리은행 0(1,227 감소), 신용협동조합중앙회 13, 교보생명보험 27,022(4,525 증가)","295,676","19,889","141,637","173,928",
,,,,,,,
,,,,,,,
모 ,,"우체국 307(20 증가), 우리은행 46,992(11,511 증가) ","35,768","42,020","30,489","47,299",
,,,,,,,
장녀 ,,"농협중앙회 1(5 감소), 우리은행 1,605(1,035 증가) ",576,"1,312",282,"1,606",
,,,,,,,
장남 ,,"농협중앙회 1, 국민은행 58(38 증가) ",21,40,2,59,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"89,273","14,020",0,"103,293",,,
,,,,,,,
본인 ,,"농협은행 103,293(14,020 증가) ","89,273","14,020",0,"103,293",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"106,913","1,052",895,"107,070",,,
,,,,,,,
본인 ,상장주식 ,POSCO 10주 ,"3,325",0,895,"2,430",가액변동 
,,,,,,,
본인 ,비상장주식 ,"아이비피 205,000주 ","102,500",0,0,"102,500",
,,,,,,,
배우자 ,상장주식 ,현대엘리베이 20주 ,"1,088","1,052",0,"2,140",
,,,,,,,
▶ 채무(소계) ,"585,800","298,832","451,800","432,832",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 240,832(79,968 감소) ","320,800","240,832","320,800","240,832",급여 등으로 상환 
,,,,,,,
배우자 ,,사인간채무 증가 ,0,"50,000",0,"50,000",금융기관 대출상환을 위한 채무 
,,,,,,,
배우자 ,금융기관채무 ,"(주)KEB하나은행 126,000, 우리은행 0(126,000 감소) ","252,000",0,"126,000","126,000",보험해약 등으로 상환 
,,,,,,,
배우자 ,건물임대채무 ,강원도 원주시 반곡동 코아루시티오피스텔 3건 임대보증금 증가 ,"10,000","8,000","5,000","13,000",계약변경 
,,,,,,,
배우자 ,건물임대채무 ,강원도 원주시 반곡동 코아루시티오피스텔 임대보증금 ,"3,000",0,0,"3,000",변동없음 
,,,,,,,
▶금및백금(소계) ,"8,907",267,0,"9,174",,,
,,,,,,,
배우자 ,,"금, 24K, 200g 증가 ","8,907",267,0,"9,174",가액변동 
,,,,,,,
총계 ,"1,019,367","-186,320","-262,076","1,095,123","증감액:75,756천원 (가액변동: 1,020천원) ",,
,,,,,,,
