소속 ,국회 ,직위 ,국회의원 ,성명 ,금태섭 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"2,162,566","60,466",0,"2,223,032",,,
,,,,,,,
본인 ,임야 ,"경기도 용인시 기흥구 고매동 376-32번지 2,192.00m² ","1,366,273","42,087",0,"1,408,360",가액변동 
,,,,,,,
본인 ,임야 ,경기도 용인시 기흥구 고매동 376-60번지 202.00m² ,"110,029","3,373",0,"113,402",가액변동 
,,,,,,,
본인 ,임야 ,경기도 용인시 기흥구 고매동 376-80번지 304.00m² ,"165,588","5,077",0,"170,665",가액변동 
,,,,,,,
본인 ,임야 ,"경기도 용인시 기흥구 고매동 산 55-27번지 1,091.00m² ","486,476","9,929",0,"496,405",가액변동 
,,,,,,,
배우자 ,답 ,경기도 포천시 동교동 302번지 450.00m² ,"34,200",0,0,"34,200",변동없음 
,,,,,,,
▶ 건물(소계) ,"1,516,000","240,000",0,"1,756,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 송파구 잠실동 우성아파트 건물 136.30m² ,"976,000","160,000",0,"1,136,000",가액변동 
,,,,,,,
본인 ,상가 전세(임차)권 ,서울특별시 강서구 화곡동 상가동 건물 99.00m² ,"40,000",0,0,"40,000",변동없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 강서구 화곡동 화곡푸르지오 건물 156.80m² ,"500,000","50,000",0,"550,000",전세권 계약갱신으로 인한 보증금 증액 
,,,,,,,
장남 ,아파트 전세(임차)권 ,서울특별시 송파구 신천동 파크리오아파트 건물 35.24m² (건물 35.24m² 증가) ,- ,"30,000",0,"30,000",전세권 취득 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"17,073","11,527",0,"28,600",,,
,,,,,,,
본인 ,자동차 ,"2015년식 제네시스3.3Premi 배기량(3,342cc) ","17,073","11,527",0,"28,600",차량 리스기간 만료에 따른 소유권 이전 
,,,,,,,
▶ 예금(소계) ,"2,422,347","47,939","430,573","2,039,713",,,
,,,,,,,
본인 ,,"신한은행 4,406(21,920 감소), 현대라이프생명보험 38,900(1,200 증가), 농협은행 2,933(3,511 감소), 농협중앙회 571(1 증가), (주)KEB하나은행 225(1 증가), 코리아신탁(주) 420,326, 오렌지라이프생명보험 31,376(1,816 증가) ","521,150","3,018","25,431","498,737",(증가)급여 및 사업소득 저축 등 (감소)전세권 취득 등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 100,119(359,304 감소), 하나금융투자 33(1 증가), 흥국생명보험 26,013(6,003 증가), 스탠다드차타드은행 72, KB증권 8,863(8,420 증가), 국민은행 202, 코리아신탁(주) 420,326, 신한은행 2(235 감소), 삼성생명보험 38,190(4,080 증가), 오렌지라이프생명보험 11,974(3,421 증가), DB생명보험(주) 20,397(4,706 증가), 우리은행 0(9 감소), 라이나생명보험 5,649(778 증가), 미래에셋생명보험 38,501(130 감소) ","1,002,610","31,936","364,205","670,341",(증가)급여 및 사업소득 저축 등 (감소)전세권 취득 등 
,,,,,,,
장남 ,,"오렌지라이프생명보험 0(14,400 감소), 신한은행 0(152 감소), 중소기업은행 10, KB증권 0(476 감소), (주)KEB하나은행 146(9,486 감소), 국민은행 0(1,739 감소), 우리은행 7,500, 코리아신탁(주) 420,326, 대신증권 98 ","454,333",133,"26,386","428,080",
,,,,,,,
차남 ,,"오렌지라이프생명보험 0(14,550 감소), 대신증권 84, 코리아신탁(주) 420,326, (주)KEB하나은행 14,641(12,847 증가), 국민은행 4(4 증가), 우리은행 7,500 ","444,254","12,852","14,551","442,555",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"1,873","11,355",0,"13,228",,,
,,,,,,,
본인 ,,"농협은행 13,228(11,355 증가) ","1,873","11,355",0,"13,228",후원회기부금 증가 
,,,,,,,
▶ 유가증권(소계) ,"373,828",0,"23,072","350,756",,,
,,,,,,,
배우자 ,상장주식 ,"중국인민재산보 0주(2,000주 감소), 중청려홀딩스 0주(400주 감소), 중국중차 0주(300주 감소), 복성제약 0주(200주 감소), 이리실업 0주(300주 감소), 상해자동차 0주(200주 감소), 칭다오하이얼 0주(400주 감소) ","11,394",0,"11,394",0,주식매도 
,,,,,,,
배우자 ,비상장주식 ,"주식회사 투어메디치 40,000주, (주)오리엔탈정밀기계 30,000주 ","350,000",0,0,"350,000",
,,,,,,,
장남 ,상장주식 ,"오리엔탈정공 535주, 상해자동차 0주(200주 감소), 중국인민 재산보 0주(2,000주 감소), 중국중차 0주(300주 감소), 이리 실업 0주(300주 감소), 복성제약 0주(200주 감소), 칭다오 하이얼0주(400주감소),중청려홀딩스 0주(400주감소) ","11,917",0,"11,537",380,
,,,,,,,
차남 ,상장주식 ,오리엔탈정공 529주 ,517,0,141,376,
,,,,,,,
▶ 채권(소계) ,"165,000",0,"65,000","100,000",,,
,,,,,,,
배우자 ,,사인간채권 감소 ,"165,000",0,"65,000","100,000",채권일부환수 
,,,,,,,
▶ 채무(소계) ,"839,633","123,984","19,623","943,994",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 143,948(123,949 증가), 산은캐피탈 0(19,623 감소) ","39,622","123,949","19,623","143,948","(증가)생활비, 세금납부, 자녀학자금 납부 등 (감소)차량 리스기간 만료에 따른 소유권 이전 "
,,,,,,,
배우자 ,금융기관채무 ,"KB증권 46(35 증가), 오릭스캐피탈코리아 800,000 ","800,011",35,0,"800,046",지연이자 증가 
,,,,,,,
▶ 회원권(소계) ,"121,000","2,000","3,000","120,000",,,
,,,,,,,
본인 ,골프 ,태광컨트리클럽 증가 ,"57,000","2,000",0,"59,000",가액변동 
,,,,,,,
배우자 ,골프 ,용원컨트리클럽 감소 ,"64,000",0,"3,000","61,000",가액변동 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"5,940,054","249,303","502,022","5,687,335","증 감 액 : -252,719천원 (가액변동: 230,709천원) ",,
,,,,,,,
