소속 ,국회 ,직위 ,국회의원 ,성명 ,이언주 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"1,630,634","32,005",0,"1,662,639",,,
,,,,,,,
배우자 ,대지 ,서울특별시 강동구 명일동 305-3번지 228.00m² ,"1,603,752","30,096",0,"1,633,848",가액변동 
,,,,,,,
배우자 ,임야 ,"서울특별시 성북구 성북동 226-78번지 2,265.00m² 중 323.50m² ","26,882","1,909",0,"28,791",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,545,000","132,000",0,"1,677,000",,,
,,,,,,,
본인 ,아파트 ,부산광역시 사하구 하단동 가락타운아파트 건물 0.00m² (건물 0.00m² 감소) ,0,0,0,0,
,,,,,,,
본인 ,아파트 ,부산광역시 사하구 하단동 가락타운아파트 건물 84.96m² ,"156,000","11,000",0,"167,000",가액변동 
,,,,,,,
본인 ,상가 전세(임차)권 ,경기도 광명시 하안동 건물 140.92m² ,"4,000",- ,- ,"4,000",
,,,,,,,
본인 ,아파트 ,서울특별시 서초구 잠원동 한신아파트 건물 68.91m² ,"735,000","121,000",0,"856,000",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,경기도 광명시 하안동 광명두산위브트레지움 건물 187.54m² ,"650,000",- ,- ,"650,000",
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"16,500",0,"1,500","15,000",,,
,,,,,,,
배우자 ,자동차 ,"2009년식 에쿠스 배기량(3,778cc) ","16,500",0,"1,500","15,000",가액변동 
,,,,,,,
▶ 예금(소계) ,"181,250","84,500","82,119","183,631",,,
,,,,,,,
본인 ,,"미래에셋생명보험 38,650(1,200 증가), 신한은행 6,724(594 감소), 우리은행 960, 농협은행 1,935(4,678 감소), 광명동부 1,138, (주)KEB하나은행 28, 한화생명보험 4,658(265 증가), 국민은행 42,888(42,188 증가), 오렌지라이프생명보험 18,541(1,203 증가) ","75,938","45,127","5,543","115,522",급여저축 등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 12,934(37 증가), 국민은행 1, 신한은행 1, 중소기업은행 86(134 감소), 우리은행 15,774(40,219 감소), 교보생명보험 0(36,200 감소), 한국투자증권 39,313(39,313 증가) ","105,312","39,373","76,576","68,109",
,,,,,,,
▶ 유가증권(소계) ,"12,165",0,"12,165",0,,,
,,,,,,,
배우자 ,공채 ,서울시도시철도공채 0좌 ,"12,165",0,"12,165",0,전량매도 
,,,,,,,
▶ 채무(소계) ,"832,736","70,000","42,821","859,915",,,
,,,,,,,
본인 ,금융기관채무 ,"국민은행 439,915(42,821 감소) ","482,736",0,"42,821","439,915",상환 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 서초구 잠원동 잠원한신아파트 임대보증금 증가 ,"350,000","70,000",0,"420,000",보증금 증액 
,,,,,,,
▶ 회원권(소계) ,"60,068",0,0,"60,068",,,
,,,,,,,
본인 ,콘도미니엄 ,에머슨퍼시픽 ,"16,068",- ,- ,"16,068",
,,,,,,,
배우자 ,콘도미니엄 ,대명 ,"16,000",- ,- ,"16,000",
,,,,,,,
배우자 ,콘도미니엄 ,그린피아 ,"28,000",- ,- ,"28,000",
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,타인부양 
,,,,,,,
총계 ,"2,612,881","178,505","52,963","2,738,423","증 감 액 : 125,542천원 (가액변동: 162,505천원) ",,
,,,,,,,
