소속 ,국회 ,직위 ,국회의원 ,성명 ,이완영 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"1,468,920","221,154","1,098,580","591,494",,,
,,,,,,,
본인 ,대지 ,경상북도 성주군 수륜면 신파리 152-2번지 385.00m² ,"23,254",577,0,"23,831",가액변동 
,,,,,,,
배우자 ,임야 ,"경기도 남양주시 수동면 입석리 산 97-1번지 36,694.00m² 중 21,565.06m² ","88,201","6,685",0,"94,886",가액변동 
,,,,,,,
배우자 ,답 ,"경기도 남양주시 수동면 운수리 170번지 3,408.00m² 중 852.00m² ","102,240","3,408",0,"105,648",가액변동 
,,,,,,,
배우자 ,대지 ,"서울특별시 성동구 용답동 5-5번지 0.00m² 중 0.00m² (총면적 495.90m² 감소, 지분면적 186.20m² 감소) ","1,098,580",0,"1,098,580",0,매도 
,,,,,"-1,631,308",,
,,,,,,,
배우자 ,임야 ,"서울특별시 노원구 하계동 산 16-66번지 1,593.00m² 중 398.00m² ","15,323","1,194",0,"16,517",가액변동 
,,,,,,,
배우자 ,대지 ,서울특별시 종로구 창신동 379번지 82.60m² 중 5.16m² ,"76,368","1,548",0,"77,916",가액변동 
,,,,,,,
배우자 ,임야 ,"서울특별시 노원구 하계동 산 16-26번지 6,662.00m² 중 1,665.50m² ","64,954","4,997",0,"69,951",가액변동 
,,,,,,,
배우자 ,전 ,"경기도 남양주시 진건읍 배양리 282-1번지 608.00m² 중 121.60m² (총면적 608.00m² 증가, 지분면적 121.60m² 증가) ",- ,"17,157",0,"17,157",상속 
,,,,,,,
배우자 ,전 ,"경기도 남양주시 진건읍 배양리 428번지 5,590.00m² 중 1,118.00m² (총면적 5,590.00m² 증가, 지분면적 1,118.00m² 증가) ",- ,"185,588",0,"185,588",상속 
,,,,,,,
▶ 건물(소계) ,"3,775,664","404,278","2,937","4,177,005",,,
,,,,,,,
본인 ,상가 ,경기도 용인시 수지구 죽전동 단대프라자3차 지하102호 대지 42.60m² 건물 296.99m² 중 166.10m² ,"359,403",0,"2,937","356,466",가액변동 
,,,,,,,
본인 ,아파트 ,서울특별시 동작구 흑석동 흑석한강센트레빌II 건물 146.49m² 중 73.25m² ,"426,382",0,0,"426,382",변동없음 
,,,,,,,
본인 ,단독주택 ,경상북도 성주군 수륜면 신파리 대지 150.00m² 건물 94.05m² ,"10,400",600,0,"11,000",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 강남구 청담1동 삼익아파트 건물 138.51m² ,"1,192,000","248,000",0,"1,440,000",가액변동 
,,,,,,,
배우자 ,상가 ,서울특별시 강남구 신사동 대지 182.50m² 건물 527.66m² ,"1,301,369","154,446",0,"1,455,815",가액변동 
,,,,,,,
배우자 ,상가 ,서울특별시 종로구 창신동 대지 62.80m² 중 3.92m² 건물 258.76m² 중 16.17m² ,"59,728","1,232",0,"60,960",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 동작구 흑석동 흑석한강센트레빌II 건물 146.49m² 중 73.25m² ,"426,382",0,0,"426,382",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"46,160",0,"4,230","41,930",,,
,,,,,,,
본인 ,자동차 ,"2011년식 i40 배기량(1,685cc) ","13,110",0,"1,960","11,150",가액변동 
,,,,,,,
본인 ,자동차 ,"2017년식 NIRO 플러그인 하이브리드 배기량(1,580cc) ","33,050",0,"2,270","30,780",가액변동 
,,,,,,,
▶ 예금(소계) ,"1,055,907","1,165,279","273,321","1,947,865",,,
,,,,,,,
본인 ,,"DB생명보험(주) 22,842(1,632 증가), 왜관 110(3 증가), 삼성생명보험 4,200, 우리은행 0(10,378 감소), 왜관신협 104(3 증가), 우체국 102,253(3,425 증가), NH투자증권 89,458(89,458 증가), 농협은행 28,401(12,925 감소), 성주 1,065(49 증가), 유안타증권 1,881(32,701 감소), 국민은행 10,000(14,777 감소), 한화생명보험 0(116,150 감소), 성주신협 107(2 증가) ","352,780","96,277","188,636","260,421","급여, 임대소득, 부동산매각대금 등 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 705,945(687,231 증가), 한국교직원공제회 187,708(13,813 증가), DB손해보험(주) 12,683(7,697 감소), 국민은행 3,072(156 증가), 삼성생명보험 235,320(14,431 증가), 우체국 46,476, 한국카카오은행(주) 100(100 증가), NH투자증권 30,423(30,423 증가), 한화생명보험 14,517(731 증가), 농협은행 1,415(1,415 증가), 오렌지라이프생명보험 55,905(55,905 증가), 미래에셋생명보험 50,940 ","547,996","810,860","14,352","1,344,504",
,,,,,,,
차녀 ,,"국민은행 0(397 감소), 한화생명보험 1,011(1,011 증가), 삼성생명보험 62,187(8,520 증가), 우체국 11,000(7,000 증가), (주)KEB하나은행 79,231(56,018 증가), 우리은행 1,917(1,195 증가) ","81,999","95,739","22,392","155,346",
,,,,,,,
장남 ,,"신한은행 25,152(14,696 증가), 중소기업은행 7,384(4,616 감소), 삼성증권 10(10 증가), 우체국 11,500(6,500 증가), 한화생명보험 123,950(123,950 증가), 삼성생명보험 6,270, 수협은행 9,008(9,008 증가), (주)KEB하나은행 3,905(24 증가), 국민은행 415(15,135 감소), 군인공제회 0(16,175 감소), 농협은행 0(3,800 감소) ","73,132","162,403","47,941","187,594",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"178,405",0,"44,751","133,654",,,
,,,,,,,
본인 ,,"농협은행 133,654(44,751 감소) ","178,405",0,"44,751","133,654",후원금 감소 
,,,,,,,
▶ 유가증권(소계) ,0,"93,652",0,"93,652",,,
,,,,,,,
본인 ,상장주식 ,"파워풀엑스 3,352주(3,352주 증가) ",0,"10,374",0,"10,374",주식매입 
,,,,,,,
배우자 ,상장주식 ,"신라젠 30주(30주 증가), 파워풀엑스 23,600주(23,600주 증가), 와이엠티 95주(95주 증가), 한올바이오파마 180주(180주 증가) ",0,"83,278",0,"83,278",
,,,,,,,
▶ 채무(소계) ,"358,643","30,000","148,643","240,000",,,
,,,,,,,
본인 ,건물임대채무 ,경기도 용인시 수지구 죽전동 단대프라자3차 지하102호 임대보증금 ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"(주)KEB하나은행 0(128,643 감소) ","128,643",0,"128,643",0,급여및예금으로상환 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 강남구 청담1동 삼익아파트 임대보증금 ,"100,000",0,0,"100,000",변동없음 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 강남구 신사동 임대보증금 증가 ,"120,000","30,000","20,000","130,000",계약변경 
,,,,,,,
총계 ,"6,166,413","1,854,363","1,275,176","6,745,600","증 감 액 : 579,187천원 (가액변동: 415,520천원) ",,
,,,,,,,
