소속 ,국회 ,직위 ,국회의원 ,성명 ,이용득 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"3,462",226,0,"3,688",,,
,,,,,,,
본인 ,임야 ,"강원도 평창군 대관령면 차항리 산 199-22번지 3,653.00m² 중 595.00m² ","3,117",203,0,"3,320",가액변동 
,,,,,,,
본인 ,임야 ,"강원도 평창군 대관령면 차항리 산 199-31번지 10,899.00m² 중 66.00m² ",345,23,0,368,가액변동 
,,,,,,,
▶ 건물(소계) ,"1,480,902","94,749",0,"1,575,651",,,
,,,,,,,
배우자 ,아파트 ,경기도 광명시 하안동 이편한세상센트레빌아파트 건물 123.70m² ,"465,000","30,000",0,"495,000",가액변동 
,,,,,,,
배우자 ,상가 ,서울특별시 송파구 문정동 가든파이브라이프 대지 6.51m² 건물 22.68m² ,"90,257","4,705",0,"94,962",가액변동 
,,,,,,,
배우자 ,상가 ,서울특별시 송파구 문정동 가든파이브라이프 대지 6.51m² 건물 22.68m² ,"90,257","4,705",0,"94,962",가액변동 
,,,,,,,
배우자 ,오피스텔 ,서울특별시 영등포구 대림동 대지 7.60m² 건물 27.13m² ,"62,987","8,083",0,"71,070",가액변동 
,,,,,,,
배우자 ,복합건물(주 택+상가) ,서울특별시 관악구 신림동 삼모 더프라임타워 건물 23.89m² ,"152,000",0,0,"152,000",변동없음 
,,,,,,,
배우자 ,상가 ,서울특별시 송파구 장지동 송파파인타운 10단지 상가 대지 31.86m² 건물 20.16m² ,"237,139","15,458",0,"252,597",가액변동 
,,,,,,,
배우자 ,상가 ,서울특별시 송파구 장지동 송파파인타운 10단지 상가 대지 31.86m² 건물 20.16m² ,"237,139","15,458",0,"252,597",가액변동 
,,,,,,,
배우자 ,오피스텔 ,서울특별시 마포구 마포동 한신오피스텔 대지 8.60m² 건물 44.11m² ,"146,123","16,340",0,"162,463",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,0,"24,995",0,"24,995",,,
,,,,,,,
차녀 ,자동차 ,"2018년식 투싼(TUCSON) 배기량(1,700cc) 증가 ",0,"24,995",0,"24,995",신차 구입 
,,,,"-24,995",,,
,,,,,,,
▶ 예금(소계) ,"1,442,855","677,292","820,250","1,299,897",,,
,,,,,,,
본인 ,,"미래에셋대우(주) 186,725(17,953 감소), 상호저축은행 중앙회 0(50,000 감소), 광명동부 45,999(16,000 증가), 미래에셋생명보험 11,000(11,000 증가), 우리은행 281,182 (11,855 증가), 삼성증권 10, NH투자증권 7(26,967 감소), 농협은행2,278(2,916감소),융창저축은행 45,000, 광명동부 10, 광남 16,000(16,000 증가), 국민은행 100, 오렌지라이프생명보험 33,592, 케이디비생명보험 0(850 감소), 광남 34,202, 라이나생명보험 1, (주)한국투자저축 50,000(50,000 증가), 삼성화재해상보험 12,269(1,437 증가), 교보생명보험 0(50,000 감소), 교보증권 4","760,773","366,145","408,539","718,379",급여저축및생활비지출등 
,,,,,,,
,,,,,,,
배우자 ,,"DB손해보험(주) 560(240 증가), 신용협동조합중앙회 신용공제사업부30,000,융창저축은행 61,000(36,000 증가), (주)한국투자저축 45,000, 스탠다드차타드은행 7,524(2,051 감소), 미래에셋대우(주) 141,606(11,172 증가), 광남 49,000(398 증가), 광명동부 15, 광명동부 40,000, 삼성생명보험 111,775(63,062 증가), (주)KB손해보험 6,857(673 증가), AIA생명보험 5,689(700 증가), NH투자증권 36(125,401 감소), 광남 80, 교보생명보험 34,529(1,555 증가), 신림신협 19(1 증가) ","547,341","277,883","291,534","533,690",
,,,,,,,
차녀 ,,"광주은행 13(6 증가), 삼성생명보험 9,906(49,400 감소), 미래에셋대우(주)0(31,162감소),융창저축은행 0(7,200 감소), 스탠다드차타드은행 9, 우리은행 5,818(1,205 감소), (주)KEB하나은행 24, 광남 21,848(8,162 감소), 광명동부 10,210(10,210 증가) ","134,741","33,264","120,177","47,828",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"86,417","40,167",0,"126,584",,,
,,,,,,,
본인 ,,"농협은행 126,584(40,167 증가) ","86,417","40,167",0,"126,584",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"161,798","132,273","55,244","238,827",,,
,,,,,,,
본인 ,상장주식 ,"창과실업 100주(38주 감소), 하이크비전 0주(100주 감소), 3SBIO 471주(19주 감소), 귀주모태주 14주(11주 증가), 제넥신 6주(24주 감소), 석약그룹 199주(103주 증가), 삼성전자 50주(49주 증가), TAL Education G 25주(25주 증가), 금사중국 0주(88주 감소), 씨트립닷컴 인터 0주(31주 감소),알리바바그룹 40주(27주증가),만도0주(1주 감소), 신주국제그룹홀 80주(56주 감소), KEPPEL DC REIT 500주(100주 감소), 중국생물제약 1,246주(1,072주 증가), 한독 0주(21주 감소), 샤오미 408주(408주 증가), 길리자동차 567주(368주 증가), NAVER 0주(1주 감소), HDFC Bank Limit 19주(4주증가),텐센트홀딩스 47주, PAGOODDOCTOR 247주(247주증가),항서제약 237주(214주 증가), 칭다오하이얼 0주(162주 감소), AIA그룹 107주(7주 감소), LG화학 0주(1주 감소), 삼성SDI 5주(5주 증가), 인도네시아텔레 1,300주(1,300주 증가), 비야디 58주(58주 증가), 셀트리온헬스케 6주(2주 증가), DBX FTSE VIET 70주(13주 증가), CIMB FTSE ASEAN 0주(100주 감소), 중국평안보험 156주(65주 증가)","28,320","13,330","10,641","31,009","평가액변동및주식매입, 매도등 "
,,,,,,,
,,,,,,,
,비상장주식 ,"(주)이노터치테크놀로지 1,300주 ","6,500",0,0,"6,500",
,,,,,,,
배우자 ,상장주식 ,"알리바바그룹 10주(3주 증가), 스타벅스 0주(22주 감소), Worldpay Inc. 11주(11주 증가), NXP 세미컨덕터 10주(10주 증가), AIRBUS GROUP NV 10주(10주 증가), KB금융 500주 (500주 증가), AMADEUS IT GROU 12주, 애보트 래버러토 23주, Adient plc Ordi 0주(8주 감소), Internationa Fl 6주(6주 증가), 슈넬생명과학 2,435주, Comcast Corpora 0주(29주 감소), 뱅크오브아메리 0주(49주 감소), 화이자 0주(37주 감소),PERNODRICARD 0주(5주감소),페이스북7주(7주 증가), Facebook Inc. 0주(7주 감소), ALIMEN COUCHE-B 0주(17주 감소), UnitedHealth Gr 8주(2주 증가), 모간스탠리 26주,SPDRSelectSec54주(28주감소),ASOSPLC 0주(9주 감소), 신라젠 0주(60주 감소), 리제너론 파마수 2주(2주 증가), L'OREAL 4주(4주 증가), Monster Beverag 15주(15주 증가),룰루레몬애슬릿6주(6주증가),찰스슈왑 18주(18주 증가), 넷플릭스 4주, NOVARTIS AG-REG 21주(6주 증가), Ollie s Bargain 19주, Hill-Rom Holdin 0주(16주 감소), Broadcom Limite 0주(4주 감소), Illinois Tool W 0주(5주 감소), GoDaddy Inc. Cl 19주(2주 증가), Visa Inc. 19주, ADIDAS 0주(4주 감소), 신한지주 1,500주, 나이키 13주 (13주 증가), 뉴로크라인 바이 9주(9주 증가), MEITUAN-W 58주(58주 증가), 하나금융지주 1,999주(1,999주 증가), 알파벳A1주,아마존닷컴1주,텐센트홀딩스 34주,Yandex N.V. - C 26주(6주 증가), 글락소스미스클 71주(71주 증가), Berry Global Gr 0주(14주 감소), Estee Lauder Co 6주, 로얄 캐러비안 0주(5주 감소), Black Knight I 13주(13주 증가), Perrigo Company 13주(13주 증가), Guidewire Softw 9주(9주 증가), Burlington Stor 9주(9주 증가) ","126,978","118,943","44,603","201,318",
,,,,,,,
▶ 채무(소계) ,"56,000","27,756","7,000","76,756",,,
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 영등포구 대림동 임대보증금 ,"5,000","5,000","5,000","5,000","계약만료후, 신규계약, 보증금 변동없음 "
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 송파구 문정동 가든파이브라이프 2건 임대보증금 증가 ,"5,000","3,000","2,000","6,000","계약만료후, 신규계약시 전세보증금 변동 "
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 관악구 신림동 삼모 더프라임타워 임대보증금 ,"6,000",0,0,"6,000",변동없음 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 마포구 마포동 한신오피스텔 임대보증금 ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 송파구 장지동 송파파인타운 10단지 상가 2건 임대보증금 ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
차녀 ,금융기관채무 ,"현대캐피탈 19,756(19,756 증가) ",0,"19,756",0,"19,756",자동차할부등 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"3,119,434","941,946","868,494","3,192,886","증감액:73,452천원 (가액변동: 76,763천원) ",,
,,,,,,,
