소속 ,국회 ,직위 ,국회의원 ,성명 ,이용주 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"20,852","2,172",0,"23,024",,,
,,,,,,,
본인 ,대지 ,전라남도 여수시 소라면 관기리 70번지 556.00m² 중 139.00m² ,"9,841",542,0,"10,383",가액변동 
,,,,,,,
배우자 ,답 ,광주광역시 남구 이장동 246-5번지 873.00m² 중 116.40m² ,"11,011","1,630",0,"12,641",가액변동 
,,,,,,,
▶ 건물(소계) ,"4,492,997","231,050",0,"4,724,047",,,
,,,,,,,
본인 ,다세대주택 ,서울특별시 서초구 방배동 대지 6.41m² 건물 18.08m² 중 9.04m² ,"56,500","5,500",0,"62,000",가액변동 
,,,,,,,
본인 ,다세대주택 ,서울특별시 서초구 방배동 대지 6.43m² 건물 18.14m² 중 9.07m² ,"56,500","6,000",0,"62,500",가액변동 
,,,,,,,
본인 ,다세대주택 ,서울특별시 서초구 방배동 대지 8.52m² 건물 24.02m² 중 12.01m² ,"69,000","5,000",0,"74,000",가액변동 
,,,,,,,
본인 ,다세대주택 ,서울특별시 서초구 방배동 대지 6.49m² 건물 18.29m² 중 9.15m² ,"56,500","6,500",0,"63,000",가액변동 
,,,,,,,
본인 ,다세대주택 ,"서울특별시 서초구 방배동 건물 0.00m² 중 0.00m² (건물 총면적 0.00m² 감소, 지분면적 0.00m² 감소) ",0,0,0,0,소재지오기정정 
,,,,,,,
본인 ,다세대주택 ,서울특별시 서초구 방배동 대지 6.41m² 건물 18.08m² 중 9.04m² ,"56,500","5,500",0,"62,000",가액변동 
,,,,,,,
본인 ,다세대주택 ,서울특별시 서초구 방배동 대지 6.43m² 건물 18.14m² 중 9.07m² ,"56,500","6,000",0,"62,500",가액변동 
,,,,,,,
본인 ,다세대주택 ,서울특별시 서초구 방배동 대지 8.52m² 건물 24.02m² 중 12.01m² ,"69,000","5,000",0,"74,000",가액변동 
,,,,,,,
본인 ,다세대주택 ,서울특별시 서초구 방배동 대지 6.49m² 건물 18.29m² 중 9.15m² ,"56,500","6,500",0,"63,000",가액변동 
,,,,,,,
본인 ,다세대주택 ,서울특별시 서초구 방배동 대지 6.43m² 건물 18.12m² 중 9.06m² ,"56,500","6,000",0,"62,500",가액변동 
,,,,,,,
본인 ,다세대주택 ,서울특별시 서초구 방배동 대지 9.19m² 건물 25.92m² 중 12.96m² ,"74,000","6,000",0,"80,000",가액변동 
,,,,,,,
본인 ,다세대주택 ,서울특별시 서초구 방배동 대지 11.90m² 건물 33.56m² 중 16.78m² ,"90,000","8,000",0,"98,000",가액변동 
,,,,,,,
배우자 ,다세대주택 ,서울특별시 서초구 방배동 대지 6.41m² 건물 18.08m² 중 9.04m² ,"56,500","5,500",0,"62,000",가액변동 
,,,,,,,
배우자 ,다세대주택 ,서울특별시 서초구 방배동 대지 6.43m² 건물 18.14m² 중 9.07m² ,"56,500","6,000",0,"62,500",가액변동 
,,,,,,,
배우자 ,다세대주택 ,서울특별시 서초구 방배동 대지 8.52m² 건물 24.02m² 중 12.01m² ,"69,000","5,000",0,"74,000",가액변동 
,,,,,,,
배우자 ,다세대주택 ,서울특별시 서초구 방배동 대지 6.49m² 건물 18.29m² 중 9.15m² ,"56,500","6,500",0,"63,000",가액변동 
,,,,,,,
배우자 ,다세대주택 ,서울특별시 서초구 방배동 대지 6.41m² 건물 18.08m² 중 9.04m² ,"56,500","5,500",0,"62,000",가액변동 
,,,,,,,
배우자 ,다세대주택 ,서울특별시 서초구 방배동 대지 6.43m² 건물 18.14m² 중 9.07m² ,"56,500","6,000",0,"62,500",가액변동 
,,,,,,,
배우자 ,다세대주택 ,서울특별시 서초구 방배동 대지 8.52m² 건물 24.02m² 중 12.01m² ,"69,000","5,000",0,"74,000",가액변동 
,,,,,,,
배우자 ,다세대주택 ,서울특별시 서초구 방배동 대지 6.49m² 건물 18.29m² 중 9.15m² ,"56,500","6,500",0,"63,000",가액변동 
,,,,,,,
배우자 ,다세대주택 ,서울특별시 서초구 방배동 대지 6.43m² 건물 18.12m² 중 9.06m² ,"56,500","6,000",0,"62,500",가액변동 
,,,,,,,
배우자 ,다세대주택 ,서울특별시 서초구 방배동 대지 9.19m² 건물 25.92m² 중 12.96m² ,"74,000","6,000",0,"80,000",가액변동 
,,,,,,,
배우자 ,다세대주택 ,서울특별시 서초구 방배동 대지 11.90m² 건물 33.56m² 중 16.78m² ,"90,000","8,000",0,"98,000",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 서초구 반포동 반포미도아파트 건물 84.96m² ,"970,000",0,0,"970,000",변동없음 
,,,,,,,
배우자 ,상가 ,세종특별자치시 조치원읍 남리 대지 396.00m² 건물 208.78m² ,"168,003","13,979",0,"181,982",가액변동 
,,,,,,,
배우자 ,상가 ,경기도 부천시 상동 소풍 대지 30.31m² 건물 67.96m² ,"302,994","8,071",0,"311,065",가액변동 
,,,,,,,
배우자 ,연립주택 ,서울특별시 광진구 자양동 대지 29.69m² 건물 40.95m² ,"181,000","7,000",0,"188,000",가액변동 
,,,,,,,
배우자 ,연립주택 ,서울특별시 마포구 망원동 대지 127.90m² 건물 224.92m² ,"422,000","40,000",0,"462,000",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 용산구 이촌동 중산아파트 건물 39.67m² ,"174,000","30,000",0,"204,000",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 송파구 신천동 장미아파트 건물 71.20m² ,"880,000",0,0,"880,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"18,180",0,"2,855","15,325",,,
,,,,,,,
본인 ,자동차 ,"2005년식 뉴그랜저XG 배기량(1,998cc) ","2,000",0,45,"1,955",가액변동 
,,,,,,,
본인 ,자동차 ,"2009년식 제네시스(GENESIS) 배기량(3,778cc) ","16,180",0,"2,810","13,370",가액변동 
,,,,,,,
▶ 예금(소계) ,"383,353","115,934","105,512","393,775",,,
,,,,,,,
본인 ,,"신한은행 909(12,139 감소), 중소기업은행 18, 삼성증권 16, 농협은행 25,017(2,576 증가), (주)KB손해보험 3,532(31,512 감소), 씨티은행 0(3,801 감소), (주)KEB하나은행 698, 농협중앙회 331, 오렌지라이프생명보험 7,397, DB손해보험(주) 650 ","83,444","8,163","53,039","38,568","급여저축,예적금 및 보험 해약, 채무상환 등 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 96,306(56,617 증가), 대신증권 1, 유안타 증권 90(1 증가), 흥국생명보험 33,400(4,700 증가), 미래에셋 대우(주) 32,446(8,371 증가), 케이디비생명보험 0(21,000 감소), PCA생명보험 0(14,000 감소), 남서울신협 11, 메리츠 화재해상보험 7,516(1,145 증가), 우체국 99,804(11,644 증가), 농협중앙회 962(370 감소), 신한은행 6,718(507 증가), 삼성생명보험 3,582, 한화손해보험 8,272(1,211 증가), 하이 투자증권 2, 오렌지라이프생명보험 37,647(2,881 증가), 이촌 62(89 감소), 라이나생명보험 262(1,145 감소), 충북개인 택시사회 170(162 감소), 미래에셋생명보험 556(393 증가) ","277,103","101,527","50,823","327,807",
,,,,,,,
장남 ,,"신한은행 100, 중소기업은행 30, (주)KEB하나은행 50, 미래에셋대우(주) 7,007(3,681 증가) ","3,506","4,135",454,"7,187",
,,,,,,,
장녀 ,,"미래에셋대우(주) 1,804(454 감소), 우리은행 9(9 증가), 흥국생명보험 18,300(2,100 증가), 신한은행 100(742 감소) ","19,300","2,109","1,196","20,213",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"52,796","3,980",0,"56,776",,,
,,,,,,,
본인 ,,"농협은행 56,776(3,980 증가) ","52,796","3,980",0,"56,776",정치자금 수입 증가 
,,,,,,,
▶ 채무(소계) ,"2,863,397","225,887","260,698","2,828,586",,,
,,,,,,,
본인 ,금융기관채무 ,"신한은행 88,974(9,209 감소), 농협은행 600,000, 씨티은행 4,769(909 감소) ","703,861",0,"10,118","693,743",봉급으로 상환 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 서초구 방배동 3층 5건 임대보증금 ,"8,000","7,000","7,000","8,000",계약변경으로 임차보증금 변동 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 서초구 방배동 2층 4건 임대보증금 증가 ,"13,500","8,000","3,500","18,000",계약변경으로 임차보증금 변동 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 서초구 방배동 5층 임대보증금 ,500,500,500,500,계약변경으로 임차보증금 변동 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 서초구 방배동 4층 2건 임대보증금 감소 ,"4,000",500,"2,500","2,000",계약변경으로 임차보증금 변동 
,,,,,,,
배우자 ,,사인간채무 ,"270,000",0,0,"270,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"(주)KEB하나은행 670,000(30,000 감소), 신한은행 230,555(9,028 감소), 농협중앙회 29,401(552 감소), 새마을금고 210,000 ","1,179,536",0,"39,580","1,139,956",봉급으로 상환 
,,,,,,,
