소속 ,국회 ,직위 ,국회의원 ,성명 ,이용호 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"709,000","544,000","200,000","1,053,000",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 마포구 염리동 염리삼성래미안 건물 0.00m² (건물 114.48m² 감소) ,"200,000",0,"200,000",0,전월세계약 만료 
,,,,,,,
본인 ,아파트 전세(임차)권 ,전라북도 남원시 도통동 도통주공아파트 건물 39.69m² ,"5,000",0,0,"5,000",변동없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 마포구 염리동 염리삼성래미안 건물 114.48m² (건물 114.48m² 증가) ,- ,"100,000",0,"100,000",전월세 재계약 
,,,,,,,
본인 ,근린생활시설 ,"서울특별시 마포구 공덕동 대지 202.00m² 건물 227.70m² (대지 202.00m² 증가, 건물 227.70m² 증가) ",- ,"430,000",0,"430,000",신규매입 진행 중 
,,,,"-430,000",,,
,,,,,,,
모 ,아파트 ,서울특별시 노원구 상계동 보람아파트 건물 68.99m² ,"184,000","14,000",0,"198,000",가액변동 
,,,,,,,
모 ,다세대주택 ,서울특별시 마포구 공덕동 대지 36.15m² 건물 67.30m² ,"320,000",0,0,"320,000",가액변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"12,710",0,"1,730","10,980",,,
,,,,,,,
본인 ,자동차 ,"2005년식 오피러스 배기량(2,972cc) ","4,550",0,570,"3,980",가액변동 
,,,,,,,
본인 ,자동차 ,"2009년식 그랜저 배기량(2,656cc) ","8,160",0,"1,160","7,000",가액변동 
,,,,,,,
▶ 예금(소계) ,"621,897","118,502","484,687","255,712",,,
,,,,,,,
본인 ,,"농협은행 9,990(18,762 감소), 메트라이프생명보험 56,402(3,507 증가), 국민은행 570(798 감소), (주)KEB하나은행 765(3 증가) ","83,777","3,511","19,561","67,727",신규부동산매입등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 3(964 감소), 국민은행 1,716(416 감소), 마포신협 10(10 증가), 신한은행 10(10 증가), 메트라이프생명 보험 49,000(10,000 감소), 한국투자증권 43,789(403,086 감소) ","508,974","43,794","458,240","94,528",
,,,,,,,
모 ,,"국민은행 15,373(3,741 증가) ","11,632","10,000","6,259","15,373",
,,,,,,,
장녀 ,,"한화생명보험 3,384(3,384 증가), 우리은행 206(625 감소), 신한은행 70,165(53,577 증가) ","17,419","56,961",625,"73,755",
,,,,,,,
장남 ,,"한국투자증권 47(2 감소), 국민은행 127(101 증가), 우리은행 4,150(4,130 증가), (주)KEB하나은행 2(2 증가), 중국은행 3(3 증가) ",95,"4,236",2,"4,329",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"119,056","96,471",0,"215,527",,,
,,,,,,,
본인 ,,"농협중앙회 215,527(96,471 증가) ","119,056","96,471",0,"215,527",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"358,030","219,153","358,030","219,153",,,
,,,,,,,
배우자 ,상장주식 ,"호텔신라 0주(1,300주 감소), 삼성전기 900주(900주 증가), 아시아나항공 0주(16,000주 감소), 삼성전자우 3,600주 (3,600주 증가), 삼성바이오로직 30주(30주 증가), 하나투어 0주(1,700주 감소) ","358,030","219,045","358,030","219,045",신규매입및매도 
,,,,,,,
장남 ,상장주식 ,게임빌 2주(2주 증가) ,0,108,0,108,
,,,,,,,
▶ 채권(소계) ,"100,000","100,000",0,"200,000",,,
,,,,,,,
본인 ,,사인간채권 증가 ,"100,000","100,000",0,"200,000",사인간채권 증가 
,,,,,,,
▶ 채무(소계) ,"285,000","190,000","190,000","285,000",,,
,,,,,,,
모 ,,사인간채무 ,"95,000",0,0,"95,000",변동없음 
,,,,,,,
모 ,건물임대채무 ,서울특별시 마포구 공덕동 임대보증금 ,"190,000","190,000","190,000","190,000",계약만료 및 신규계약 
,,,,,,,
총계 ,"1,635,693","888,126","854,447","1,669,372","증감액:33,679천원 (가액변동: 12,270천원) ",,
,,,,,,,
