소속 ,국회 ,직위 ,국회의원 ,성명 ,이원욱 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"980,993","7,108","364,100","624,001",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,경기도 화성시 반송동 동탄시범한빛마을 삼부르네상스 건물 84.77m² ,"310,000",0,0,"310,000",변동없음 
,,,,,,,
본인 ,상가 ,경기도 화성시 병점동 리더스플라자 대지 11.03m² 건물 71.28m² ,"158,893","3,108",0,"162,001",가액변동 
,,,,,,,
본인 ,아파트 ,경기도 화성시 청계동 시범호반베르디움 건물 0.00m² (건물 84.95m² 감소) ,"364,100",0,"364,100",0,매도 
,,,,,"-620,000",,
,,,,,,,
부 ,아파트 ,경기도 고양시 덕양구 행신동 소만마을아파트 건물 45.36m² 중 22.68m² ,"74,000","2,000",0,"76,000",가액변동 
,,,,,,,
모 ,아파트 ,경기도 고양시 덕양구 행신동 소만마을아파트 건물 45.36m² 중 22.68m² ,"74,000","2,000",0,"76,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"25,040","31,500","19,070","37,470",,,
,,,,,,,
본인 ,자동차 ,"2014년식 올뉴카니발2.2 배기량(2,199cc) 감소 ","18,230",0,"18,230",0,매도 
,,,,,"-13,500",,
,,,,,,,
본인 ,자동차 ,"2018년식 더뉴카니발 R2.2 디젤 9인승 배기량(2,200cc) 증가 ",0,"31,500",0,"31,500",신차 구입 
,,,,"-31,500",,,
,,,,,,,
배우자 ,자동차 ,"2011년식 아반떼 배기량(1,591cc) ","6,810",0,840,"5,970",가액변동 
,,,,,,,
▶ 현금(소계) ,"20,000",0,0,"20,000",,,
,,,,,,,
본인 ,,현금 ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
▶ 예금(소계) ,"259,747","288,484","89,558","458,673",,,
,,,,,,,
본인 ,,"우리은행 50,802(40,645 증가), 신한은행 57,980(3,566 증가), 새마을금고 414(7 증가), KB증권 7, 한화투자증권 128(3 감소), 농협은행 3,665(2,649 감소), 국민은행 10,173(5,413 증가), 동양생명보험 6,000(720 증가), (주)KEB하나은행 77(11 감소), 농협중앙회 2,414(1,384 증가) ","82,588","52,939","3,867","131,660",급여저축및아파트매도로 인한예금증가 
,,,,,,,
배우자 ,,"(주)KEB하나은행 26, 케이디비생명보험 40,652(11,856 증가), 국민은행 121,706(102,893 증가), 삼성화재해상보험 150(150 증가), 농협중앙회 929(300 감소), 우체국 3, 한화생명보험 3,090, DB생명보험(주) 1,811(1,522 증가) ","52,246","127,221","11,100","168,367",급여저축및아파트매도로 인한예금증가 
,,,,,,,
부 ,,"국민은행 520(84 증가), 한국투자증권 10,153(2,148 증가), 대신증권 5, 삼성증권 25, 한양증권 3 ","8,474","2,232",0,"10,706",
,,,,,,,
모 ,,"국민은행 1,362(929 증가), 흥국생명보험 2,772, 우리은행 40, 삼성증권 22, 한양증권 3 ","3,270",929,0,"4,199",
,,,,,,,
장녀 ,,"국민은행 120,975(28,600 증가), 새마을금고 500, 한화생명보험 6,033(1,423 증가), KB증권 1,595(1,595 증가), SK hynix 50(47 증가) ","97,488","103,290","71,625","129,153",
,,,,,,,
장남 ,,"신한은행 3,060(360 증가), 중소기업은행 1,110(1,110 증가), 현대라이프생명보험 10,000, 신한금융투자(주) 4(3 증가), 국민은행 14(166 감소), (주)KEB하나은행 400(2,400 감소) ","15,681","1,873","2,966","14,588",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"141,411","32,704",0,"174,115",,,
,,,,,,,
본인 ,,"농협은행 174,115(32,704 증가) ","141,411","32,704",0,"174,115",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"10,000","3,870",0,"13,870",,,
,,,,,,,
본인 ,비상장주식 ,"(주)스냅스 20,000주 ","10,000",0,0,"10,000",주식 매수 
,,,,,,,
장녀 ,상장주식 ,삼성전자 100주(100주 증가) ,0,"3,870",0,"3,870",
,,,,,,,
▶ 채권(소계) ,"6,000",0,"6,000",0,,,
,,,,,,,
본인 ,,사인간채권 감소 ,"6,000",0,"6,000",0,전액 환수 
,,,,,,,
▶ 채무(소계) ,"536,597","20,300","518,830","38,067",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 20,300(20,300 증가), 농협은행 12,767(3,935 감소), 국민은행 0(240,000 감소), (주)KEB하나은행 0(4,895 감소) ","261,597","20,300","248,830","33,067",주택매도대금으로일부상환 및재대출등 
,,,,,,,
본인 ,건물임대채무 ,경기도 화성시 병점동 리더스플라자 임대보증금 ,"5,000",0,0,"5,000",변동없음 
,,,,,,,
본인 ,건물임대채무 ,경기도 화성시 동탄면 영천리 호반베르디움 임대보증금 감소 ,"270,000",0,"270,000",0,계약만료로 임대보증금 상환 
,,,,,,,
총계 ,"906,594","343,366","-40,102","1,290,062","증 감 액 : 383,468천원 (가액변동: 6,268천원) ",,
,,,,,,,
