소속 ,국회 ,직위 ,국회의원 ,성명 ,이은권 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"104,781","2,079",0,"106,860",,,
,,,,,,,
본인 ,답 ,"충청남도 공주시 의당면 가산리 375-12번지 4,158.00m² ","104,781","2,079",0,"106,860",가액변동 
,,,,,,,
▶ 건물(소계) ,"377,600","66,000","20,000","423,600",,,
,,,,,,,
본인 ,아파트 ,대전광역시 서구 둔산동 은하수아파트 건물 84.90m² ,"138,000","9,000",0,"147,000",가액변동 
,,,,,,,
본인 ,아파트 ,대전광역시 중구 목동 목양마을아파트 건물 117.68m² ,"213,000","7,000",0,"220,000",가액변동 
,,,,,,,
본인 ,사무실 전세(임차)권 ,대전광역시 중구 유천동 건물 299.35m² ,"5,000",0,0,"5,000",변동없음 
,,,,,,,
장남 ,오피스텔 전세(임차)권 ,"Brookdale drive, Santa Clara, CA 건물 66.00m² 중 33.00m² ","1,600",0,0,"1,600",변동없음 
,,,,,,,
차남 ,다세대주택 전세(임차)권 ,서울특별시 동작구 상도동 건물 0.00m² (건물 134.64m² 감소) ,"20,000",0,"20,000",0,이사 
,,,,,,,
차남 ,다가구주택 전세(임차)권 ,서울특별시 성동구 행당동 건물 26.40m² (건물 26.40m² 증가) ,- ,"50,000",0,"50,000",월세보증금(신규) 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"4,500",0,700,"3,800",,,
,,,,,,,
배우자 ,자동차 ,"2007년식 SM5 배기량(1,998cc) ","4,500",0,700,"3,800",가액변동 
,,,,,,,
▶ 예금(소계) ,"188,402","230,922","10,235","409,089",,,
,,,,,,,
본인 ,,"대흥 116(3 증가), 삼성생명보험 26,805, 우리은행 0(134 감소), 농협은행 102,496(67,939 증가), MG손해보험(주) 24,000, 둔산신협 391(11 증가), 농협중앙회 22,612(11,672 증가), 국민은행 20(9 감소), (주)KEB하나은행 0(57 감소), 삼성화재해상보험 10,500(4,200 증가), 충절로신협 329 ","103,644","84,281",656,"187,269","급여저축및경조비,보험금 납부,생활비지출등 "
,,,,,,,
배우자 ,,"(주)KEB하나은행 3,519(440 감소), 국민은행 324, 한밭 150(150 증가), 농협중앙회 142,888(130,799 증가), 삼성생명 보험 32,143(8,280 감소), (주)KB손해보험 20,782(3,243 증가), 우리은행 40, MG손해보험(주) 5,988(648 증가) ","79,714","134,841","8,721","205,834",
,,,,,,,
장남 ,,"신한은행 5, 농협중앙회 11,040(10,004 증가), 국민은행 20, (주)KEB하나은행 47, Wells fargo Bank 2,978 ","4,086","10,004",0,"14,090",
,,,,,,,
차남 ,,"국민은행 26(858 감소), (주)KEB하나은행 1,763(1,690 증가), 씨티은행 1, 한국카카오은행(주) 10(10 증가), 신한은행 96(96 증가) ",958,"1,796",858,"1,896",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"76,815","14,027",0,"90,842",,,
,,,,,,,
본인 ,,"농협은행 90,842(14,027 증가) ","76,815","14,027",0,"90,842",정치후원금 증가 
,,,,,,,
▶ 채무(소계) ,"181,640",0,"24,554","157,086",,,
,,,,,,,
본인 ,,사인간채무 감소 ,"20,000",0,"20,000",0,정치자금으로 상환 
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 7,086(4,554 감소) ","11,640",0,"4,554","7,086",일부상환 
,,,,,,,
본인 ,건물임대채무 ,대전광역시 서구 둔산동 은하수아파트 임대보증금 ,"150,000",0,0,"150,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,등록제외 ,- ,- ,- ,- ,사망 
,,,,,,,
모 ,,등록제외 ,- ,- ,- ,- ,사망 
,,,,,,,
총계 ,"570,458","313,028","6,381","877,105","증 감 액 : 306,647천원 (가액변동: 17,379천원) ",,
,,,,,,,
