소속 ,국회 ,직위 ,국회의원 ,성명 ,이은재 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"1,354,089","70,596",0,"1,424,685",,,
,,,,,,,
본인 ,임야 ,"서울특별시 관악구 신림동 산 181-5번지 17,110.00m² 중 5,703.00m² ","912,480","57,030",0,"969,510",가액변동 
,,,,,,,
배우자 ,임야 ,"서울특별시 강남구 세곡동 산 48번지 3,570.00m² ","441,609","13,566",0,"455,175",가액변동 
,,,,,,,
▶ 건물(소계) ,"3,377,572","382,689",0,"3,760,261",,,
,,,,,,,
본인 ,다가구주택 ,서울특별시 강남구 삼성동 건물 243.81m² ,"1,544,000","224,000",0,"1,768,000",가액변동 
,,,,,,,
배우자 ,빌딩 ,서울특별시 서초구 양재동 대지 276.50m² 건물 835.18m² ,"1,833,572","158,689",0,"1,992,261",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"153,960","6,430","1,720","158,670",,,
,,,,,,,
본인 ,자동차 ,"2010년식 에쿠스 배기량(4,627cc) ","26,190",0,"1,560","24,630",가액변동 
,,,,,,,
본인 ,자동차 ,"1998년식 그랜저XG 배기량(2,972cc) ","1,070",0,160,910,가액변동 
,,,,,,,
배우자 ,자동차 ,"2016년식 XJL 배기량(3,000cc) ","126,700","6,430",0,"133,130",가액변동 
,,,,,,,
▶ 예금(소계) ,"2,111,650","109,247","624,460","1,596,437",,,
,,,,,,,
본인 ,,"신한은행 3,049(112 증가), 중소기업은행 13, 한국교직원공제회 10,600(1,200 증가), 농협은행 1,062(11,373 감소), 새마을금고중앙회 공제사업부 23,000(12,000 증가) ","35,785","13,312","11,373","37,724",생활비지출및예금감소등 
,,,,,,,
배우자 ,,"중소기업은행 1,540,678(522,645 감소) ","2,063,323","90,442","613,087","1,540,678",
,,,,,,,
장남 ,,"중소기업은행 4, KB증권 1, 국민은행 18,028(5,493 증가), (주)KEB하나은행 2 ","12,542","5,493",0,"18,035",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,368,"126,556",0,"126,924",,,
,,,,,,,
본인 ,,"농협은행 126,924(126,556 증가) ",368,"126,556",0,"126,924",정치자금 변동 
,,,,,,,
▶ 유가증권(소계) ,"2,044,373",0,373,"2,044,000",,,
,,,,,,,
본인 ,상장주식 ,삼성생명 0주(3주 감소) ,373,0,373,0,상장주식 전량매도 
,,,,,,,
본인 ,비상장주식 ,"신라성산주식회사 1,900주 ","19,000",0,0,"19,000",
,,,,,,,
배우자 ,비상장주식 ,"케이엔에스주식회사 200,000주, 신라성산주식회사 2,500주 ","2,025,000",0,0,"2,025,000",
,,,,,,,
▶ 채무(소계) ,"389,303","4,500","9,413","384,390",,,
,,,,,,,
본인 ,금융기관채무 ,"신한은행 64,009(7,685 감소), 농협은행 150,000, 국민은행 98,381(1,228 감소) ","321,303",0,"8,913","312,390",일부 상환 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 서초구 양재동 임대보증금 증가 ,"68,000","4,500",500,"72,000",임대보증금 증가 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장녀 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"8,652,709","691,018","617,140","8,726,587","증감액:73,878천원 (가액변동: 457,995천원) ",,
,,,,,,,
