소속 ,국회 ,직위 ,국회의원 ,성명 ,이인영 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"650,000","18,000","1,000","667,000",,,
,,,,,,,
본인 ,빌딩 전세(임차)권 ,서울특별시 구로구 개봉동 금석빌딩 311호 건물 143.80m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 구로구 오류동 동부골든아파트 건물 113.43m² ,"320,000",0,0,"320,000",변동없음 
,,,,,,,
배우자 ,아파트 ,서울특별시 구로구 오류동 동부골든아파트 건물 71.06m² ,"182,000","18,000",0,"200,000",가액변동 
,,,,,,,
모 ,아파트 ,충청북도 충주시 칠금동 코오롱동신아파트 건물 75.63m² ,"118,000",0,"1,000","117,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"1,300","23,929","1,300","23,929",,,
,,,,,,,
본인 ,자동차 ,"2003년식 세라토 배기량(1,500cc) 감소 ","1,300",0,"1,300",0,말소 
,,,,,,,
본인 ,자동차 ,"2018년식 니로 하이브리드 배기량(1,580cc) 증가 ",0,"23,929",0,"23,929",신규구입 
,,,,,,,
▶ 예금(소계) ,"255,015","130,274","101,625","283,664",,,
,,,,,,,
본인 ,,"새마을금고 133, 신용협동조합중앙회 173(5 증가), 우체국 2,592, 농협은행 40,150(3,717 증가), 국민은행 2,321(595 감소) ","42,242","5,229","2,102","45,369",급여저축에 따른 예금액 증가 
,,,,,,,
배우자 ,,"(주)KEB하나은행 44,620(6,029 감소), 오류신협 125, 신한은행 5,272(800 증가), 우체국 4,428, 중소기업은행 279, 농협중앙회 9, AIA생명보험 25,950(1,800 증가), 오류신협 50,888(888 증가), 한국카카오은행(주) 10,216(10,216 증가), 신용협동조합 중앙회 274(6 증가), 한화생명보험 12,418(584 증가), 신한생명 보험 18,111(1,563 증가), 오류1동 11, 오류1동 50,000 ","212,773","109,351","99,523","222,601",
,,,,,,,
모 ,,"국민은행 15,694(15,694 증가) ",0,"15,694",0,"15,694",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"39,648","89,511",0,"129,159",,,
,,,,,,,
본인 ,,"농협은행 129,159(89,511 증가) ","39,648","89,511",0,"129,159",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"200,000",0,0,"200,000",,,
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 구로구 오류동 동부골든아파트 임대보증금 ,"200,000",0,0,"200,000",변동없음 
,,,,,,,
총계 ,"745,963","261,714","103,925","903,752","증 감 액 : 157,789천원 (가액변동: 17,000천원) ",,
,,,,,,,
