소속 ,국회 ,직위 ,국회의원 ,성명 ,이장우 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"74,385","3,206",0,"77,591",,,
,,,,,,,
본인 ,임야 ,"충청남도 청양군 남양면 봉암리 산 39-1번지 29,752.00m² ","44,925",595,0,"45,520",공시지가에 따른 가액변동 
,,,,,,,
본인 ,대지 ,충청남도 청양군 남양면 봉암리 475-2번지 360.00m² ,"5,436",684,0,"6,120",공시지가에 따른 가액변동 
,,,,,,,
본인 ,전 ,충청남도 청양군 남양면 봉암리 469번지 863.00m² ,"10,010",950,0,"10,960",공시지가에 따른 가액변동 
,,,,,,,
본인 ,임야 ,"충청남도 홍성군 은하면 대율리 산 53번지 7,934.00m² 중 3,967.00m² ","11,662",754,0,"12,416",공시지가에 따른 가액변동 
,,,,,,,
모 ,전 ,충청남도 청양군 남양면 봉암리 764번지 202.80m² ,"2,352",223,0,"2,575",공시지가에 따른 가액변동 
,,,,,,,
▶ 건물(소계) ,"1,929,930",670,0,"1,930,600",,,
,,,,,,,
본인 ,아파트 ,대전광역시 동구 효동 현대아파트 건물 134.25m² ,"180,000",0,0,"180,000",변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,대전광역시 동구 삼성동 화성빌딩 5층 건물 181.80m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
배우자 ,아파트 ,서울특별시 마포구 아현동 마포래미안푸르지오 건물 59.92m² ,"580,000",0,0,"580,000",변동없음 
,,,,,,,
배우자 ,근린생활시설 ,대전광역시 동구 중동 1동 대지 217.20m² 건물 580.35m² ,"1,150,000",0,0,"1,150,000",변동없음 
,,,,,,,
모 ,단독주택 ,충청남도 청양군 남양면 봉암리 대지 565.00m² 건물 123.55m² ,"9,930",670,0,"10,600",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"21,370",0,"2,970","18,400",,,
,,,,,,,
본인 ,자동차 ,"2016년식 티볼리 에어 배기량(1,597cc) ","10,685",0,"1,485","9,200",연식하락에 따른 가액변동 
,,,,,,,
배우자 ,자동차 ,"2016년식 티볼리 에어 배기량(1,597cc) ","10,685",0,"1,485","9,200",연식하락에 따른 가액변동 
,,,,,,,
▶ 예금(소계) ,"260,299","76,553","55,039","281,813",,,
,,,,,,,
본인 ,,"인동신협 1,500, 새마을금고 49,856(1,079 증가), 신용협동 조합중앙회 780(16 증가), 산림조합중앙회 0(75 감소), 점진 신협 586(7 증가), KB증권 0(1 감소), 새울신협 410(10 증가), 대신 4,781(98 증가), 대전삼성신협 211, 농협은행 3,980(2,921 증가), (주)KEB하나은행 1,248(1,062 증가), 농협중앙회 0(2 감소), 삼성동 5,311(88 증가), 새마을금고중앙회 공제사업부 50,253(9,637 증가), 신용협동조합중앙회 신용공제사업부 6,400(2,400 증가)","108,076","17,318",78,"125,316",
,,,,,,,
,,,,,,,
배우자 ,,"(주)KEB하나은행 5,256(12,314 감소), 효동 15,206(1,536 증가), 하나금융투자 10,283(10,283 증가), 새마을금고중앙회 공제사업부 4,835(970 증가), 메리츠화재해상보험 5,400(3,600 증가), 신한은행 1,035(363 증가), 농협은행 1,986(1,112 증가), 새마을금고 3,681(124 증가), 우리은행 2,425(1,408 증가), 교보생명보험 49,944(2,056 증가) ","90,913","26,811","17,673","100,051",
,,,,,,,
모 ,,"농협중앙회 36,696(12,588 감소) ","49,284","24,700","37,288","36,696",
,,,,,,,
장녀 ,,"국민은행 371(141 증가), (주)KEB하나은행 6,942(240 증가), 농협중앙회 11,191(7,287 증가), 하나금융투자 1,246(56 증가) ","12,026","7,724",0,"19,750",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"1,553","30,724",0,"32,277",,,
,,,,,,,
본인 ,,"(주)KEB하나은행 32,277(30,724 증가) ","1,553","30,724",0,"32,277",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"8,253","16,038","2,455","21,836",,,
,,,,,,,
배우자 ,상장주식 ,셀트리온헬스케 213주(213주 증가) ,0,"16,038",0,"16,038",매수 및 가치하락에 의한 평가액 변동 
,,,,,,,
장녀 ,상장주식 ,셀트리온헬스케 77주(1주 증가) ,"8,253",0,"2,455","5,798",
,,,,,,,
▶ 채무(소계) ,"1,151,000",0,"48,000","1,103,000",,,
,,,,,,,
본인 ,,사인간채무 ,"100,000",0,0,"100,000",변동없음 
,,,,,,,
본인 ,금융기관채무 ,"새마을금고 142,000 ","142,000",0,0,"142,000",변동없음 
,,,,,,,
배우자 ,,사인간채무 ,"123,000",0,0,"123,000",변동없음 
,,,,,,,
배우자 ,금융기관채무 ,"우리은행 678,000(48,000 감소) ","726,000",0,"48,000","678,000",적금해약등금융기관 채무변제에 의한 감소 
,,,,,,,
배우자 ,건물임대채무 ,대전광역시 동구 중동 1층 임대보증금 ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
배우자 ,건물임대채무 ,대전광역시 동구 중동 2층 임대보증금 ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
총계 ,"1,144,790","127,191","12,464","1,259,517","증 감 액 : 114,727천원 (가액변동: 906천원) ",,
,,,,,,,
