소속 ,국회 ,직위 ,국회부의장 ,성명 ,이주영 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"7,336","58,294",0,"65,630",,,
,,,,,,,
본인 ,답 ,경상남도 의령군 정곡면 죽전리 508번지 878.00m² ,"6,848",615,0,"7,463",가액변동 
,,,,,,,
본인 ,답 ,경상남도 의령군 정곡면 죽전리 508-3번지 190.00m² ,488,44,0,532,가액변동 
,,,,,,,
배우자 ,전 ,"경상남도 고성군 마암면 장산리 149-2번지 1,396.00m² (1,396.00m² 증가) ",- ,"13,680",0,"13,680",상속 
,,,,"-13,680",,,
,,,,,,,
배우자 ,전 ,"경상남도 고성군 마암면 장산리 149-5번지 1,367.00m² (1,367.00m² 증가) ",- ,"23,239",0,"23,239",상속 
,,,,"-23,239",,,
,,,,,,,
배우자 ,전 ,경상남도 고성군 마암면 장산리 149-6번지 472.00m² (472.00m² 증가) ,- ,"8,024",0,"8,024",상속 
,,,,"-8,024",,,
,,,,,,,
배우자 ,답 ,경상남도 고성군 마암면 장산리 155-10번지 392.00m² (392.00m² 증가) ,- ,"7,448",0,"7,448",상속 
,,,,"-7,448",,,
,,,,,,,
배우자 ,답 ,경상남도 고성군 마암면 장산리 155-11번지 95.00m² (95.00m² 증가) ,- ,"1,672",0,"1,672",상속 
,,,,"-1,672",,,
,,,,,,,
배우자 ,전 ,경상남도 고성군 마암면 장산리 155-2번지 188.00m² (188.00m² 증가) ,- ,"3,572",0,"3,572",상속 
,,,,"-3,572",,,
,,,,,,,
▶ 건물(소계) ,"1,969,371","203,243","43,000","2,129,614",,,
,,,,,,,
본인 ,오피스텔 ,경상남도 창원시 성산구 중앙동 리제스타워빌딩 대지 6.80m² 건물 41.28m² ,"66,371","2,343",0,"68,714",가액변동 
,,,,,,,
본인 ,아파트 ,경상남도 창원시 마산합포구 월영동 현대아파트 건물 114.24m² ,"227,000",0,"43,000","184,000",가액변동 
,,,,,,,
본인 ,아파트 ,서울특별시 영등포구 여의도동 여의도자이 건물 182.45m² ,"1,128,000","96,000",0,"1,224,000",가액변동 
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 도곡동 도곡한신아파트 건물 84.74m² ,"548,000","54,000",0,"602,000",가액변동 
,,,,,,,
배우자 ,단독주택 ,"경상남도 고성군 마암면 장산리 대지 572.00m² 건물 84.69m² (대지 572.00m² 증가, 건물 84.69m² 증가) ",- ,"30,100",0,"30,100",상속 
,,,,"-30,100",,,
,,,,,,,
배우자 ,단독주택 ,"경상남도 고성군 마암면 장산리 대지 534.00m² 건물 142.78m² (대지 534.00m² 증가, 건물 142.78m² 증가) ",- ,"20,800",0,"20,800",상속 
,,,,"-20,800",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"2,180",0,20,"2,160",,,
,,,,,,,
배우자 ,자동차 ,"2003년식 EF쏘나타 배기량(1,907cc) ","2,180",0,20,"2,160",가액변동 
,,,,,,,
▶ 예금(소계) ,"20,446","11,677","9,907","22,216",,,
,,,,,,,
본인 ,,"우리은행 7,595(5,878 증가), 새마을금고 458(15 증가), 농협은행 911(215 증가), 국민은행 4,176(2,039 증가), 웰컴저축은행 1,883(8 증가), 경남은행 2 ","6,870","8,155",0,"15,025",급여저축 등 
,,,,,,,
배우자 ,,"우리은행 3,527(1,814 감소), 경남은행 3,664(4,571 감소) ","13,576","3,522","9,907","7,191",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"36,127","16,252",0,"52,379",,,
,,,,,,,
본인 ,,"경남은행 52,379(16,252 증가) ","36,127","16,252",0,"52,379",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"10,200",0,0,"10,200",,,
,,,,,,,
본인 ,비상장주식 ,"경남도민일보 2,000주, 알에프트론주식회사 400주 ","10,200",0,0,"10,200",
,,,,,,,
▶ 채권(소계) ,"200,000",0,"20,000","180,000",,,
,,,,,,,
본인 ,,사인간채권 감소 ,"200,000",0,"20,000","180,000",일부환수 
,,,,,,,
▶ 채무(소계) ,"690,728","787,916","406,768","1,071,876",,,
,,,,,,,
본인 ,금융기관채무 ,"우리은행 531,876(241,148 증가) ","290,728","247,916","6,768","531,876",상속세납부등 
,,,,,,,
본인 ,건물임대채무 ,서울특별시 강남구 도곡동 도곡한신아파트 임대보증금 증가 ,"400,000","540,000","400,000","540,000",전세계약 변경 
,,,,,,,
▶ 회원권(소계) ,"17,500",0,0,"17,500",,,
,,,,,,,
배우자 ,콘도미니엄 ,(주)금호 ,"17,500",- ,- ,"17,500",
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,"167,443",0,"167,443",0,,,
,,,,,,,
장남 ,,고지거부 ,"69,504",0,"69,504",0,독립생계유지 
,,,,,,,
장녀 ,,고지거부 ,"97,939",0,"97,939",0,독립생계유지 
,,,,,,,
총계 ,"1,739,875","-498,450","-166,398","1,407,823","증 감 액 : -332,052천원 (가액변동: 109,982천원) ",,
,,,,,,,
