소속 ,국회 ,직위 ,국회의원 ,성명 ,기동민 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"485,000",0,0,"485,000",,,
,,,,,,,
배우자 ,아파트 ,서울특별시 성북구 동소문동5가 돈암동일하이빌 건물 84.96m² ,"485,000",0,0,"485,000",가액변동 없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"1,800",0,0,"1,800",,,
,,,,,,,
배우자 ,자동차 ,"2003년식 옵티마 배기량(2,000cc) ","1,800",- ,- ,"1,800",가액변동 없음 
,,,,,,,
▶ 예금(소계) ,"1,274,876","475,275","476,995","1,273,156",,,
,,,,,,,
본인 ,,"신한은행 59,223(4,509 감소), 농협은행 47,408(34,930 감소), 장위신협 100, 농협중앙회 118,012(892 증가), (주)KEB하나은행 5,276(234 증가), 오렌지라이프생명보험 46,755(3,112 증가) ","311,975","14,117","49,318","276,774",생활비지출등으로금액변동 
,,,,,,,
배우자 ,,"국민은행 564,483(82,438 증가), KB증권 0(102,522 감소), 삼성생명보험 0(11,472 감소), 씨티은행 77,326(46,384 증가), DB생명보험(주) 25,200, 신한생명보험 1,104, 오렌지라이프생명보험 23,407(71 증가), 교보생명보험 304,520(18,240 증가) ","962,901","460,816","427,677","996,040",
,,,,,,,
장남 ,,"신한은행 315(315 증가), 국민은행 21(21 증가), 스탠다드차타드은행 6(6 증가) ",0,342,0,342,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"247,576",0,"154,214","93,362",,,
,,,,,,,
본인 ,,"농협은행 93,362(154,214 감소) ","247,576",0,"154,214","93,362",정치자금(의정활동비용)사용 및 후원금 기부금 
,,,,,,,
▶ 채무(소계) ,"15,074",0,"4,186","10,888",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 10,888(4,186 감소) ","15,074",0,"4,186","10,888",예금 등으로 상환 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,타인부양 
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,타인부양 
,,,,,,,
총계 ,"1,994,178","475,275","627,023","1,842,430","증 감 액 : -151,748천원 ",,
,,,,,,,
