소속 ,국회 ,직위 ,국회의원 ,성명 ,이재정 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"84,791","21,567",0,"106,358",,,
,,,,,,,
본인 ,전 ,"충청북도 단양군 적성면 1013-22번지 5,593.00m² 중 0.72m² ",3,1,0,4,가액변동 
,,,,,,,
본인 ,전 ,"충청북도 단양군 적성면 1013-1번지 4,723.00m² 중 1,889.00m² ","26,634","7,556",0,"34,190",가액변동 
,,,,,,,
본인 ,전 ,"충청북도 단양군 적성면 1013-71번지 3,095.00m² 중 1,238.00m² ","16,094","3,714",0,"19,808",가액변동 
,,,,,,,
본인 ,전 ,"충청북도 단양군 적성면 1013-72번지 1,773.00m² 중 709.00m² ","9,926","2,836",0,"12,762",가액변동 
,,,,,,,
본인 ,전 ,충청북도 단양군 적성면 1013-73번지 908.00m² 중 363.00m² ,"5,082","1,452",0,"6,534",가액변동 
,,,,,,,
본인 ,전 ,"충청북도 단양군 적성면 1013-74번지 1,320.00m² 중 528.00m² ","7,392","2,112",0,"9,504",가액변동 
,,,,,,,
본인 ,전 ,"충청북도 단양군 적성면 1013-75번지 1,279.00m² 중 512.00m² ","7,168","2,048",0,"9,216",가액변동 
,,,,,,,
본인 ,전 ,충청북도 단양군 적성면 1013-87번지 56.00m² 중 28.00m² ,120,27,0,147,가액변동 
,,,,,,,
본인 ,과수원 ,경상남도 창원시 마산합포구 진전면 1380-16번지 478.00m² 중 478.00m² ,"9,846","1,100",0,"10,946",가액변동 
,,,,,,,
본인 ,전 ,"충청북도 단양군 적성면 1013-76번지 1,367.00m² 중 546.80m² ","2,526",721,0,"3,247",가액변동 
,,,,,,,
▶ 건물(소계) ,"374,568",962,0,"375,530",,,
,,,,,,,
본인 ,오피스텔 ,경기도 안양시 동안구 관양동 평촌라츠오피스텔 대지 5.78m² 건물 75.57m² 중 37.78m² ,"72,284",481,0,"72,765",가액변동 
,,,,,,,
본인 ,오피스텔 전세(임차)권 ,경기도 안양시 동안구 관양동 평촌라츠오피스텔 건물 40.64m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
배우자 ,오피스텔 ,경기도 안양시 동안구 관양동 평촌라츠오피스텔 대지 5.78m² 건물 75.57m² 중 37.78m² ,"72,284",481,0,"72,765",가액변동 
,,,,,,,
배우자 ,사무실 전세(임차)권 ,서울특별시 종로구 체부동 건물 69.42m² ,"220,000",0,0,"220,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"29,069",0,"9,769","19,300",,,
,,,,,,,
본인 ,자동차 ,"2015년식 티구안 2.0 TDI 배기량(2,000cc) ","28,779",0,"9,672","19,107",가액변동 
,,,,,,,
배우자 ,자동차 ,"2015년식 티구안 2.0 TDI 배기량(2,000cc) ",290,0,97,193,가액변동 
,,,,,,,
▶ 예금(소계) ,"30,987","11,392","1,054","41,325",,,
,,,,,,,
본인 ,,"현대해상화재보험 3,459(670 증가), 신한은행 3,700(200 증가), 회원신협 24, 농협은행 15,269(3,464 증가), (주)KB손해보험 7,506(1,979 증가), 농협중앙회 295, (주)KEB하나은행 24(13 증가), 키움닷컴증권 596(3 증가), 서울변호사신용협동조합 118 ","24,662","7,358","1,029","30,991",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 366, 신한은행 5,791(3,195 증가), 삼성생명보험 4,109(814 증가), 우리은행 68 ","6,325","4,034",25,"10,334",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"163,893",0,"26,940","136,953",,,
,,,,,,,
본인 ,,"농협은행 136,953(26,940 감소) ","163,893",0,"26,940","136,953",정치자금 지출 
,,,,,,,
▶ 채무(소계) ,"414,095",0,"44,516","369,579",,,
,,,,,,,
본인 ,금융기관채무 ,"신한은행 96,809(24,520 감소), 폭스바겐파이낸셜서비스코리아(주) 0(4,927 감소), (주)KEB하나은행 50,000 ","176,256",0,"29,447","146,809",예금등으로일부상환 
,,,,,,,
배우자 ,금융기관채무 ,"신한은행 222,770(15,069 감소) ","237,839",0,"15,069","222,770",예금등으로일부상환 
,,,,,,,
총계 ,"269,213","33,921","-6,753","309,887","증감액:40,674천원 (가액변동: 12,760천원) ",,
,,,,,,,
