소속 ,국회 ,직위 ,국회의원 ,성명 ,이정미 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"390,200",0,0,"390,200",,,
,,,,,,,
본인 ,아파트 ,인천광역시 연수구 송도동 베르디움더퍼스트 건물 63.90m² ,"390,200",0,0,"390,200",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"7,580",0,"1,080","6,500",,,
,,,,,,,
본인 ,자동차 ,2016년식 모닝 배기량(998cc) ,"7,580",0,"1,080","6,500",감가상각 
,,,,,,,
▶ 예금(소계) ,"12,838","73,659","3,741","82,756",,,
,,,,,,,
본인 ,,"우리은행 0(3,741 감소), 신한은행 39,231(36,923 증가), 농협은행 38,809(36,736 증가), 교보생명보험 4,716 ","12,838","73,659","3,741","82,756",급여소득 저축 등 
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"9,987","114,623",0,"124,610",,,
,,,,,,,
본인 ,,"농협은행 124,610(114,623 증가) ","9,987","114,623",0,"124,610",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"177,313","150,000","32,433","294,880",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 0(1,313 감소), 농협은행 144,880(31,120 감소), 농협중앙회 150,000(150,000 증가) ","177,313","150,000","32,433","294,880",신규대출등 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
부 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"243,292","38,282","-27,612","309,186","증감액:65,894천원 (가액변동: -1,080천원) ",,
,,,,,,,
