소속 ,국회 ,직위 ,국회의원 ,성명 ,이정현 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"104,471","7,353",0,"111,824",,,
,,,,,,,
본인 ,답 ,"전라남도 곡성군 목사동면 용봉리 795번지 1,025.00m² 중 342.00m² ","1,542",99,0,"1,641",가액변동 
,,,,,,,
본인 ,종교용지 ,전라남도 곡성군 목사동면 동암리 199-2번지 255.00m² ,"3,213",255,0,"3,468",가액변동 
,,,,,,,
본인 ,답 ,"전라남도 곡성군 목사동면 신전리 17-8번지 2,650.00m² ","22,790",0,0,"22,790",가액변동없음 
,,,,,,,
본인 ,답 ,"전라남도 곡성군 목사동면 용봉리 32번지 10,754.00m² ","5,699",0,0,"5,699",가액변동없음 
,,,,,,,
본인 ,답 ,전라남도 곡성군 목사동면 용봉리 916-1번지 520.00m² ,"4,820",0,0,"4,820",가액변동없음 
,,,,,,,
배우자 ,도로 ,전라남도 나주시 동강면 장동리 183-1번지 33.00m² ,116,0,0,116,가액변동없음 
,,,,,,,
배우자 ,임야 ,"광주광역시 동구 운림동 산 111번지 18,645.00m² ","25,916",932,0,"26,848",가액변동 
,,,,,,,
배우자 ,임야 ,"광주광역시 광산구 임곡동 산 45-2번지 14,479.00m² 중 11,261.00m² ","35,584","5,631",0,"41,215",가액변동 
,,,,,,,
배우자 ,대지 ,광주광역시 광산구 산정동 729-1번지 66.00m² ,"4,791",436,0,"5,227",가액변동 
,,,,,,,
배우자 ,도로 ,전라남도 나주시 동강면 장동리 184-1번지 69.00m² ,0,0,0,0,가액변동없음 
,,,,,,,
▶ 건물(소계) ,"980,000","995,000","690,000","1,285,000",,,
,,,,,,,
배우자 ,아파트 ,서울특별시 마포구 염리동 마포자이아파트 건물 0.00m² (건물 135.37m² 감소) ,"690,000",0,"690,000",0,아파트 매도 
,,,,,"-1,420,000",,
,,,,,,,
배우자 ,다세대주택 전세(임차)권 ,서울특별시 마포구 연남동 건물 77.00m² ,"290,000",0,0,"290,000",변동없음 
,,,,,,,
배우자 ,복합건물(주 택+상가) ,"경기도 고양시 일산동구 정발산동 대지 224.30m² 건물 381.66m² (대지 224.30m² 증가, 건물 381.66m² 증가) ",- ,"995,000",0,"995,000",주택구입 
,,,,"-995,000",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"9,850",0,"1,500","8,350",,,
,,,,,,,
본인 ,자동차 ,"2011년식 뉴카니발R(디젤) 배기량(2,199cc) ","9,850",0,"1,500","8,350",가액감소 
,,,,,,,
▶ 예금(소계) ,"202,790","454,031","111,898","544,923",,,
,,,,,,,
본인 ,,"삼성생명보험 27,621(2,046 증가), 농협은행 3,424(68,596 감소), 농협중앙회 18,857(17,978 증가) ","98,474","22,448","71,020","49,902",아파트 매도대금/매입주택 전세보증금 
,,,,,,,
배우자 ,,"삼성생명보험 0(5,964 감소), 농협중앙회 11,009(10,009 증가), 동양생명보험 14,000, 우리은행 399,628(392,570 증가), 교보생명보험 55,534(2,149 증가) ","81,407","418,406","19,642","480,171",
,,,,,,,
장녀 ,,"국민은행 70(1,012 감소), 유안타증권 1, 교보생명보험 182(182 증가), 우리은행 14,509(7,301 감소) ","22,893","13,097","21,228","14,762",
,,,,,,,
장남 ,,"신한은행 0(8 감소), (주)KEB하나은행 88(80 증가) ",16,80,8,88,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"68,038",0,"33,116","34,922",,,
,,,,,,,
본인 ,,"농협은행 34,922(33,116 감소) ","68,038",0,"33,116","34,922",정치자금 사용 
,,,,,,,
▶ 채무(소계) ,"533,088","161,611","300,549","394,150",,,
,,,,,,,
본인 ,금융기관채무 ,"우리은행 20,000(1,611 증가), 농협은행 110,000 ","128,389","1,611",0,"130,000",생활비 사용 
,,,,,,,
배우자 ,,사인간채무 ,"103,000",0,0,"103,000",
,,,,,,,
배우자 ,금융기관채무 ,"우리은행 0(293,697 감소) ","293,697",0,"293,697",0,주택매도 후 대출상환 
,,,,,,,
배우자 ,건물임대채무 ,경기도 고양시 일산동구 정발산동 임대보증금 증가 ,0,"160,000",0,"160,000",전세 및 임대보증금 
,,,,,,,
장녀 ,금융기관채무 ,"현대캐피탈 1,150(6,852 감소) ","8,002",0,"6,852","1,150",급여로 일부상환 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"832,061","1,294,773","535,965","1,590,869","증 감 액 : 758,808천원 (가액변동: 5,853천원) ",,
,,,,,,,
