소속 ,국회 ,직위 ,국회의원 ,성명 ,이종걸 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"1,136,000","113,000",0,"1,249,000",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 안양시 만안구 안양동 국회의원 이종걸 사무소 건물 61.93m² ,"40,000",0,0,"40,000",변동없음 
,,,,,,,
본인 ,아파트 ,경기도 안양시 만안구 박달동 한라아파트 건물 87.60m² ,"184,500","12,000",0,"196,500",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 양천구 목동 신시가지아파트 건물 95.22m² ,"727,000","89,000",0,"816,000",가액변동 
,,,,,,,
배우자 ,아파트 ,경기도 안양시 만안구 박달동 한라비발디아파트 건물 87.60m² ,"184,500","12,000",0,"196,500",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"9,050",0,"1,060","7,990",,,
,,,,,,,
본인 ,자동차 ,"2009년식 체어맨럭셔리 배기량(2,799cc) ","9,050",0,"1,060","7,990",가액변동 
,,,,,,,
▶ 예금(소계) ,"1,476,058","687,258","503,111","1,660,205",,,
,,,,,,,
본인 ,,"삼성생명보험 50,628, 우리은행 1,028(1 증가), 신한은행 68,767(10,447 증가), 중소기업은행 1(502 감소), (주)KB 손해보험 72,000, 농협은행 3,326(1,539 증가), 국민은행 4,098(1,262 감소), 에이비엘생명보험 7,632, (주)KEB하나 은행 496(1 증가), DB손해보험(주) 9,600(1,200 증가), 안양 만안 319(8 증가), 서울변호사신용협동조합 4,347(149 증가) ","210,661","15,906","4,325","222,242",급여저축 등 
,,,,,,,
배우자 ,,"한국교직원공제회 141,223(11,926 증가), 우리종합금융 12, (주)KEB하나은행 222(32,691 감소), 케이디비생명보험 38,880, 흥국생명보험 19,200(7,200 증가), 웰컴저축은행 43,083(43,083 증가), (주)예가람저축은 30,050(30,050 증가), 국민은행 150(14,517 감소), 삼성생명보험 137,051 (5,511 증가), 신한은행 153,628(157,954 감소), (주)DB저축 은행 48,050(48,050 증가), AIA생명보험 3,676, IBK연금보험 31,500(18,000 증가), 제이티친애저축은 46,000(46,000 증가), 한화생명보험 98,000(8,400 증가), 신한생명보험 32,000(6,000 증가), 신용협동조합중앙회 10,000, 한국산업은행 101,734(1,734 증가), SBI저축은행 49,903 (19,903 증가), 교보생명보험 17,850(4,200 증가), (주)유진저축 은행 35,600(35,600 증가), 수협중앙회 48,000(48,000 증가)","957,317","543,671","415,176","1,085,812",
,,,,,,,
,,,,,,,
장녀 ,,"푸르덴셜생명보험 50,760, DB손해보험(주) 4,394(580 증가), 삼성생명보험 26,700(3,600 증가), KB증권 4,064(13 증가), 신한은행 27,471(719 증가), 삼성화재해상보험 27,235(4,039 증가), (주)KB손해보험 3,450(828 증가) ","134,295","25,494","15,715","144,074",
,,,,,,,
차녀 ,,"푸르덴셜생명보험 50,760, (주)KB손해보험 3,325(798 증가), 삼성생명보험 5,873(632 증가), 미래에셋대우(주) 0(1,731 감소), 한국산업은행 124,590(34,370 증가), 신한은행 6,020(14,054 감소), (주)KEB하나은행 3,203(10 감소), 우리은행 19, SBI저축은행 14,287(14,287 증가) ","173,785","102,187","67,895","208,077",
,,,,,,,
▶ 유가증권(소계) ,"2,505","7,118",0,"9,623",,,
,,,,,,,
차녀 ,상장주식 ,"월트디즈니 1주(1주 증가), 뱅크오브아메리 6주(6주 증가), IBM 2주(2주 증가), 아마존 닷컴 3주(1주 증가), 녹십자 2주 (2주 증가), 아모레퍼시픽 3주(3주 증가), SPDR S&P 500 6주 (6주 증가), 스튜디오드래곤 3주(3주 증가), 미국달러 0주 ","2,505","7,118",0,"9,623",자녀의 주식구입으로 인한 증가 
,,,,,,,
▶ 채무(소계) ,"141,630",0,"58,035","83,595",,,
,,,,,,,
본인 ,금융기관채무 ,"농협은행 83,595(58,035 감소) ","141,630",0,"58,035","83,595",정치자금 차입금 일부 상환 
,,,,,,,
총계 ,"2,481,983","807,376","446,136","2,843,223","증 감 액 : 361,240천원 (가액변동: 111,940천원) ",,
,,,,,,,
