소속 ,국회 ,직위 ,국회의원 ,성명 ,이종구 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"127,779","2,788","59,831","70,736",,,
,,,,,,,
본인 ,대지 ,서울특별시 동작구 흑석동 84-106번지 0.00m² (53.00m² 감소) ,"59,413",0,"59,413",0,흑석3재정비촉진구역주택 재개발정비사업 손실보상 
,,,,,"-71,285",,
,,,,,,,
본인 ,답 ,"전라남도 보성군 득량면 오봉리 2039-4번지 5,151.00m² 중 2,575.50m² ","20,629",515,0,"21,144",가액 변동 
,,,,,,,
본인 ,전 ,전라남도 보성군 득량면 오봉리 473-3번지 744.00m² ,"4,173",343,0,"4,516",가액 변동 
,,,,,,,
본인 ,전 ,전라남도 보성군 득량면 오봉리 493번지 658.00m² ,"3,842",316,0,"4,158",가액 변동 
,,,,,,,
본인 ,전 ,"전라남도 보성군 득량면 오봉리 473-1번지 1,279.00m² ","7,175",588,0,"7,763",가액 변동 
,,,,,,,
본인 ,답 ,"전라남도 보성군 득량면 오봉리 473-2번지 2,998.00m² ","20,416","1,019",0,"21,435",가액 변동 
,,,,,,,
본인 ,답 ,전라남도 보성군 문덕면 죽산리 771번지 172.00m² 중 10.75m² ,65,7,0,72,가액 변동 
,,,,,,,
본인 ,하천 ,"전라남도 보성군 득량면 해평리 887-4번지 2,202.00m² ","12,066",0,418,"11,648",가액 변동 
,,,,,,,
▶ 건물(소계) ,"1,128,000","264,000",0,"1,392,000",,,
,,,,,,,
본인 ,연립주택 ,서울특별시 강남구 청담동 건물 206.85m² ,"1,128,000","264,000",0,"1,392,000",가액 변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"96,775",0,"12,705","84,070",,,
,,,,,,,
본인 ,자동차 ,"2018년식 카니발 배기량(2,199cc) ","42,179",0,"6,519","35,660",가액 변동 
,,,,,,,
배우자 ,자동차 ,"2018년식 G80 배기량(3,342cc) ","54,596",0,"6,186","48,410",가액 변동 
,,,,,,,
▶ 예금(소계) ,"416,391","142,438","168,513","390,316",,,
,,,,,,,
본인 ,,"전북은행 69,876(1,890 증가), 국민은행 39,837(24,837 증가), (주)KEB하나은행 129,408(40,303 증가) ","172,091","134,089","67,059","239,121",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"DB손해보험(주) 13,556(4,396 증가), 하나금융투자 43,695(92,166 감소), 스탠다드차타드은행 1(668 감소), 새마을금고중앙회 공제사업부 10,500(3,600 증가), 국민은행 5,912(8,620 감소), 삼성생명보험 66,240, 새마을금고 10,141(8 증가), 라이나생명보험 1,150(345 증가)","244,300","8,349","101,454","151,195",
,,,,,,,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"18,944","52,193",0,"71,137",,,
,,,,,,,
본인 ,,"농협은행 71,137(52,193 증가) ","18,944","52,193",0,"71,137",정치자금변동 
,,,,,,,
▶ 채무(소계) ,"51,285",0,"51,285",0,,,
,,,,,,,
본인 ,금융기관채무 ,"국민은행 0(5,406 감소) ","5,406",0,"5,406",0,급여 등으로 상환 
,,,,,,,
배우자 ,금융기관채무 ,"현대캐피탈 0(45,879 감소) ","45,879",0,"45,879",0,자동차 할부 상환 
,,,,,,,
▶ 보석류(소계) ,"4,000",0,0,"4,000",,,
,,,,,,,
배우자 ,,"다이아몬드반지 (1캐럿, 무색) ","3,000",- ,- ,"3,000",가액변동없음 
,,,,,,,
배우자 ,,"사파이어반지 (2.8캐럿, 파란색) ","1,000",- ,- ,"1,000",가액변동없음 
,,,,,,,
▶ 회원권(소계) ,"65,000",0,0,"65,000",,,
,,,,,,,
배우자 ,헬스 ,신라호텔헬스클럽 ,"65,000",- ,- ,"65,000",가액변동없음 
,,,,,,,
총계 ,"1,805,604","461,419","189,764","2,077,259","증 감 액 : 271,655천원 (가액변동: 253,665천원) ",,
,,,,,,,
