소속 ,국회 ,직위 ,국회의원 ,성명 ,이종명 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"9,231",499,0,"9,730",,,
,,,,,,,
모 ,답 ,경상북도 청도군 매전면 온막리 947번지 499.00m² ,"9,231",499,0,"9,730",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,259,700","2,000",0,"1,261,700",,,
,,,,,,,
본인 ,아파트 ,대전광역시 유성구 죽동 대원 칸타빌 건물 84.00m² ,"303,000",0,0,"303,000",가액변동없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,경기도 성남시 수정구 창곡동 위례호반 베르디움 건물 98.95m² ,"450,000",0,0,"450,000",변동없음 
,,,,,,,
모 ,단독주택 ,경상북도 청도군 매전면 온막리 대지 248.00m² 건물 181.00m² ,"56,700","2,000",0,"58,700",가액변동 
,,,,,,,
장남 ,오피스텔 ,경기도 성남시 수정구 창곡동 한화 오벨리스크 대지 26.60m² 건물 65.94m² ,"450,000",0,0,"450,000",가액변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"12,090","6,105",0,"18,195",,,
,,,,,,,
본인 ,자동차 ,"2016년식 SM7 배기량(1,998cc) ","12,090","5,860",0,"17,950",가액변동 
,,,,,,,
본인 ,자동차 ,"2018년식 LF 쏘나타 하이브리드 2.0 배기량(1,999cc) 증가 ",0,245,0,245,신규취득(지분율 1%) 
,,,,,,,
▶ 예금(소계) ,"317,586","189,687","61,306","445,967",,,
,,,,,,,
본인 ,,"농협은행 1,539(137 증가), 국민은행 27,639(4,118 증가) ","24,923","4,954",699,"29,178",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"처브라이프생명 34,000(24,000 증가), 미래에셋대우(주) 0(20 감소), 푸르덴셜생명보험 19,481(1,062 증가), 국민은행 47,666(32,798 증가), KB증권 28,248(1,815 감소), 삼성생명보험 39,502(2,353 증가), 우체국 44,233(7,155 증가), DB금융투자 38,875(4,222 감소), 메트라이프생명보험 90,000(90,000 증가), 한화생명보험 4,177, 농협은행 11,476(23,636 감소) ","229,983","158,170","30,495","357,658",
,,,,,,,
모 ,,"농협중앙회 12,611(3,764 증가), 수협중앙회 0(29,570 감소) ","38,417","3,764","29,570","12,611",
,,,,,,,
장남 ,,"농협중앙회 2,082(31 증가), 우리은행 9,528(290 감소), 국민은행 26,251(20,064 증가), (주)KEB하나은행 857(12 감소), 푸르덴셜생명보험 7,801(2,464 증가), 농협은행 1 ","24,263","22,799",542,"46,520",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"1,660",0,"1,025",635,,,
,,,,,,,
본인 ,,"농협은행 635(1,025 감소) ","1,660",0,"1,025",635,정치자금 지출 등 
,,,,,,,
▶ 유가증권(소계) ,"7,460",0,"7,460",0,,,
,,,,,,,
배우자 ,상장주식 ,중앙백신 0주(435주 감소) ,"7,460",0,"7,460",0,전량 매도 
,,,,,,,
▶ 채무(소계) ,"540,000",0,0,"540,000",,,
,,,,,,,
본인 ,건물임대채무 ,대전광역시유성구죽동 대원칸타빌임대보증금 ,"240,000",0,0,"240,000",변동없음 
,,,,,,,
장남 ,금융기관채무 ,"(주)KEB하나은행 270,000 ","270,000",0,0,"270,000",변동없음 
,,,,,,,
장남 ,건물임대채무 ,경기도 성남시 수정구 창곡동 한화 오벨리스크 임대보증금 ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
차남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손자1 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
손녀1 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"1,067,727","198,291","69,791","1,196,227","증 감 액 : 128,500천원 (가액변동: 8,359천원) ",,
,,,,,,,
