,국회 ,직위 ,국회의원 ,성명 ,이종배 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"79,138","3,005",0,"82,143",,,
,,,,,,,
본인 ,임야 ,"경기도 이천시 율면 산양리 422번지 8,450.00m² 중 2,816.00m² ","34,355","1,126",0,"35,481",가액변동 
,,,,,,,
본인 ,답 ,"충청북도 충주시 주덕읍 837번지 1,219.50m² ","28,048","1,220",0,"29,268",가액변동 
,,,,,,,
본인 ,답 ,충청북도 충주시 주덕읍 336번지 499.00m² ,"8,932",200,0,"9,132",가액변동 
,,,,,,,
본인 ,답 ,"충청북도 충주시 주덕읍 653번지 2,311.00m² 중 459.00m² ","7,803",459,0,"8,262",가액변동 
,,,,,,,
▶ 건물(소계) ,"944,000","126,000",0,"1,070,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 강남구 개포동 주공아파트 건물 73.26m² ,"714,000","126,000",0,"840,000",가액변동 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,충청북도 충주시 봉방동 충주푸르지오아파트 건물 84.96m² ,"230,000",- ,- ,"230,000",
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"5,356","1,976",322,"7,010",,,
,,,,,,,
본인 ,자동차 ,"2006년식 쏘나타 배기량(2,400cc) ","2,392",0,322,"2,070",가액변동 
,,,,,,,
본인 ,자동차 ,"2009년식 아반떼 배기량(1,591cc) ","2,964","1,976",0,"4,940",가액변동 
,,,,,,,
▶ 예금(소계) ,"688,294","667,582","489,939","865,937",,,
,,,,,,,
본인 ,,"문화 50,011, 애플 10, 제일신협 10, 충주야현신협 10, 농협은행 144,498(136,322 증가), 충주산림조합 50,000, 충주효성신협 10, 칠금신협 10, 마루신협 10, 신한생명보험 12,240,충주SM 10,(주)KEB하나은행1,899(37감소), 한국산업은행 49,750(419 증가), 농협중앙회 0(236,303 감소), 연수 50,020(50,010 증가), (주)대명상호저축 50,000(50,000 증가), 새충주 10, 주덕신협 10, 대한지방 행정공제회 0(46,965 감소), 교현 10, 남부신협 10 ","455,082","340,200","386,754","408,528",본인및자녀의급여저축등 
,,,,,,,
배우자 ,,"(주)KEB하나은행 9,458(540 증가), DB손해보험(주) 2,808(454 증가), 칠금신협 50,010(50,010 증가), (주)대명상호저축 50,000(50,000 증가), 국민은행 14,438(140 증가), 주덕신협 21, 문화 50,000(50,000 증가), 삼성생명보험 37,472(1,916 증가), NH투자증권 33, 신한생명보험 48,562(2,350 증가), 한국산업은행 22,379(189 증가), 엔에이치저축은행(주) 2, 연수 50,000(50,000 증가), 충주산림조합 50,000 ","179,584","255,804","50,205","385,183",본인및자녀의급여저축등 
,,,,,,,
차남 ,,"중소기업은행 16, (주)KEB하나은행 480, 국민은행 36(952 감소), 한국산업은행 1, 케이뱅크 59,888(9,887 증가), 신한은행 9,632(7,490 증가), 우리은행 2,173(2,173 증가) ","53,628","71,578","52,980","72,226",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"25,104","11,173",0,"36,277",,,
,,,,,,,
본인 ,,"농협중앙회 36,277(11,173 증가) ","25,104","11,173",0,"36,277",후원금 증가 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"1,741,892","809,736","490,261","2,061,367","증 감 액 : 319,475천원 (가액변동: 130,659천원) ",,
,,,,,,,
