소속 ,국회 ,직위 ,국회의원 ,성명 ,이진복 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"922,000","18,000",0,"940,000",,,
,,,,,,,
본인 ,아파트 ,부산광역시 동래구 안락동 6/1 동래화목타운 건물 182.99m² ,"242,000","18,000",0,"260,000",가액변동 
,,,,,,,
배우자 ,아파트 ,서울특별시 마포구 창전동 서강쌍용예가아파트 건물 84.99m² ,"680,000",0,0,"680,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"34,121","19,370","5,040","48,451",,,
,,,,,,,
본인 ,자동차 ,"2016년식 올 뉴 쏘렌토R 배기량(2,000cc) ","12,320",- ,- ,"12,320",변동없음 
,,,,,,,
본인 ,자동차 ,"2016년식 G80 배기량(3,300cc) ","16,761",- ,- ,"16,761",변동없음 
,,,,,,,
배우자 ,자동차 ,"2009년식 라세티 배기량(1,600cc) 감소 ","5,040",0,"5,040",0,매매 
,,,,,"-1,000",,
,,,,,,,
장녀 ,자동차 ,"2018년식 티볼리 배기량(1,600cc) 증가 ",0,"19,370",0,"19,370",신규구매 
,,,,,,,
▶ 예금(소계) ,"420,834","76,506","80,908","416,432",,,
,,,,,,,
본인 ,,"농협생명보험 0(4,944 감소), 흥국생명보험 5,675(377 증가), 삼성생명보험 34,922, 부산은행 9,540(4,017 증가), 농협은행 12(166 감소), 오렌지라이프생명보험 76,555(4,746 증가) ","122,674","9,140","5,110","126,704","보험액 증가, 급여저축 및 생활비지출등 "
,,,,,,,
배우자 ,,"처브라이프생명 22,890(12,000 증가), 흥국생명보험 31,369 (4,304 증가), KB생명보험 0(37,500 감소), 새마을금고중앙회 공제사업부 2,801(156 증가), 흥국화재해상보험(주) 12,554 (1,170 증가), 삼성생명보험 81,304(16,592 증가), 중소기업은행 979(280 증가), 하이투자증권 3, 농협생명보험 51,722(806 증가), 부산은행 3,093(2,280 증가) ","206,627","37,588","37,500","206,715",
,,,,,,,
장녀 ,,"국민은행 948(33,211 감소), 중소기업은행 51,971(14,650 증가), 동양생명보험 765(368 증가), 한국카카오은행(주) 1,969(1,969 증가), 신한은행 15,500(7,500 증가), 라이나생명보험 662(318 증가) ","80,221","28,032","36,438","71,815",
,,,,,,,
장남 ,,"신한은행 850(100 증가), 중소기업은행 226(1,812 감소), 흥국생명보험 10,122(1,598 증가) ","11,312","1,746","1,860","11,198",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"74,649",0,"4,377","70,272",,,
,,,,,,,
본인 ,,"부산은행 70,272(4,377 감소) ","74,649",0,"4,377","70,272",정치자금 지출 등 
,,,,,,,
▶ 채무(소계) ,"235,426",0,"81,835","153,591",,,
,,,,,,,
본인 ,금융기관채무 ,"부산은행 114,645(67,020 감소), 신한카드 5,751(4,084 감소), 롯데캐피탈 33,195(10,731 감소) ","235,426",0,"81,835","153,591","채무일부상환,차량 잔여리스료 "
,,,,,,,
총계 ,"1,216,178","113,876","8,490","1,321,564","증 감 액 : 105,386천원 (가액변동: 18,000천원) ",,
,,,,,,,
