소속 ,국회 ,직위 ,국회의원 ,성명 ,이찬열 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"100,679","2,247",0,"102,926",,,
,,,,,,,
본인 ,임야 ,경기도 화성시 우정읍 화산리 산 36-4번지 992.00m² ,"46,425","1,290",0,"47,715",가액변동 
,,,,,,,
본인 ,임야 ,"경기도 화성시 장안면 장안리 산 158-4번지 2,540.00m² 중 169.33m² ","6,299",203,0,"6,502",가액변동 
,,,,,,,
본인 ,임야 ,경기도 화성시 장안면 장안리 산 158-9번지 38.00m² 중 2.53m² ,26,1,0,27,가액변동 
,,,,,,,
모 ,도로 ,경기도 화성시 우정읍 화산리 345-3번지 35.00m² ,"1,417",70,0,"1,487",가액변동 
,,,,,,,
모 ,전 ,경기도 화성시 우정읍 화산리 345-2번지 683.00m² ,"46,512",683,0,"47,195",가액변동 
,,,,,,,
▶ 건물(소계) ,"564,000","6,000",0,"570,000",,,
,,,,,,,
본인 ,아파트 ,경기도 수원시 장안구 정자1동 수원SK Sky VIEW 건물 174.17m² ,"436,000",0,0,"436,000",가액변동 없음 
,,,,,,,
모 ,단독주택 ,경기도 화성시 우정읍 화산리 대지 541.00m² 건물 120.38m² ,"128,000","6,000",0,"134,000",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"47,240",0,"2,850","44,390",,,
,,,,,,,
본인 ,자동차 ,"2010년식 스포티지 배기량(1,991cc) ","5,930",0,910,"5,020",가액변동 
,,,,,,,
본인 ,자동차 ,"2014년식 에쿠스 배기량(3,778cc) ","27,420",- ,- ,"27,420",가액변동없음(리스차량) 
,,,,,,,
배우자 ,자동차 ,"2014년식 그랜저 배기량(2,999cc) ","13,890",0,"1,940","11,950",가액변동 
,,,,,,,
▶ 예금(소계) ,"280,543","80,519","24,511","336,551",,,
,,,,,,,
본인 ,,"현대해상화재보험 36,000(6,000 증가), 흥국생명보험 5,622(1,407 증가), 새마을금고 921(22 증가), KB증권 11, 농협은행 15,216(8,957 증가), (주)KB손해보험 28,528(7,958 증가), 씨티은행 991, 동양생명보험 31,422(6,181 증가), 국민은행 7,340(4,674 감소), (주)KEB하나은행 1,007(1 증가), 장안신협 3,614(1,592 증가), 라이나생명보험 1,196(624 증가), 장안신협 34,000(24,000 증가), 신용협동조합중앙회 신용공제사업부 10,972(890 감소)","125,662","62,395","11,217","176,840",급여저축 등 
,,,,,,,
,,,,,,,
배우자 ,,"DB손해보험(주) 6,138(594 증가), 미래에셋대우(주) 2, 메리츠화재해상보험 813(651 증가), (주)KB손해보험 6,126, 삼성생명보험 23,071(1,720 증가), 씨티은행 353(1,524 감소), 한화손해보험 7,483(2,099 증가), AIA생명보험 739 (592 증가), 한화생명보험 52,139, 농협은행 4, 우리은행 230 ","92,966","5,656","1,524","97,098",
,,,,,,,
모 ,,"농협중앙회 684(570 감소), 경기화성 3,172(2,161 증가), 케이디비생명보험 14,229(1,146 증가) ","15,348","3,307",570,"18,085",
,,,,,,,
장녀 ,,"국민은행 3, 삼성증권 100, (주)KEB하나은행 6(6 증가), DB손해보험(주) 3,239(717 증가), 한화생명보험 14,643 (1,373 증가), 우리은행 5,000, 신한은행 217(544 감소) ","21,656","2,121",569,"23,208",
,,,,,,,
장남 ,,"신한은행 5,692(5,631 감소), 우리은행 5,000, 국민은행 8, DB손해보험(주) 5,345(600 증가), 삼성화재해상보험 5,275(1,440 증가) ","24,911","7,040","10,631","21,320",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,0,0,0,0,,,
,,,,,,,
본인 ,,,0,0,0,0,변동없음 
,,,,,,,
▶ 채권(소계) ,"185,300",0,0,"185,300",,,
,,,,,,,
본인 ,,사인간채권 ,"25,300",0,0,"25,300",
,,,,,,,
모 ,,사인간채권 ,"160,000",0,0,"160,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"244,410",0,"26,646","217,764",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 4,104(7,137 감소), 국민은행 85,664(3,509 감소) ","100,414",0,"10,646","89,768",급여등으로일부상환 
,,,,,,,
모 ,금융기관채무 ,"새마을금고 127,996(16,000 감소) ","143,996",0,"16,000","127,996",일부 상환 
,,,,,,,
▶ 골동품 및 예술품(소계) ,"60,000",0,0,"60,000",,,
,,,,,,,
본인 ,,"악기 (첼로, 4/4 full sizeCm, Gio Bette MORASSI, 1997) ","60,000",- ,- ,"60,000",가액변동 없음 
,,,,,,,
▶ 회원권(소계) ,0,"18,000",0,"18,000",,,
,,,,,,,
본인 ,콘도미니엄 ,토비스콘도미니엄 증가 ,0,"18,000",0,"18,000",취득 
,,,,,,,
총계 ,"993,352","106,766",715,"1,099,403","증 감 액 : 106,051천원 (가액변동: 5,397천원) ",,
,,,,,,,
