소속 ,국회 ,직위 ,국회의원 ,성명 ,이채익 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"250,269","34,289",0,"284,558",,,
,,,,,,,
본인 ,임야 ,"경상남도 양산시 명동 산 51번지 4,363.00m² ","1,854",737,0,"2,591",가액변동 
,,,,,,,
본인 ,전 ,경상북도 경주시 외동읍 괘릉리 712-1번지 649.00m² ,"24,856","3,829",0,"28,685",가액변동 
,,,,,,,
본인 ,답 ,"경상북도 경주시 외동읍 괘릉리 723-1번지 4,355.00m² ","152,860","23,517",0,"176,377",가액변동 
,,,,,,,
배우자 ,임야 ,울산광역시 울주군 청량면 용암리 산 178-8번지 744.00m² ,"5,788",305,0,"6,093",가액변동 
,,,,,,,
배우자 ,임야 ,"울산광역시 남구 두왕동 산 95번지 5,901.00m² ","64,911","5,901",0,"70,812",가액변동 
,,,,,,,
▶ 건물(소계) ,"637,000",0,0,"637,000",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,울산광역시 남구 신정동 건물 198.00m² ,"30,000",0,0,"30,000",변동없음 
,,,,,,,
본인 ,아파트 전세(임차)권 ,서울특별시 용산구 효창동 효창파크푸르지오 건물 59.47m² ,"70,000",0,0,"70,000",변동없음 
,,,,,,,
본인 ,아파트 ,울산광역시 남구 신정동 강변센트럴하이츠 건물 138.12m² ,"537,000",0,0,"537,000",변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"42,000",0,"23,150","18,850",,,
,,,,,,,
본인 ,자동차 ,"2015년식 제네시스 배기량(3,300cc) ","37,000",0,"22,430","14,570",가액변동 
,,,,,,,
장녀 ,자동차 ,"2013년식 SM3 배기량(1,598cc) ","5,000",0,720,"4,280",가액변동 
,,,,,,,
▶ 예금(소계) ,"325,912","231,501","179,673","377,740",,,
,,,,,,,
본인 ,,"삼성생명보험 30,689(1,552 증가), 강남 765(701 증가), 농협은행 32,390(11,873 감소), 대신증권 8, 서울산 700(700 증가), 신정 400(400 증가), 울산남부신협 300(300 증가), 울산태화신협 106, 농협중앙회 800(800 증가), 경남은행 15,279(555 감소), 울산제일 1,016(657 증가), SK증권 108(1 증가), 울산광역시산림조 560(308 증가), 우리 315(315 증가) ","90,130","11,854","18,548","83,436",
,,,,,,,
배우자 ,,"울산행복신협 102(50,000 감소), 강남 20,050(20,050 증가), 우체국 13,872, 농협중앙회 15,888(14,597 증가), 울산광역시산림조 284(10 증가), 신한생명보험 5,632(400 증가), 한화생명보험 7,321(1,849 증가), 울산행복신협 3(1,097 감소), 강남 30,000(30,000 증가), 경남은행 15 ","77,358","68,159","52,350","93,167",본인과 자녀의 급여저축으로 인한 예금의 증가/
,,,,,,,생활비 사용과 채무상환등에 따른 감소 
,,,,,,,
장녀 ,,"대구은행 101, (주)KEB하나은행 1,264(1 증가), 국민은행 174(153 감소), KTB투자증권 4,180(4,180 증가), 울산남부신협 40,000(40,000 증가), 강남 50,050(50,050 증가), 농협은행 37,423(741 감소), 새울산 0(32,500 감소), 울산행복신협 10,299(801 감소), 울산행복신협 0(71,900 감소), 한국카카오은행(주) 53,851(53,851 증가), (주)KB손해보험 1,799(293 증가), 메리츠화재해상보험 1,989(434 증가), 신한은행 7(1 감소) ","158,424","151,488","108,775","201,137",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"51,009","6,521",0,"57,530",,,
,,,,,,,
본인 ,,"농협은행 57,530(6,521 증가) ","51,009","6,521",0,"57,530",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"178,212",0,"45,770","132,442",,,
,,,,,,,
본인 ,,사인간채무 ,"40,000",0,0,"40,000",변동없음 
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 22,442(15,770 감소) ","38,212",0,"15,770","22,442",일부 상환 
,,,,,,,
배우자 ,,사인간채무 감소 ,"100,000",0,"30,000","70,000",예금으로 일부상환 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
장남 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"1,127,978","272,311","157,053","1,243,236","증 감 액 : 115,258천원 (가액변동: 11,139천원) ",,
,,,,,,,
