소속 ,국회 ,직위 ,국회의원 ,성명 ,김경진 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"707,000","100,000",0,"807,000",,,
,,,,,,,
본인 ,아파트 ,광주광역시 북구 두암동 현대아파트 건물 84.97m² ,"134,000",0,0,"134,000",가액변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,광주광역시 북구 우산동 6층 건물 264.46m² ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
배우자 ,아파트 ,서울특별시 동작구 흑석동 한강현대아파트 건물 114.44m² ,"553,000","100,000",0,"653,000",가액 변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"32,670","37,890","9,590","60,970",,,
,,,,,,,
본인 ,자동차 ,"2012년식 SM7 배기량(3,498cc) ","14,150",- ,- ,"14,150",가액 변동 
,,,,,,,
본인 ,자동차 ,"2009년식 SM7 배기량(3,498cc) 감소 ","8,660",0,"8,660",0,폐차 
,,,,,,,
배우자 ,자동차 ,"2010년식 SM5 배기량(1,998cc) ","9,860",0,930,"8,930",가액 변동 
,,,,,,,
배우자 ,자동차 ,"2018년식 SM7 배기량(3,498cc) 증가 ",0,"37,890",0,"37,890",신규 구입 
,,,,,,,
▶ 예금(소계) ,"354,878","48,904","68,344","335,438",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 51,845(2,931 증가), 광주중앙 238(7 증가), 두암신협 310(6 증가), 신한은행 2,822(1,191 감소), 정다운 1,074(10 증가), 태봉 236(6 증가), 예향 103(3 증가), 동부 1,129(12 증가), 농협은행 8,968(5,085 감소), 한화투자증권 76, 한화생명보험 31,074(3,347 증가), 농협중앙회 6, (주)KEB하나은행 502(1 증가), 국민은행 35, 케이디비생명보험 57,804(9,127 증가), 광주은행 264(4 증가), 삼성화재해상보험 8,319(1,188 증가) ","154,439","24,673","14,307","164,805",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"한국교직원공제회 59,542(6,767 증가), (주)KEB하나은행 2,656(16,142 감소), 한화투자증권 87(1,182 감소), 광주은행 469(2,900 감소), 푸르덴셜생명보험 21,645(2,435 증가), (주)KB손해보험 0(30,579 감소), 한화생명보험 62,576(10,842 증가) ","177,734","20,044","50,803","146,975",
,,,,,,,
장남 ,,"신한은행 3,015(1,396 감소), 한화생명보험 19,723(2,284 증가), 우체국 0(2 감소), 신한금융투자(주) 1, 중국은행 105(105 증가), 키움닷컴증권 814(38 감소) ","22,705","4,187","3,234","23,658",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"7,779","139,187",0,"146,966",,,
,,,,,,,
본인 ,,"농협은행 146,966(139,187 증가) ","7,779","139,187",0,"146,966",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"33,945","17,693","33,945","17,693",,,
,,,,,,,
배우자 ,상장주식 ,"한화케미칼 0주(200주 감소), 미래에셋대우 0주(468주 감소), 롯데케미칼 0주(30주 감소), CJ ENM 65주(65주 증가), 삼성중공업 0주(100주 감소) ","22,393","13,123","22,393","13,123",주식매입및매도등 
,,,,,,,
장남 ,상장주식 ,"테라젠이텍스 0주(1,055주감소),비즈니스온커뮤 97주(97주증가),LG전자보통주 50주(50주증가) ","11,552","4,570","11,552","4,570",
,,,,,,,
▶ 채무(소계) ,"302,746","25,812","4,467","324,091",,,
,,,,,,,
본인 ,금융기관채무 ,"신한은행 305,735(2,989 증가) ","302,746","7,456","4,467","305,735",일부상환후재대출 
,,,,,,,
배우자 ,금융기관채무 ,"한국교직원공제회 18,356(18,356 증가) ",0,"18,356",0,"18,356",생활비를위한대출등 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,타인부양 
,,,,,,,
총계 ,"833,526","317,862","107,412","1,043,976","증 감 액 : 210,450천원 (가액변동: 99,070천원) ",,
,,,,,,,
