소속 ,국회 ,직위 ,국회의원 ,성명 ,이철규 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"623,476","21,175",0,"644,651",,,
,,,,,,,
본인 ,답 ,"경기도 남양주시 와부읍 월문리 560-1번지 1,217.00m² ","123,160","4,138",0,"127,298",가액변동 
,,,,,,,
본인 ,답 ,"경기도 남양주시 와부읍 월문리 561-5번지 3,732.00m² ","487,026","16,420",0,"503,446",가액변동 
,,,,,,,
본인 ,임야 ,"경기도 광주시 남한산성면 엄미리 산 237-1번지 27,405.00m² 중 6,851.00m² ","13,290",617,0,"13,907",가액변동 
,,,,,,,
▶ 건물(소계) ,"4,705,399","55,151","4,322","4,756,228",,,
,,,,,,,
본인 ,사무실 전세(임차)권 ,강원도 동해시 천곡동 흥국생명 동해사옥 건물 198.35m² ,"120,000",0,0,"120,000",변동없음 
,,,,,,,
본인 ,근린생활시설 ,강원도 동해시 북평동 대지 588.00m² 건물 44.10m² ,"355,034",0,"4,322","350,712",가액변동 
,,,,,,,
본인 ,아파트 ,서울특별시 강동구 둔촌동 둔촌주공아파트 건물 104.96m² ,"893,000",0,0,"893,000",변동없음 
,,,,,,,
본인 ,아파트 ,강원도 동해시 평릉동 동해엘리시아 아파트 건물 84.90m² ,"261,000",0,0,"261,000",변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,강원도 삼척시 당저동 삼척동해태백산림조합 건물 380.48m² ,"10,000",0,0,"10,000",변동없음 
,,,,,,,
배우자 ,근린생활시설 ,서울특별시 강동구 성내동 대지 412.60m² 건물 869.04m² ,"2,957,212","50,990",0,"3,008,202",가액변동 
,,,,,,,
배우자 ,빌딩 ,"서울특별시 광진구 구의동 지상상가 대지 25,260.30m² 중 2.99m² 건물 35.27m² ","43,165","1,311",0,"44,476",가액변동 
,,,,,,,
배우자 ,빌딩 ,"서울특별시 구로구 구로동 신도림 테크노-마트 대지 22,711.00m² 중 3.08m² 건물 63.27m² ","65,988","2,850",0,"68,838",가액변동 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"34,120",0,"3,430","30,690",,,
,,,,,,,
본인 ,자동차 ,"2015년식 제네시스 배기량(3,300cc) ","17,060",0,"1,715","15,345",가액변동 
,,,,,,,
배우자 ,자동차 ,"2015년식 제네시스330 배기량(3,300cc) ","17,060",0,"1,715","15,345",가액변동 
,,,,,,,
▶ 예금(소계) ,"72,955","15,666","35,019","53,602",,,
,,,,,,,
본인 ,,"신한은행 2,690(1,052 감소), 우리은행 8,530(162 증가), 농협은행 4,046(5,668 감소), 국민은행 19, 농협중앙회 100, 한국투자증권 22 ","21,965","2,406","8,964","15,407",가계자금등활용 
,,,,,,,
배우자 ,,"(주)KEB하나은행 1,413(108 감소), 국민은행 14,238(6,700 증가), 신한은행 1,090(23,593 감소), 우체국 13,020(2,605 증가), 삼성생명보험 7,200(3,600 증가), 신한금융투자(주) 155(2,354 감소), 농협은행 706(1 증가) ","50,971","12,906","26,055","37,822",
,,,,,,,
장남 ,,"신한은행 57(48 증가), 중소기업은행 2(2 증가), 국민은행 310(300 증가), 우리은행 4(4 증가) ",19,354,0,373,
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"206,938","52,960","5,332","254,566",,,
,,,,,,,
본인 ,,"농협중앙회 254,566(47,628 증가) ","206,938","52,960","5,332","254,566",후원금 증가에 따른 가액변동 
,,,,,,,
▶ 유가증권(소계) ,"518,645",0,"500,386","18,259",,,
,,,,,,,
배우자 ,상장주식 ,"퍼시픽바이오 19,000주(333,820주 감소) ","518,645",0,"500,386","18,259",일부 매도 
,,,,,,,
▶ 채권(소계) ,"20,000",0,0,"20,000",,,
,,,,,,,
본인 ,,사인간채권 ,"20,000",0,0,"20,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"3,512,875","317,406","785,882","3,044,399",,,
,,,,,,,
본인 ,,사인간채무 감소 ,"550,000",0,"50,000","500,000",대출을 통한 채무변제 
,,,,,,,
본인 ,금융기관채무 ,"농협은행 620,000(250,000 증가) ","370,000","250,000",0,"620,000",보증금 반환 및 채무변제에 활용 
,,,,,,,
본인 ,건물임대채무 ,강원도 동해시 북평동 임대보증금 ,"12,000",0,0,"12,000",변동없음 
,,,,,,,
배우자 ,,사인간채무 감소 ,"300,000",0,"300,000",0,주식 매각대금으로 상환 
,,,,,,,
배우자 ,금융기관채무 ,"신한은행 1,788,002(341,998 감소) ","2,130,000","58,002","400,000","1,788,002",대환대출 및
,,,,,,,주식 매각대금으로 일부 상환 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 강동구 성내동 임대보증금 감소 ,"97,500",0,"15,000","82,500",임차보증금 반환 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 광진구 구의동 지상상가 임대보증금 ,"5,000",0,0,"5,000",변동없음 
,,,,,,,
배우자 ,건물임대채무 ,서울특별시 구로구 구로동 신도림 테크노-마트 임대보증금 ,"5,000",0,0,"5,000",변동없음 
,,,,,,,
배우자 ,기타 ,(주)케이티렌탈 감소 ,"17,510",0,"13,482","4,028",가액변동 
,,,,,,,
장남 ,금융기관채무 ,"신한은행 7,499(5,000 감소), 상호저축은행중앙회 8,600(2,400 감소), 우리카드 11,770(9,404 증가) ","25,865","9,404","7,400","27,869",채무증가 
,,,,,,,
▶ 회원권(소계) ,"20,000","30,000","20,000","30,000",,,
,,,,,,,
배우자 ,골프 ,블루헤런 골프클럽 증가 ,0,"30,000",0,"30,000",신규매입 
,,,,,,,
배우자 ,골프 ,양평TPC 감소 ,"20,000",0,"20,000",0,매도 
,,,,,"-20,000",,
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,타인부양 
,,,,,,,
차녀 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"2,688,658","-142,454","-217,393","2,763,597","증감액:74,939천원 (가액변동: 68,574천원) ",,
,,,,,,,
