소속 ,국회 ,직위 ,국회의원 ,성명 ,이철희 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"820,000",0,0,"820,000",,,
,,,,,,,
본인 ,아파트 ,서울특별시 양천구 목동 목동 e 편한세상아파트 건물 156.54m² 중 78.27m² ,"410,000",0,0,"410,000",가액변동없음 
,,,,,,,
배우자 ,아파트 ,서울특별시 양천구 목동 목동 e 편한세상아파트 건물 156.54m² 중 78.27m² ,"410,000",0,0,"410,000",가액변동없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"30,860",0,"9,080","21,780",,,
,,,,,,,
본인 ,자동차 ,"2016년식 그랜저 배기량(2,359cc) ","15,430",0,"4,540","10,890",가액변동 
,,,,,,,
배우자 ,자동차 ,"2016년식 그랜저 배기량(2,359cc) ","15,430",0,"4,540","10,890",가액변동 
,,,,,,,
▶ 예금(소계) ,"193,365","128,830","26,956","295,239",,,
,,,,,,,
본인 ,,"푸르덴셜생명보험 21,583(939 증가), 신한은행 9, 농협은행 53,629(22,049 증가), 씨티은행 117,414(65,852 증가), (주)KEB하나은행 3, 스탠다드차타드은행 1,306(4 증가) ","105,100","93,012","4,168","193,944",급여저축및생활비지출등 
,,,,,,,
배우자 ,,"DB손해보험(주) 15,873(1,773 증가), (주)KEB하나은행 2,863(2,000 증가), 미래에셋대우(주) 34, 푸르덴셜생명보험 15,405(1,422 증가), 중소기업은행 1,722(570 증가), 삼성생명보험 3,780, (주)KB손해보험 8,137(1,182 증가), 오렌지라이프생명보험 3,405(1,521 증가), 교보생명보험 11,162(620 증가), 미래에셋생명보험 19,364(2,934 증가) ","69,723","26,692","14,670","81,745",
,,,,,,,
장남 ,,"중소기업은행 20(2,000 감소), 우리은행 353(1,619 감소) ","3,992",240,"3,859",373,
,,,,,,,
차남 ,,"중소기업은행 13,061(4,437 증가), 국민은행 1,900(1,200 증가), (주)KEB하나은행 1,900(1,198 증가), 스탠다드차타드 은행 3(3 증가), 한국카카오은행(주) 43(43 증가), 우리은행 370(3,454 감소), 신한은행 1,900(1,200 증가) ","14,550","8,886","4,259","19,177",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"132,118","44,213",0,"176,331",,,
,,,,,,,
본인 ,,"농협은행 176,331(44,213 증가) ","132,118","44,213",0,"176,331",후원금 증가 
,,,,,,,
총계 ,"1,176,343","173,043","36,036","1,313,350","증 감 액 : 137,007천원 (가액변동: -9,080천원) ",,
,,,,,,,
