소속 ,국회 ,직위 ,국회의원 ,성명 ,이춘석 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"87,444","27,084",0,"114,528",,,
,,,,,,,
본인 ,대지 ,전라북도 군산시 조촌동 883-1번지 330.90m² 중 82.73m² ,"23,907","11,567",0,"35,474",가액변동 
,,,,,,,
본인 ,대지 ,전라북도 군산시 조촌동 883-4번지 330.90m² 중 82.70m² ,"23,907","11,554",0,"35,461",가액변동 
,,,,,,,
모 ,전 ,전라북도 익산시 황등면 죽촌리 576번지 0.00m² (0.00m² 감소) ,0,0,0,0,
,,,,,,,
모 ,전 ,"전라북도 익산시 황등면 죽촌리 576-1번지 3,963.00m² ","39,630","3,963",0,"43,593",가액변동 
,,,,,,,
▶ 건물(소계) ,"236,000",0,0,"236,000",,,
,,,,,,,
본인 ,아파트 ,전라북도 익산시 모현동1가 5차현대아파트 건물 84.96m² ,"136,000",0,0,"136,000",변동사항없음 
,,,,,,,
배우자 ,아파트 전세(임차)권 ,서울특별시 영등포구 당산동4가 현대5차아파트 건물 105.80m² ,"100,000",0,0,"100,000",변동사항없음 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"26,250",0,0,"26,250",,,
,,,,,,,
본인 ,자동차 ,"2016년식 제네시스 배기량(3,342cc) ","1,250",- ,- ,"1,250",변동사항없음 
,,,,,,,
배우자 ,자동차 ,"2014년식 제네시스 배기량(3,342cc) ","25,000",- ,- ,"25,000",변동사항없음 
,,,,,,,
▶ 예금(소계) ,"236,159","54,227","34,422","255,964",,,
,,,,,,,
본인 ,,"현대해상화재보험 19,320(1,440 증가), BNP파리바카디프 생명보험 0(12,000 감소), 신한은행 36,025(4,000 증가), 익산신협 100, 신용협동조합중앙회 1,236(4 증가), 인화 411(14 증가), 농협은행 3,218(20,245 감소), 신한생명보험 39,500(6,000 증가), 한화생명보험 4,986, 농협중앙회 6, (주)KEB하나은행 78, 케이디비생명보험 6,024, 교보생명보험 39,156(3,590 증가), 삼성화재해상보험 16,911(3,955 증가) ","180,213","19,003","32,245","166,971",본인및장녀의급여저축 
,,,,,,,
배우자 ,,"국민은행 5,466(4,586 증가), 농협중앙회 1,295(2 증가), 한화손해보험 10,486(1,362 증가), 교보생명보험 43,860(6,120 증가) ","49,037","12,070",0,"61,107",
,,,,,,,
모 ,,"농협중앙회 276(1,913 감소), 신용협동조합중앙회 95(2 증가) ","2,282",2,"1,913",371,
,,,,,,,
장녀 ,,"스탠다드차타드은행 244(47 감소), 우리은행 23,839(21,123 증가), 신한은행 1,771(1,771 증가) ","3,007","22,904",57,"25,854",
,,,,,,,
장남 ,,"국민은행 588(248 증가), 스탠다드차타드은행 1,073(207 감소) ","1,620",248,207,"1,661",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"208,095","73,062",0,"281,157",,,
,,,,,,,
본인 ,,"농협중앙회 281,157(73,062 증가) ","208,095","73,062",0,"281,157",정치자금법에 따른 정치자금 수입지출용통장 수입증가 
,,,,,,,
▶ 채권(소계) ,"20,000",0,0,"20,000",,,
,,,,,,,
모 ,,사인간채권 ,"20,000",0,0,"20,000",변동사항없음 
,,,,,,,
▶ 채무(소계) ,"184,693",436,"15,108","170,021",,,
,,,,,,,
본인 ,금융기관채무 ,"신한은행 55,932(4,068 감소), 농협은행 114,089(10,604 감소) ","184,693",436,"15,108","170,021",일부상환에 따른 채무감소 
,,,,,,,
▶ 회원권(소계) ,"18,500",0,0,"18,500",,,
,,,,,,,
본인 ,콘도미니엄 ,무주리조트콘도 ,"18,500",- ,- ,"18,500",변동사항없음 
,,,,,,,
총계 ,"647,755","153,937","19,314","782,378","증 감 액 : 134,623천원 (가액변동: 27,084천원) ",,
,,,,,,,
