소속 ,국회 ,직위 ,국회의원 ,성명 ,이태규 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 건물(소계) ,"450,000","340,000","450,000","340,000",,,
,,,,,,,
본인 ,아파트 전세(임차)권 ,경기도 고양시 덕양구 행신동 서정마을신동아타운하우스 건물 0.00m² (건물 165.00m² 감소) ,"450,000",0,"450,000",0,전세권 만료 
,,,,,"-450,000",,
,,,,,,,
본인 ,아파트 전세(임차)권 ,경기도 고양시 덕양구 행신동 무원9단지기산아파트 건물 134.91m² (건물 134.91m² 증가) ,- ,"340,000",0,"340,000",신규 전세권 
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"28,080",0,0,"28,080",,,
,,,,,,,
배우자 ,자동차 ,"2017년식 싼타페 배기량(1,995cc) ","28,080",- ,- ,"28,080",가액변동없음 
,,,,,,,
▶ 예금(소계) ,"344,324","99,206","50,871","392,659",,,
,,,,,,,
본인 ,,"현대해상화재보험 5,579(930 증가), 신한은행 83,127(58,664 증가), 삼성생명보험 12,558, 우체국 1,157(3 증가), 농협은행 14,882(34,043 감소), AIA생명보험 36,909(2,756 증가), 씨티은행 11, 국민은행 10,049(3,729 증가), 오렌지라이프생명보험 28,922(1,607 증가), DB손해보험(주) 2,085(481 증가), 한국투자증권 923(403 증가), 교보생명보험 113,778(1,750 증가), 삼성화재해상보험 29,125(3,792 증가) ","299,033","90,943","50,871","339,105",수당저축으로인한재산증가및 생활비지출로인한재산감소 
,,,,,,,
배우자 ,,"DB손해보험(주) 2,823(625 증가), 스탠다드차타드은행 8, 국민은행 104(92 증가), 현대해상화재보험 3,011(502 증가), 삼성화재해상보험 790(120 증가), (주)KB손해보험 501(501 증가), 오렌지라이프생명보험 26,259(2,897 증가) ","28,759","4,737",0,"33,496",
,,,,,,,
장녀 ,,"신한은행 8,867(1,639 증가) ","7,228","1,639",0,"8,867",
,,,,,,,
차녀 ,,"신한은행 11,191(1,887 증가) ","9,304","1,887",0,"11,191",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"37,625","33,959",0,"71,584",,,
,,,,,,,
본인 ,,"농협중앙회 71,584(33,959 증가) ","37,625","33,959",0,"71,584",후원금 증가 
,,,,,,,
▶ 유가증권(소계) ,"14,278",0,213,"14,065",,,
,,,,,,,
본인 ,상장주식 ,KT 472주 ,"14,278",0,213,"14,065",주식 평가액 변동 
,,,,,,,
▶ 채무(소계) ,"89,828",0,"46,016","43,812",,,
,,,,,,,
본인 ,금융기관채무 ,"현대캐피탈 11,314(9,558 감소), 우리은행 30,619(25,352 감소) ","76,843",0,"34,910","41,933",급여 등으로 상환 
,,,,,,,
배우자 ,금융기관채무 ,"현대캐피탈 1,879(11,106 감소) ","12,985",0,"11,106","1,879",차량할부 
,,,,,,,
총계 ,"784,479","473,165","455,068","802,576","증감액:18,097천원 (가액변동: -213천원) ",,
,,,,,,,
