소속 ,국회 ,직위 ,국회의원 ,성명 ,이학영 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"136,006","8,815",0,"144,821",,,
,,,,,,,
본인 ,임야 ,"전라남도 순천시 월등면 계월리 산 74번지 4,364.00m² ","1,745",109,0,"1,854",가액변동 
,,,,,,,
본인 ,전 ,"전라북도 순창군 풍산면 유정리 447번지 1,841.00m² ","2,172",184,0,"2,356",가액변동 
,,,,,,,
본인 ,대지 ,전라남도 구례군 토지면 내서리 466번지 407.00m² ,"7,977","1,180",0,"9,157",가액변동 
,,,,,,,
본인 ,답 ,"전라남도 광양시 봉강면 지곡리 822번지 3,568.00m² (45.00m² 감소) ","104,777","4,760",0,"109,537",가액변동 
,,,,,,,
본인 ,대지 ,전라남도 구례군 토지면 내서리 467번지 271.00m² ,"5,555",813,0,"6,368",가액변동 
,,,,,,,
본인 ,전 ,전라북도 순창군 풍산면 유정리 476번지 916.00m² ,"3,572",275,0,"3,847",가액변동 
,,,,,,,
본인 ,대지 ,전라남도 구례군 토지면 내서리 943-6번지 23.00m² ,471,69,0,540,가액변동 
,,,,,,,
본인 ,대지 ,전라남도 구례군 토지면 내서리 968-1번지 108.00m² ,"2,214",324,0,"2,538",가액변동 
,,,,,,,
본인 ,대지 ,전라남도 구례군 토지면 내서리 465번지 367.00m² ,"7,523","1,101",0,"8,624",가액변동 
,,,,,,,
▶ 건물(소계) ,"638,100","520,800","140,000","1,018,900",,,
,,,,,,,
본인 ,연립주택 ,"서울특별시 은평구 갈현동 대지 0.00m² 건물 0.00m² (대지 235.00m² 감소, 건물 62.59m² 감소) ","130,000",0,"130,000",0,증여 
,,,,,,,
본인 ,단독주택 ,전라남도 구례군 토지면 내서리 건물 107.08m² ,"78,100","2,800",0,"80,900",가액변동 
,,,,,,,
본인 ,아파트 ,경기도 군포시 산본동 한양목련아파트 건물 126.00m² 중 63.00m² ,"210,000",0,0,"210,000",가액변동없음 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 군포시 산본동 계정빌딩 건물 0.00m² (건물 69.76m² 감소) ,"10,000",0,"10,000",0,이사 
,,,,,,,
본인 ,사무실 전세(임차)권 ,경기도 군포시 산본동 제8층 건물 95.23m² (건물 95.23m² 증가) ,- ,"10,000",0,"10,000",이사 
,,,,,,,
배우자 ,아파트 ,경기도 군포시 산본동 한양목련아파트 건물 126.00m² 중 63.00m² ,"210,000",0,0,"210,000",가액변동없음 
,,,,,,,
배우자 ,상가 ,"경기도 군포시 산본동 수성드림빌 대지 34.56m² 건물 57.33m² (대지 34.56m² 증가, 건물 57.33m² 증가) ",- ,"350,000",0,"350,000",구입 
,,,,"-350,000",,,
,,,,,,,
장녀 ,다세대주택 ,"서울특별시 은평구 갈현동 대지 31.85m² 건물 62.59m² (대지 31.85m² 증가, 건물 62.59m² 증가) ",- ,"158,000",0,"158,000",증여 
,,,,"-158,000",,,
,,,,,,,
▶ 부동산에 관한 규정이 준용되는 권리와 자동차.건설기계.선박 및 항공기(소계) ,"65,630",0,"10,570","55,060",,,
,,,,,,,
배우자 ,자동차 ,"2016년식 모하비 배기량(2,959cc) ","39,810",0,"5,680","34,130",가액변동 
,,,,,,,
장녀 ,자동차 ,"2017년식 코란도 스포츠 배기량(2,157cc) ","25,820",0,"4,890","20,930",가액변동 
,,,,,,,
▶ 예금(소계) ,"1,082,878","378,519","767,599","693,798",,,
,,,,,,,
본인 ,,"신한은행 6,725(4,374 감소), 순천중앙신협 4,666(79 증가), 우리은행 0(50,000 감소), 새마을금고 0(17 감소), 우체국 50,000, 농협은행 38,342(16,581 감소), 군포 50,000, 군포 50,022(50,001 증가), 군포신협 569(135 감소), (주)KEB하나은행 33,052(1,402 증가), 국민은행 0(50,000 감소), 농협중앙회 0(50,000 감소), DB손해보험(주) 3,668(786 증가), (주)부림저축은행 50,000, 스탠다드차타드은행 24, 신용협동조합중앙회 신용공제사업부 0(2,376 감소) ","408,283","163,933","285,148","287,068",건물구입자금지출등 
,,,,,,,
배우자 ,,"DB손해보험(주) 8,516(1,182 증가), 군포신협 0(50,846 감소), 스탠다드차타드은행 0(50,000 감소), 현대해상화재보험 5,800(792 증가), (주)부림저축은행 50,000, 군포 80,022(30,001 증가), 농협중앙회 13,278(46,667 감소), 삼성생명보험 16,158, 신한은행 293, 중소기업은행 0(50,000 감소), 씨티은행 0(50,638 감소), 신용협동조합중앙회 1,045(21 증가), 한국산업은행 0(75,000 감소),순천중앙신협 26(26증가),군포신협 60,000(60,000 증가), 교보생명보험 113,493(7,509 증가) ","572,251","205,831","429,451","348,631",
,,,,,,,
장녀 ,,"DB손해보험(주) 1,577(266 증가), 푸르덴셜생명보험 14,393(1,093 증가), 새마을금고 12(1 증가), 농협중앙회 1,851(2,625 감소), 새마을금고중앙회 공제사업부 39,976(7,020 증가), (주)부림저축은행 0(49,999 감소), 신한은행 290(1 감소) ","102,344","8,755","53,000","58,099",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"251,611","94,962",0,"346,573",,,
,,,,,,,
본인 ,,"농협은행 346,573(94,962 증가) ","251,611","94,962",0,"346,573",후원금 증가 
,,,,,,,
▶ 채무(소계) ,"35,000","45,000","35,000","45,000",,,
,,,,,,,
본인 ,건물임대채무 ,서울특별시 은평구 갈현동 상일빌라 임대보증금 감소 ,"35,000",0,"35,000",0,계약 변경 
,,,,,,,
배우자 ,건물임대채무 ,경기도 군포시 산본동 수성드림빌 임대보증금 증가 ,0,"10,000",0,"10,000",전세보증금 
,,,,,,,
장녀 ,건물임대채무 ,서울특별시 은평구 갈현동 상일빌라 임대보증금 증가 ,0,"35,000",0,"35,000",계약 변경 
,,,,,,,
▶ 합명.합자.유한회사 출자지분(소계) ,"4,587",0,0,"4,587",,,
,,,,,,,
본인 ,출자 ,"순천중앙신용협동조합, 출자가액: 4,587천원, 지분비율: 0.058%, 연간매출액: 6,689,060천원 ","4,587",- ,- ,"4,587",
,,,,,,,
총계 ,"2,143,812","958,096","883,169","2,218,739","증감액:74,927천원 (가액변동: -3,715천원) ",,
,,,,,,,
