소속 ,국회 ,직위 ,국회의원 ,성명 ,이학재 ,,
,,,,,,,
(단위 : 천원) ,,,,,,,
,,,,,,,
본인과의 관계 ,재산의 종류 ,소재지면적등권리의명세 ,종전가액 ,변동액(천원) ,현재가액 ,변동사유 ,
,,,,,,,
증가액 (실거래액) ,감소액 (실거래액) ,,,,,,
,,,,,,,
▶ 토지(소계) ,"3,394,275","48,078",445,"3,441,908",,,
,,,,,,,
본인 ,임야 ,인천광역시 서구 금곡동 70-9번지 45.50m² ,"12,876",41,0,"12,917",가액변동 
,,,,,,,
본인 ,도로 ,인천광역시 서구 오류동 52-6번지 89.00m² ,"21,733",0,445,"21,288",가액변동 
,,,,,,,
본인 ,전 ,인천광역시 서구 오류동 52-8번지 435.00m² ,"389,455","5,960",0,"395,415",가액변동 
,,,,,,,
본인 ,대지 ,"인천광역시 서구 왕길동 664-1번지 1,078.90m² ","2,970,211","42,077",0,"3,012,288",가액변동 
,,,,,,,
▶ 건물(소계) ,"1,822,247",0,"5,580","1,816,667",,,
,,,,,,,
배우자 ,아파트 ,인천광역시 서구 연희동 중흥S클래스 건물 141.44m² ,"357,000",0,0,"357,000",가액변동 없음 
,,,,,,,
배우자 ,빌딩 ,"인천광역시 서구 왕길동 이화빌딩 건물 1,299.46m² ","865,247",0,"5,580","859,667",가액변동 
,,,,,,,
배우자 ,상가 ,인천광역시 서구 연희동 지젤엠청라 대지 17.32m² 건물 94.04m² ,"600,000",0,0,"600,000",가액변동 없음 
,,,,,,,
▶ 예금(소계) ,"513,672","148,870","140,122","522,420",,,
,,,,,,,
본인 ,,"신한은행 16,033(557 증가), 농협은행 389(300 감소), 서해 100, 서인천신협 102, 교보생명보험 25,200, 서구신협 67(1 증가) ","41,633","1,095",837,"41,891",급여저축등 
,,,,,,,
배우자 ,,"에이비엘생명보험 6,363(847 증가), 미래에셋대우(주) 44,728(19,445 감소), 한화투자증권 6, 농협중앙회 26,542(11,423 증가), 삼성생명보험 235,648(14,823 증가), 신한은행 34,119(45,796 감소), 동양생명보험 62,756(28,115 증가), 신한생명보험 942(419 증가), 교보생명보험 1,598(468 증가), 미래에셋생명보험 34,478(12,647 증가) ","443,679","135,709","132,208","447,180",
,,,,,,,
차녀 ,,"신한은행 4,041(2,092 증가) ","1,949","3,482","1,390","4,041",
,,,,,,,
장녀 ,,"씨티은행 5,901(4,690 증가), 신한생명보험 1,322(661 증가), 신한은행 863(744 증가) ","1,991","6,095",0,"8,086",
,,,,,,,
장남 ,,"신한은행 2,353(1,803 증가), 신한생명보험 1,282(570 증가), 국민은행 1(1,463 감소), 우리은행 10, 미래에셋대우(주) 17,372(4,224 감소), 교보생명보험 204(116 증가) ","24,420","2,489","5,687","21,222",
,,,,,,,
▶ 정치자금법에 따른 정치자금의 수입 및 지출을 위한 예금계좌의 예금(소계) ,"29,641","6,280",0,"35,921",,,
,,,,,,,
본인 ,,"농협중앙회 35,921(6,280 증가) ","29,641","6,280",0,"35,921",후원금 
,,,,,,,
▶ 유가증권(소계) ,"17,837","3,695",850,"20,682",,,
,,,,,,,
배우자 ,회사채 ,"BNTNF10 28,000주(13,000주 증가), BNTNF6 12,000주 ","17,837","3,695",850,"20,682",증권추가매입 
,,,,,,,
▶ 채권(소계) ,"200,000",0,0,"200,000",,,
,,,,,,,
본인 ,,사인간채권 ,"200,000",0,0,"200,000",변동없음 
,,,,,,,
▶ 채무(소계) ,"1,396,238","89,964","16,372","1,469,830",,,
,,,,,,,
본인 ,금융기관채무 ,"JB우리캐피탈 37,988(9,705 감소), 농협중앙회 746,287(79,964 증가) ","714,016","79,964","9,705","784,275",생활비 및 교육비로 인한 금융채무 증가 
,,,,,,,
배우자 ,금융기관채무 ,"신한은행 475,555(6,667 감소) ","482,222",0,"6,667","475,555",일부상환 
,,,,,,,
배우자 ,건물임대채무 ,인천광역시 서구 연희동 지젤엠청라 임대보증금 증가 ,0,"10,000",0,"10,000",신규 임대보증금 
,,,,,,,
배우자 ,건물임대채무 ,인천광역시 서구 왕길동 이화빌딩 임대보증금 ,"200,000",0,0,"200,000",변동없음 
,,,,,,,
▶ 고지거부 및 등록제외사항(소계) ,0,0,0,0,,,
,,,,,,,
모 ,,고지거부 ,- ,- ,- ,- ,독립생계유지 
,,,,,,,
총계 ,"4,581,434","116,959","130,625","4,567,768","증 감 액 : -13,666천원 (가액변동: 42,053천원) ",,
,,,,,,,
